,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.33004442,0.095344864,0.10865472,0.0039035396,1760.3121659227722,666119.8029817872,2140.5050377575208,210733.7534055973,3632.911365615325,2721936.672098695,0.06106539038312694,0.002191063244357498,-3.934282e-06,0.0,-3.5439796e-05,0.0,78.30255681818181,-191.65839,9870.033,103.54015,1247.5441,8.0732765,519.7832,41.6135,318.37625,3.036081,162.35287,0.9020693,233.66356,2.1914968,100.038345,4.0085917,73.46793,-4.5821767,91.14565,3.0757048,71.98171,-5.4085684,58.715153,0.006964728,50.806557,-5.956688,55.265503,-0.63190776,45.55383,-4.8179784,59.586422,-1.2450061,63.503376,-3.4320314,52.05202,0.09849397,31.43987,-3.2699409,40.813953,0.51195127,75.827805,blues
1,0.29057592,0.0920646,0.13973612,0.004064844,1582.0129624359085,540898.7962428202,2029.141323388991,163893.53520486786,3198.0973282096556,2499830.4268100844,0.057817866558630034,0.0024062016364464985,-2.0594377e-06,0.0,9.123959e-06,0.0,80.74951171875,-163.93596,6177.793,118.09423,1117.5021,10.687448,541.76575,39.205452,235.60623,0.30237913,144.14207,-0.34527558,151.25319,1.8110406,117.97762,1.0783206,87.16512,-7.2783594,106.80413,2.1040425,92.24786,-6.0396357,84.682,-0.43660352,67.329155,-6.899427,63.363914,-1.9295975,62.41866,-4.974873,48.76967,-1.626501,51.432,-4.4533143,72.26059,1.5338008,35.30043,-3.3785703,36.720478,0.1444548,63.636345,blues
2,0.31692967,0.08766162,0.16161998,0.0030764565,1722.6136549255655,169025.4962825372,1895.5456869240486,90671.22532331919,3553.803510636368,648305.6841975178,0.085457911063274,0.0012160031401626235,1.926035e-06,0.0,1.5519327e-05,0.0,80.74951171875,-106.84125,4248.9893,121.649414,430.04688,-20.24905,358.47623,38.93057,134.98607,-18.303288,115.93624,-6.5638604,116.7723,10.267878,68.8073,7.8181887,43.128246,1.466432,42.387276,2.588189,35.184437,-9.832273,50.908966,-2.3349333,61.453415,-5.353997,51.273426,-2.1079378,80.029015,0.9861111,79.47584,8.221861,63.934586,0.8631403,52.981728,-1.6774831,73.14178,-5.661458,53.4933,1.0669954,52.54829,blues
3,0.31615222,0.093711905,0.14728421,0.0042071585,1755.10818323459,509867.03929868515,2083.227178717846,169913.0881621023,3689.5443564967104,2124484.6597639243,0.0676016320385062,0.002226180987007809,2.1099097e-06,0.0,3.7924947e-05,0.0,78.30255681818181,-138.95833,5845.747,112.724365,1183.3293,2.0895479,609.53674,40.959377,256.06125,-4.185353,205.16176,-1.0055125,162.94238,3.0944033,90.88971,2.475698,87.3975,-4.155012,79.79008,2.32571,76.82569,-7.8151355,71.882484,1.011328,72.759865,-7.2593484,66.976456,-2.4622412,57.695263,-3.4399943,58.276485,-0.41134626,66.36352,-3.8833668,57.75532,2.511455,37.46316,-3.602433,42.391003,0.106595896,66.69218,blues
4,0.3263375,0.092885084,0.13327096,0.0045288363,1852.5406092362336,511783.2309803718,2227.3181870403664,152755.42512625337,3898.0014293186437,2347643.3022556477,0.06946518841911764,0.001937076305565863,-2.2404824e-06,0.0,-3.3124372e-05,0.0,80.74951171875,-147.32198,6115.452,105.88172,985.3279,10.257993,639.7101,38.304977,311.3315,-0.5108683,164.13127,1.8290553,173.81686,-1.5188712,93.828995,3.608407,109.951454,-7.4367228,76.478935,4.92876,100.98216,-6.222321,69.78898,-1.7769549,72.23071,-4.743943,55.146793,-0.7287838,50.393692,-5.6232576,54.180763,-1.1693726,63.052715,-4.901288,66.12771,-0.17256571,38.79362,-1.64919,46.089977,0.85572517,72.40061,blues
5,0.28289348,0.08380047,0.102974504,0.002522008,2442.269403682085,227481.95712671874,2014.3283749209606,79364.32248426153,4574.314006415683,490548.5409638997,0.15325606496710525,0.003496789273754168,-9.1595354e-07,0.0,-4.2401684e-06,0.0,107.666015625,-138.0419,5455.04,81.24649,661.9538,-30.772966,379.7878,52.604248,156.41563,-26.413542,89.96259,16.592644,124.84542,-9.55608,89.87032,5.684498,97.149704,-9.9916,77.44831,9.707675,78.265274,-6.4899454,74.714455,4.574064,65.932556,-4.10763,62.23951,1.5456897,58.94949,-2.578325,55.19305,-1.0187082,80.15844,0.56194717,59.357822,4.5615654,89.43264,0.64790124,130.53674,3.3343637,95.27452,blues
6,0.31447273,0.087568566,0.07971492,0.0011750911,1942.3732431943276,370730.30752531876,1899.4081612204723,73030.65170757359,3908.3013670363293,1143773.5793484696,0.10404963537635449,0.0024525701571464272,1.0377238e-06,0.0,-8.21388e-06,0.0,103.359375,-174.33409,2599.6274,115.699524,974.03174,-21.281122,343.3522,43.94716,209.93324,-26.529379,212.39053,12.137707,141.95355,-5.507913,244.5223,9.410774,119.87292,-9.616482,105.80164,6.128576,116.3858,-4.2266765,213.45863,-3.0969288,74.5659,-3.6303432,70.593834,3.1441646,71.77995,0.9909334,65.5225,-4.102186,75.16849,1.6914943,95.38273,0.40448436,105.80649,-0.06259006,93.02627,3.280231,82.43864,blues
7,0.30095753,0.08706938,0.09483309,0.0017193482,2057.820790890897,352906.576980864,1947.838053797652,61091.87928683415,4135.624992441467,1068227.8069394662,0.11225253362035603,0.0022907846225049696,2.6603658e-07,0.0,1.6612863e-05,0.0,107.666015625,-150.06384,3039.814,110.63347,919.9208,-22.988058,310.42346,43.056725,208.51277,-31.146557,207.80759,13.763564,133.75525,-7.598072,192.5889,9.450746,89.88947,-12.457779,110.360146,6.0560155,106.83003,-3.4414406,190.62088,-2.0137131,88.825134,-3.80085,79.39688,3.8992183,63.20552,-0.77397966,61.47052,-5.1807737,86.07403,1.1218976,92.43977,1.2866868,94.95536,-0.30121076,71.84555,1.7071811,73.388916,blues
8,0.31563848,0.09056413,0.09138293,0.0023610515,2120.8459505458623,370835.7701063451,1967.9363321107892,52800.891106414216,4227.549436586929,927167.4961533144,0.11517579636706657,0.002660811944790071,2.0980501e-07,0.0,-6.626641e-06,0.0,103.359375,-161.0224,4453.529,104.08292,1140.5219,-26.103752,438.53177,38.981903,249.49165,-31.974562,220.73293,14.229786,153.00658,-5.1266265,197.25977,10.057667,125.65498,-7.7444854,107.95922,7.355811,95.11056,-0.71960676,293.0354,-0.18402818,115.95218,-4.826344,85.87706,3.7437189,72.68501,0.2274132,57.468452,-5.5527325,84.47446,0.7709372,91.03588,2.5455208,126.02306,1.4240395,116.644485,3.9019156,108.145996,blues
9,0.3246996,0.089198574,0.093849495,0.0026002876,2279.1779864799796,500447.0635918311,2028.017932590789,55040.610055080244,4470.372968266254,1065659.2543918204,0.12243161039086688,0.0037142463917324508,-9.3083804e-07,0.0,-8.9510536e-07,0.0,103.359375,-154.29771,4126.7065,95.68233,1395.3392,-23.229656,355.76645,45.623142,274.04535,-26.735632,257.56747,17.29683,142.6019,-10.0668745,212.51335,8.641154,105.94167,-9.84776,118.1411,7.3930564,94.26049,-3.0188594,184.90225,0.39519733,92.45172,-2.0178092,118.178795,5.106623,73.98951,0.48987973,73.71728,-4.2162876,82.16069,0.66364557,94.89635,1.8908423,120.76079,-0.36973667,124.74649,4.09886,109.70066,blues
