chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0.29836032,0.089647576,0.06800295,0.00071486464,1451.1958445243577,220481.93573440518,2191.6607756380176,219245.47045861013,3190.8223722003195,2328256.578380757,0.0449105372000774,0.00044911810181930205,1.7546939e-06,0.0,4.0796058e-05,0.0,161.4990234375,-241.62012,3805.324,120.90139,548.5575,23.146315,485.03976,26.56513,150.52148,11.52289,64.48966,11.01314,46.81443,1.5533527,73.59214,-0.005815063,42.887466,-3.4193301,46.086067,3.5081632,41.688923,-1.134248,31.939413,-0.38951153,34.832832,-6.0721407,50.445076,3.5417042,36.894035,-3.6329122,60.524235,3.440462,90.67727,4.481622,65.134224,3.6995845,64.91192,-0.3526429,53.524,6.5025496,70.75815,jazz
0.313456,0.08946092,0.08795298,0.00074523897,1678.0272508748424,163948.78085381517,2372.137765967142,129088.01090158235,3824.976870888158,1977714.2808812049,0.054858322852167185,0.00040911924543193253,1.0387503e-06,0.0,7.291474e-05,0.0,161.4990234375,-182.33127,1104.1527,113.14464,302.2104,21.753849,270.52222,22.379091,82.58738,9.383879,51.66367,12.770919,45.764286,-1.4974798,44.21361,0.98354536,33.588074,-1.6306959,33.70797,2.637221,37.010075,-4.4469514,34.69795,-1.5993543,35.389343,-8.168773,49.957813,0.03941879,36.488403,-5.5040483,56.009735,1.331756,63.84162,0.516445,39.054707,2.6711302,81.45598,-0.75559485,74.3652,6.6292796,66.81081,jazz
0.28501454,0.086257115,0.099030815,0.0007647926,1762.4113322229225,190389.7504035874,2389.286891189877,131316.86991075825,4016.017382358988,2043556.7125845554,0.06393460961687307,0.0004959614000895497,-6.708324e-07,0.0,9.504394e-06,0.0,172.265625,-167.07248,1002.01996,112.130684,395.39844,22.82014,207.58014,20.816204,78.06495,5.651026,41.882935,11.117924,53.069424,-6.4770365,69.52715,0.3967596,53.484806,0.37328175,52.65257,3.3177834,57.424553,-2.7653904,69.978004,1.24056,79.55072,0.10714108,86.000084,6.025399,53.12527,0.05227198,84.631805,4.2887325,78.63768,0.592296,41.677303,0.0680131,71.04745,-8.965678,66.36767,2.7844758,60.447018,jazz
0.26247776,0.085592665,0.085167944,0.0008942562,1658.213835803447,175639.2483016899,2292.994176664922,114232.00987566076,3626.4697379003,1886891.6633656335,0.05971619219233746,0.00041298428519565174,2.231493e-06,0.0,-1.780343e-05,0.0,161.4990234375,-190.65643,1512.1248,114.64435,310.7262,18.317375,209.29688,18.636337,83.378426,4.98852,45.956993,13.026511,51.439415,-5.807336,52.203438,1.4251578,36.94033,-0.5370824,48.974846,1.8508621,47.239243,-4.5398674,39.9124,-2.1770024,45.183193,-9.409159,68.02409,0.34498748,50.25072,-3.5534856,63.5882,0.98973984,88.45282,-0.31943327,66.266396,2.6971514,108.84237,-1.6824825,108.93986,7.160783,83.28226,jazz
0.34160686,0.085968755,0.0887775,0.00076830824,1831.5929050733107,210491.4755916426,2492.278857596091,129095.29782532681,4325.6238435444075,2294199.580883011,0.059334864188273995,0.0004803762698980447,-2.7192007e-07,0.0,4.3827975e-05,0.0,172.265625,-170.50291,1355.3463,109.69501,349.95975,26.227762,263.65854,20.929073,72.83133,8.737328,44.114044,14.297776,61.93987,-5.565432,59.36841,1.7731886,62.420483,-3.735099,49.9005,-2.3685136,63.639088,-4.8082814,60.32361,1.3549165,50.50444,-1.3786354,56.701202,0.9477402,69.18979,-0.9375827,68.28583,5.303804,57.711426,0.7396771,53.140606,1.7153702,51.74142,-2.8188903,74.945915,6.771863,51.654392,jazz
0.40484178,0.08166942,0.08375462,0.0006980573,1628.1613650381155,173189.5597004263,2439.363585826555,138163.29864834793,3878.0432166698915,2468407.422665781,0.0432525729247291,0.000280219790130626,-2.1753233e-06,0.0,-6.431508e-05,0.0,172.265625,-186.73714,1085.5122,118.51443,338.23825,31.139673,220.22238,21.937044,71.658875,14.006575,43.969997,14.401766,37.09519,-3.5263627,41.73146,3.0624456,33.257862,-5.0635877,33.08244,0.48557124,32.2618,-3.469097,30.330133,1.5147146,19.701471,-3.1080065,23.922604,-2.7920692,26.578808,-3.1468365,36.63087,4.198995,42.73683,3.2538714,34.310333,5.988684,25.682722,-1.3633482,24.709549,3.061557,22.545427,jazz
0.38209638,0.088506944,0.07360539,0.00069974863,1653.697049383586,242799.9585995675,2463.6894114313036,173929.1355622796,3943.6178201492357,3198614.51525597,0.0440333694127322,0.00039933137123248063,3.4699906e-07,0.0,3.325809e-05,0.0,172.265625,-213.19324,1493.072,116.36876,445.11948,36.404,283.0242,20.914486,90.854256,10.726803,48.849876,12.6687355,59.119522,-6.860421,64.07048,0.22058058,44.921684,-5.365966,40.955673,2.4155095,40.553295,-1.7682905,44.279987,2.775178,33.69195,-1.1574425,28.495779,-0.21386433,47.1244,-1.4785151,55.43288,5.95924,34.285675,2.8110662,29.622612,3.1274445,38.038574,-2.2209544,31.166681,5.729365,41.288395,jazz
0.33772084,0.09680182,0.080050334,0.00066387566,1608.9807502191834,230115.91809392872,2428.6657030707693,162539.03982745696,3787.443764512384,3016759.452692987,0.04340412151702786,0.0004220253966765068,6.214963e-06,0.0,6.237007e-05,0.0,172.265625,-214.31528,1086.4906,117.33631,386.31076,36.8045,249.07086,19.055622,86.090614,8.539028,45.836483,13.75303,53.598648,-3.2794363,77.39238,5.9965916,71.09878,-1.7341764,24.848688,0.9173949,28.287697,-4.880144,46.682373,2.0196261,26.95269,4.109655,35.758526,7.35613,58.833107,4.9384007,62.939957,6.890786,28.183672,1.0415989,22.66324,-1.7652565,45.330418,-9.280485,47.822037,4.620938,22.318106,jazz
0.37047476,0.088468194,0.07520879,0.00051150494,1684.1580290153267,204446.69662938186,2488.101970982041,128223.58227371688,4032.1839512686242,2501125.896073542,0.044553018575851394,0.0004786239526726334,-3.5544003e-06,0.0,-6.0106395e-05,0.0,172.265625,-205.97562,1114.4817,115.2701,278.71283,32.905712,280.37704,16.31548,117.43041,9.138499,51.0127,16.230413,46.979607,-0.83955634,39.165745,7.1325994,29.095474,-0.7753432,26.201777,3.6556866,42.2159,-2.2230866,40.15839,1.3496287,31.154762,0.5629492,38.281376,2.362609,39.94,1.9066963,34.23758,5.016768,27.052708,-1.279943,36.828167,0.43565553,60.87628,-3.9035585,62.37432,4.142704,49.4627,jazz
0.388046,0.08548741,0.07637202,0.00065219525,1741.3568206145944,261999.72847299383,2547.955171498922,150810.83862645685,4296.049022379305,2973622.8629183443,0.044819834800696595,0.0004796110025964272,-1.1813199e-07,0.0,4.2746092e-07,0.0,172.265625,-202.7534,987.42694,113.08146,375.51892,37.45781,167.266,20.641302,84.06889,9.848337,45.15117,13.033033,41.81647,-6.7452273,46.81071,1.2254226,34.616436,-3.198007,24.975882,4.6940346,30.012463,0.13845532,31.86244,4.4143295,28.134348,3.0082662,31.512426,3.453741,25.968212,1.4541794,29.772089,6.133495,28.895426,-0.90616137,38.030838,0.34566277,23.595371,-4.7039127,31.420853,3.6610017,29.71397,jazz
