,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.24126317,0.09517935,0.051835418,0.0013554685,1118.2683171562126,382489.51128005947,1624.6806499621148,173087.81269888862,1781.4808942954237,1737032.7335017838,0.05257224446110681,0.003090707243301841,-5.9559346e-07,0.0,-5.59828e-07,0.0,107.666015625,-329.2131,3901.963,152.25673,928.26013,19.040545,924.6485,14.598704,278.89536,-1.4688227,130.77388,4.4343414,221.61,0.918142,120.15247,-3.6459928,78.01167,-9.81605,63.178303,-2.1707332,76.28377,-5.299303,55.624714,-6.711426,62.117107,-2.7996812,70.35123,-1.8723648,64.46258,-4.366208,54.30528,-2.8572662,42.815422,-6.3571157,64.58334,-4.5164895,69.9092,-4.4107695,84.715706,-2.6443605,68.71842,jazz
1,0.24180216,0.09694612,0.06598126,0.0019684872,1178.135946519572,196300.34869756285,1547.8343409070758,118723.82887444952,1971.488078681308,1101333.2346258268,0.053581308654218264,0.0008386211019555991,-1.1163619e-06,0.0,-1.19851375e-05,0.0,89.10290948275862,-296.57193,2568.3792,149.7653,523.7856,-1.8756058,777.4638,13.95353,324.58603,-5.2778273,148.58101,-1.1651086,336.85913,1.2626395,76.98834,-0.3623052,69.802864,-9.0793915,93.446754,0.86357886,56.75826,-4.281428,64.974915,-11.302635,69.55105,-5.6773252,51.536476,-4.0232697,57.725704,-5.570417,88.11882,2.5267773,81.42122,0.40566894,108.1627,3.3442583,93.717865,6.736363,122.5552,4.5563827,138.41858,jazz
2,0.2474898,0.0957531,0.06788358,0.001590924,1119.973642104612,237981.6074925997,1522.3274598154053,124462.18588132436,1946.3465640419408,1299672.4317224836,0.048732887480650154,0.0012215255672897005,9.3528456e-07,0.0,-1.0253228e-06,0.0,103.359375,-291.10135,2085.2913,153.30968,689.5815,1.8606064,748.63086,17.427,311.05756,-4.6690555,196.34746,-0.19582479,332.22626,-0.007928334,93.158485,-4.6899242,77.98906,-9.297195,101.175026,0.85062504,84.00759,-6.408339,71.49203,-11.462889,74.08732,-3.4835355,56.871746,-0.5597932,72.534134,-1.2803328,77.42371,-0.75954664,75.67347,-5.744823,90.09624,-2.636955,87.12101,-1.8021669,122.37956,-1.1869766,107.67706,jazz
3,0.21889913,0.09339519,0.07097778,0.0025387346,1157.651330287541,179277.89633961834,1528.107259869702,124182.53936578924,1944.4632420967976,1084689.2250117562,0.05318335187693499,0.0010425866625410432,-2.4175895e-07,0.0,-3.4634e-06,0.0,161.4990234375,-302.64008,2979.7285,148.11476,556.69,-1.3523089,996.4952,16.73522,300.5018,-4.160886,120.3868,-6.429163,276.68347,-2.49672,85.31973,-3.8435574,69.772285,-9.742373,88.066345,1.4866571,72.82198,-2.892132,71.662704,-9.489675,68.08988,-4.8174076,57.87619,-6.5507283,62.021973,-9.595903,75.377655,-3.4290802,75.87603,-3.1599457,89.78653,0.20232219,67.251396,2.6372783,115.81488,4.8654704,129.62491,jazz
4,0.22144866,0.091266744,0.06921691,0.0009250723,1003.2173330510153,123449.21285477078,1443.808702960422,94965.8157485288,1576.548800158427,703547.8116678791,0.04447818909636223,0.0005459422339799265,1.9743106e-06,0.0,1.2160262e-05,0.0,107.666015625,-299.47168,2241.0874,159.84276,438.36758,5.1938806,929.25165,14.7618685,281.6096,-2.315673,103.31371,0.88898516,224.79051,-0.545569,96.47095,-3.5587986,56.581993,-9.708266,81.074326,0.9226365,86.62915,-5.8474355,63.51766,-10.73385,69.76658,-5.42925,45.98809,-2.5753472,48.02824,-7.033256,72.95807,-4.2135196,52.819393,-8.017302,49.42117,-3.8261125,73.95094,-2.1974902,102.4004,0.566466,114.59225,jazz
5,0.23253724,0.09734352,0.07546794,0.0024638139,1112.6322886458988,150098.0992101121,1502.0261894484006,112160.9393151937,1876.0636556997388,908140.4151512104,0.049057904411764705,0.0004774162057665739,6.949846e-07,0.0,-5.352416e-06,0.0,161.4990234375,-290.6287,2530.4678,151.83961,471.0536,-1.3150988,951.2765,17.809126,287.20975,-4.661412,135.645,-4.847545,318.6879,-1.8856882,86.34547,-4.7389736,76.89755,-11.57377,107.64902,1.3461921,72.645615,-2.2133968,79.16427,-8.054863,67.82293,-3.9756389,50.030907,-4.7930427,62.26614,-7.0940733,66.5929,-2.874947,62.299892,-5.7214193,63.33529,-2.984575,66.13685,-0.26954758,92.85666,2.6995754,92.28326,jazz
6,0.21591084,0.104771145,0.07734646,0.002630819,1324.972324359604,815611.1902020051,1649.456202330217,287074.3689132611,2250.4947248996227,3585298.285460785,0.06257974252612229,0.00683223030165284,8.191285e-07,0.0,-3.2550605e-07,0.0,123.046875,-338.34824,6223.9766,126.19275,1917.719,5.140608,1148.3174,17.801195,495.2291,-2.56578,152.48004,-2.6226265,160.05989,-0.7844003,85.7891,-2.697354,93.37426,-9.11045,113.88242,0.0982666,86.49252,-5.792593,72.54741,-11.546864,95.276764,-4.8077874,58.185734,-3.713317,68.48625,-4.4143114,103.244484,4.4330378,192.53754,4.708238,213.11124,4.495276,183.11188,3.1980548,176.16325,-1.6584618,118.158936,jazz
7,0.41658273,0.095976725,0.04994928,0.0023809217,2917.9441012402003,639997.1428208781,2993.674130631956,139147.26890648066,6618.143314326142,2422984.2128366465,0.13018515383126936,0.007073413964757766,-4.935931e-06,0.0,-2.0876626e-06,0.0,123.046875,-223.26074,3377.9028,71.44547,515.51526,26.820892,427.90442,20.968077,81.41948,2.4293563,50.652233,8.840858,39.910217,-1.5795047,40.943466,1.3935782,44.38744,0.9564876,42.719315,0.68353456,28.0815,-1.9305223,26.918562,5.082312,29.041729,-0.22521472,38.96748,-0.5620718,33.684258,-6.9272795,44.72032,-0.053780664,70.49446,-0.38880745,82.67463,1.0929843,61.466644,-1.5738716,49.13562,5.229067,49.347668,jazz
8,0.2434972,0.09221247,0.097474076,0.0024472915,2357.7856587225697,256414.4226700873,2687.6264889481427,158859.89448024996,5362.250908535701,2132053.9151675883,0.09206822634481424,0.0015688999864737869,1.9712509e-06,0.0,3.3393353e-05,0.0,83.35433467741936,-167.54852,1384.408,83.24345,243.7216,14.100291,600.0982,18.710247,103.26565,7.610948,68.979225,8.287287,31.861988,-4.8106656,53.744366,1.299775,39.316166,0.44014964,31.684355,0.01950607,51.506058,-2.7623024,68.256195,5.1160808,70.367226,-2.1489022,74.64322,-0.11981532,89.460754,-0.900928,131.5893,4.8948565,165.17981,-0.20025606,167.7722,-1.2098055,118.491585,-3.6203153,117.16799,3.0389283,138.19902,jazz
9,0.2603814,0.09721197,0.10214981,0.0027272007,2508.287425652489,289965.13631226384,2847.831947206135,127218.19743400817,5903.197637504837,1819249.2000981048,0.08519903129837461,0.0014058788497856869,5.6205163e-06,0.0,1.660993e-05,0.0,83.35433467741936,-158.35083,1348.47,77.74818,217.29092,20.92354,423.65576,21.135004,74.09219,6.70974,44.240826,7.133564,50.02315,-2.3022685,46.060402,1.8511491,30.147064,1.6653126,29.780506,1.9624882,31.847427,-2.635595,30.5303,1.9689493,37.479523,-4.188749,40.467575,-4.072804,51.44241,-3.7142851,68.36697,3.421959,110.52733,0.72532463,138.9164,3.2416804,119.490135,0.983486,134.65561,5.906067,166.10568,jazz
