,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.29705217,0.090477236,0.03112532,0.00038440415,1799.4889823517124,905894.2540269176,2230.4734392016016,486829.1910376688,4044.0755460284445,4711757.780451687,0.06576339674438854,0.003503245009272792,5.004264e-07,0.0,2.2801348e-06,0.0,[161.49902344],-322.39206,7007.665,103.48255,1099.2771,1.4416074,766.1209,46.431656,581.7923,26.277168,176.56494,12.611115,235.95312,8.524886,85.52837,-2.262224,127.949326,-1.7286657,88.92123,-6.102808,111.123985,-7.6634474,50.147995,-2.162537,60.192036,-6.2229624,72.237885,-1.4608951,79.068375,-6.9160647,61.68649,-0.22770247,61.925625,-5.646687,53.45055,0.3006709,62.887905,-7.059295,70.47675,-2.9849298,84.803856,country
1,0.29385588,0.0956114,0.05697414,0.00093049865,2151.308558975047,1105700.7107518304,2358.8229534761354,347372.9410141068,4438.698159799487,4004132.863508019,0.09455309416118421,0.00720066218446477,1.0170085e-05,0.0,3.052979e-05,0.0,[161.49902344],-238.55408,3614.4883,93.22896,1207.9325,-2.403942,836.1362,39.52423,332.02,26.895868,179.09839,10.441388,278.095,6.175469,141.25456,2.1282008,147.1362,-2.640728,131.49432,-6.312265,121.99232,-9.805396,96.231285,2.2479198,136.464,-7.216743,181.27661,-0.32965627,102.781395,-4.561401,73.218666,0.28804937,60.365288,-5.1200743,59.253185,2.9088597,84.134575,-2.996649,78.337,-1.4352187,100.62186,country
2,0.29678795,0.09358211,0.091328315,0.00097633735,2303.7618447310647,342665.47186809045,2428.0045049187456,157092.55130058713,4614.863761216863,1941207.4142615958,0.10493171621033281,0.0013150973438052274,1.08420845e-05,0.0,-5.817029e-06,0.0,[161.49902344],-146.39117,1609.7124,88.443375,484.36948,-14.582886,259.36444,31.349573,384.7678,16.96528,152.93857,1.5934764,261.43774,10.746275,152.43974,0.520979,76.28782,-4.3122807,57.76946,0.15840328,89.591354,-8.973774,69.67184,1.6738088,83.27864,-6.7135134,68.3283,-7.1176076,65.37537,-7.1033206,66.21354,-2.4263043,62.110283,-6.9829025,70.88213,6.610514,95.46408,-0.37125126,145.71738,-1.3618625,127.54874,country
3,0.28657368,0.09314357,0.048844777,0.0008515895,2161.1817372733194,1056370.2943163197,2462.940219335953,283428.4450760638,4653.255195735778,3904912.9212977025,0.08471188382836688,0.005971351804599498,-4.4479103e-07,0.0,7.217222e-06,0.0,[161.49902344],-260.15125,5690.5503,90.05909,1141.4833,9.872666,807.40564,38.424126,455.78085,17.246702,231.05222,9.276899,307.74332,7.3457184,99.18156,0.13480389,111.244774,-3.010463,92.76911,-4.116637,72.61318,-11.977602,117.639854,-5.835044,106.44698,-7.920153,97.80713,0.23265846,92.39113,-4.8091755,60.709984,0.26104888,74.9298,-3.7600381,65.98977,4.26525,67.72762,-4.4737167,115.3607,-2.6886778,130.52303,country
4,0.30111408,0.08988301,0.065467246,0.00065321656,1986.8547485344827,587563.6440481374,2378.794116567919,235553.29428046005,4240.666023939387,2778802.140700642,0.07584723599554953,0.0029254051710199134,1.7404204e-06,0.0,2.7047146e-05,0.0,[161.49902344],-196.67123,1354.6755,103.84007,719.1573,-4.1733737,352.45914,31.62637,237.79526,18.17322,100.97206,4.9578285,194.17143,8.759426,84.31205,1.5395654,141.30502,1.9704416,65.65871,-1.7454773,64.476166,-10.043182,61.502243,-0.55655503,54.133278,-7.132644,87.01874,-0.40399644,61.07112,-5.2918577,64.48914,-0.1831015,63.725056,-6.8698587,58.27187,2.6299074,61.856533,-6.5514436,75.73141,-2.5221155,90.92983,country
5,0.2948817,0.09011628,0.08954364,0.00090446457,2315.278563081175,406871.98504203453,2433.0544533162183,206877.74334402816,4707.796532598442,2230047.587208126,0.10496799717008513,0.0017283468713555066,-7.038593e-06,0.0,1.4125683e-06,0.0,[83.35433468],-145.61818,1794.1641,88.3004,608.588,-13.367889,315.52356,33.111458,274.97696,16.832489,168.61517,5.4132104,234.53839,10.037363,101.099144,1.0475757,64.009315,-2.9274402,75.58515,-1.6228526,112.02807,-9.228747,69.40306,0.16690083,73.07671,-7.8477755,87.90274,-4.7202945,91.61217,-5.4406476,68.55583,0.674364,48.757618,-6.015277,74.85388,4.2737813,126.14788,-0.6435723,128.96043,-2.075986,107.61093,country
6,0.28846022,0.093731835,0.07903142,0.0012291336,2339.00679106105,862064.1898319545,2531.2392684976353,215574.851052203,4812.3375671197755,3396731.246293078,0.10255644712654799,0.005631016570759466,4.148734e-06,0.0,4.0548453e-05,0.0,[83.35433468],-181.21341,5697.8877,85.23614,803.2671,-1.489192,619.7913,30.284388,451.87097,17.346804,187.93094,7.748366,180.71382,7.9655695,101.00832,-0.059446637,86.85867,-4.9966416,101.079384,-2.3075905,89.54755,-8.865715,59.39675,-2.9242523,61.73949,-8.924667,61.497192,-2.6716619,72.69779,-9.915338,70.966286,-1.7225685,55.875134,-5.3980265,86.285866,4.588584,99.223564,-1.8037071,120.71932,-0.7586806,106.44824,country
7,0.34742254,0.0891197,0.13792731,0.0034669803,1680.5597016752872,273653.3720073661,1940.3421209499588,153816.03037978327,3257.9552995900253,1524296.8496124668,0.07295647494195047,0.0009401083794678923,2.4963992e-06,0.0,3.4065153e-05,0.0,[117.45383523],-127.41349,3425.158,122.44687,639.9516,-19.768541,387.02606,24.833153,219.70169,7.8375673,157.07687,12.2953205,139.51456,-9.405166,94.68384,5.8958135,78.40571,-4.1264386,96.353294,1.3467927,88.70761,-0.9379066,74.86489,5.9120274,63.89101,-4.0572095,48.53913,4.0606656,58.172855,-0.37390953,57.619648,2.6568205,46.781685,-2.8871949,44.850414,3.475059,47.522564,0.5710015,33.39572,1.5073565,47.73513,country
8,0.36929268,0.08803905,0.1453761,0.0032044863,1655.3794047054237,265136.12442352093,1963.1626377684606,138509.2870304327,3246.3887028649865,1529561.8420500073,0.07137031673277863,0.0011936922970453327,-4.276049e-07,0.0,3.5741625e-05,0.0,[117.45383523],-109.552124,2677.9822,126.48977,569.929,-16.186008,308.68045,22.9532,207.71169,4.5766497,237.1511,8.89587,128.0447,-9.607125,95.75064,4.140598,70.785576,-7.5122266,71.6406,3.1042721,79.62607,-0.9169866,62.78942,6.670557,55.80473,-3.9176767,52.74824,2.5261805,43.894466,-2.4982865,43.793655,1.9114978,33.43026,-3.6035209,48.144875,2.2425928,40.618874,-1.0666051,31.72382,-0.083248645,29.902163,country
9,0.34204182,0.0883566,0.14862895,0.0034009381,1540.9837919789989,102266.61506983207,1850.7535191008399,111891.74653032079,2954.323802274816,833096.5849357257,0.0670959661619582,0.0004447641603114555,6.273675e-06,0.0,6.3863e-05,0.0,[117.45383523],-118.40128,2256.801,132.5373,394.49643,-21.015055,320.83682,20.327076,177.73529,2.6580381,148.41063,11.468005,97.59954,-9.305616,81.53818,5.958627,81.43934,-4.23287,67.51336,2.12299,82.55091,-1.2912471,59.760292,7.3863955,62.202,-4.9986796,62.873344,4.000482,45.130997,-0.59569454,53.07452,3.4388287,47.97592,-1.7530283,45.13618,0.6040694,45.296722,0.605598,34.61845,0.2923597,48.682518,country
10,0.3506702,0.08879744,0.16000494,0.003467802,1606.6559539509267,182249.74316992727,1917.4495597637667,119604.32336252434,3114.68116594911,1198291.693699874,0.07058082793150154,0.0007640421998983128,-1.0406659e-06,0.0,-5.137164e-06,0.0,[117.45383523],-102.29523,2594.1443,128.91136,457.14014,-17.489899,311.3276,21.65768,206.9934,1.9172102,225.9791,7.7007213,107.45112,-9.7165985,87.4797,4.370084,81.48789,-7.317065,76.3888,3.2276483,82.21042,-4.090196,64.50862,6.461302,53.49587,-4.5537934,47.401623,2.3112059,43.717506,-3.3973103,40.50549,3.1347287,39.00788,-2.591556,58.907047,1.0247504,53.521927,0.6703309,29.270264,0.8993142,34.066563,country
11,0.2291759,0.08562875,0.03170716,0.0006110142,1542.5348850798541,271419.98462401575,1649.2849206706692,97493.77792351363,3016.7817579334364,935179.6768253451,0.07288807021575078,0.0022338192266263346,-3.276282e-06,0.0,-3.8464464e-06,0.0,[112.34714674],-328.12354,5884.791,128.2728,799.57825,-31.778484,334.82608,30.090284,373.45288,-14.481727,257.10907,-2.2728724,166.05795,-10.953149,88.073044,-10.890033,115.62217,-9.139431,118.541626,-9.040689,70.14067,-8.418782,119.957985,-5.948599,156.19795,-4.2560883,92.077965,-4.4853754,81.10369,-2.180742,132.82837,1.5202847,83.15857,-3.838589,77.82627,-4.4376473,67.141594,-7.372317,84.0392,-1.2637002,105.06242,country
12,0.24315192,0.089130335,0.04174085,0.0012395665,1513.5525078720134,356746.2358637912,1712.3893006323158,120618.09451192687,2953.632139790538,1287784.9672227725,0.0643166934742647,0.0021323873775944513,-1.8736639e-06,0.0,1.739453e-06,0.0,[129.19921875],-303.47537,5376.8345,130.10141,759.8171,-19.625992,584.0504,25.68103,271.0276,-11.247741,276.03314,0.79977995,165.19553,-10.995831,82.56135,-11.974381,80.863205,-10.437538,77.07651,-8.717407,73.09991,-13.256128,77.15319,-13.385037,99.852264,-7.894073,72.021484,-3.5980232,71.006836,-5.9705276,139.7825,-3.083072,64.94992,-6.643556,51.939827,-6.036376,81.749374,-5.3444524,136.04779,-0.3060154,156.0803,country
13,0.25995642,0.0894011,0.07214766,0.001851987,1704.0297319008857,509716.9214609694,1628.6514620708763,117895.24121127972,3301.071705537684,1288777.8590344186,0.08810490941853716,0.003678513785542468,-3.7910743e-06,0.0,-3.790164e-06,0.0,[143.5546875],-207.4366,2050.618,129.53253,890.3257,-44.070797,523.85706,31.36064,154.60538,-22.452139,148.75142,-0.4613003,130.5297,-12.31671,109.029724,-11.370952,91.140236,-9.197125,63.796505,-9.476082,52.07062,-13.5690365,53.72562,-14.349661,87.65401,-8.918252,52.852646,-6.712481,59.25676,-9.00932,83.35321,-4.135548,56.34412,-11.143721,47.582184,-6.2857676,67.27351,-6.154301,120.03079,-3.6005504,97.40672,country
14,0.26597127,0.08874422,0.07469414,0.0026062082,1419.274708924265,181595.1990291485,1494.5719254718338,52806.42768309853,2733.666803224168,652250.0315649603,0.07097916263544891,0.0011140919260497926,-1.0532102e-06,0.0,4.8088486e-06,0.0,[143.5546875],-226.38397,6368.5356,142.82047,510.49265,-37.31988,703.1634,31.188631,244.52708,-14.686131,351.35278,-3.372749,117.75319,-10.394947,65.385376,-12.989496,70.82927,-10.492481,64.818665,-10.662441,62.069782,-11.899346,68.647026,-12.1965685,76.1685,-10.260908,61.5761,-5.7224727,56.950302,-7.2436147,82.705765,-5.1700487,56.55465,-7.3292756,70.128685,-7.18124,80.707184,-6.966552,97.74822,-4.4378963,125.205475,country
