,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.35076317,0.08869717,0.17647004,0.0065464927,2756.6705848173,875132.1276871401,2561.958211005593,217378.53498624582,5585.224560244534,2711961.983494103,0.13407742054469815,0.005994109990205329,1.194868e-05,0.01842724,0.000111310816,0.011518226,[135.99917763],-82.322876,6597.846,66.62317,1174.2931,3.3940089,433.02893,27.97291,332.78024,-5.787537,193.66934,15.374912,160.90207,0.0785975,126.15561,4.6916966,145.83319,0.2953701,106.9569,1.7722061,96.31432,-4.0611963,74.98591,1.0115181,50.41291,-2.425855,65.9381,-2.9383605,71.47964,-7.3682213,66.31633,0.09480687,60.719765,-4.0760994,51.996746,3.5544903,66.98638,-2.2713087,83.59077,-0.28192383,98.04039,rock
1,0.3464565,0.08869203,0.19559105,0.0057942616,2622.399023107816,711678.7734777076,2540.9241657360662,165594.2274714967,5364.300896139706,2528127.253761634,0.12298791844040248,0.004303006041545744,-5.6049257e-06,0.020389253,-9.110111e-05,0.013666816,[135.99917763],-65.80351,4157.4443,76.584694,964.6401,4.320757,512.57404,26.0493,285.61832,-9.498037,215.37764,10.081242,244.7053,2.5828078,150.37369,1.3774043,131.6969,-5.6168547,113.202675,8.262628,145.62935,-3.1474624,81.29334,-0.29204547,69.9367,1.6434458,79.51727,-1.0434561,71.71398,-7.2403493,64.20015,1.7340878,44.92699,-5.886498,49.719936,-1.267247,75.211815,-5.20764,62.93287,-2.4724717,74.46883,rock
2,0.3479806,0.08840057,0.22860484,0.0051783873,2584.6736988397124,581273.5595231033,2543.1949436920213,159025.79573426762,5420.517222873936,2209984.7238019737,0.12053857573045666,0.0033104395260286747,1.106143e-05,0.031032324,-2.5965605e-07,0.013019609,[135.99917763],-31.402065,3198.7354,81.35801,786.90564,0.76454717,384.63968,22.82875,189.66266,-11.126763,184.71977,9.603173,136.94766,0.83731127,111.61876,1.2130257,89.99981,-7.4854302,101.87287,7.025993,93.99268,0.21618435,73.68929,-1.2175704,60.96742,-0.5861986,65.82239,-0.7470162,51.577026,-8.301716,51.922733,2.2063704,52.050533,-6.284783,43.24358,-1.0314811,45.99785,-4.946147,37.44514,-3.2409475,50.570568,rock
3,0.36122128,0.08298933,0.20484327,0.006920712,2716.42920251719,605511.549871168,2567.8110504049546,121888.98702262335,5591.466189168924,1865926.5017049955,0.13259557009481424,0.0037093419016729014,1.0075336e-05,0.025479937,-4.3242566e-05,0.011839085,[135.99917763],-42.19672,3593.43,72.02142,750.932,-2.1783042,345.59833,25.166693,242.51001,-7.881848,175.79468,13.250618,161.39334,-0.48678806,111.22419,3.7787402,108.93028,-3.4615316,92.010704,4.605508,80.277336,-1.8583297,74.84874,1.4573914,49.9653,-2.3944712,62.646515,-3.9174068,50.92318,-6.786383,58.45211,0.7415661,52.628082,-4.311782,49.375286,2.1599855,79.512665,-1.3167777,65.48376,0.8829908,74.121216,rock
4,0.33558866,0.091620274,0.19521579,0.004801901,2654.6278080477873,756499.9656864313,2596.6747586675024,182503.3212349924,5521.65827795448,2646083.0674403184,0.11925664848587461,0.004145671349165533,-1.4245824e-05,0.020588098,-4.890274e-05,0.012676081,[135.99917763],-63.920387,3567.2751,77.00267,915.12585,8.148093,445.96048,25.803892,250.09808,-8.510746,216.35742,8.29015,228.95361,0.5499532,121.48098,-0.9910361,142.3304,-7.968248,113.41382,8.105867,134.35083,-3.3836794,86.71782,-1.5329479,74.017654,0.43688956,87.87435,-2.3572593,80.35099,-6.763398,80.68917,1.5216659,50.54148,-6.0264034,54.217636,-0.3107504,61.882122,-4.45638,72.32573,-2.2225711,65.24689,rock
5,0.3280042,0.08871443,0.22235508,0.0042324625,2528.509660414353,464776.13418567163,2532.287723124594,140071.69883178768,5306.601245041602,2024942.9185981452,0.11539688346555728,0.0021177572525959065,3.8277576e-06,0.028684467,4.8812853e-05,0.01254839,[135.99917763],-37.00524,2759.512,82.74329,669.1661,0.43152177,330.31503,20.262611,226.39682,-11.885184,168.04604,9.149662,155.94817,-0.19988258,133.28271,-1.007205,114.08569,-7.647651,91.43723,5.6076365,112.395294,-2.0713048,92.66665,-0.66810614,65.86591,-0.76682574,70.47268,-1.1758109,72.37274,-6.7886167,62.026054,2.5723968,56.594776,-6.499733,54.650482,-1.9464576,64.51701,-5.016156,61.661003,-2.1394465,64.84093,rock
6,0.37164998,0.088878974,0.21455392,0.005944518,2382.2310382802075,604681.5802295861,2479.5120144651746,206706.31094033387,5055.2110984967585,2912435.6845682412,0.1064679880998452,0.00240424897530911,-2.74416e-07,0.027777325,-1.6451866e-05,0.011436587,[135.99917763],-52.47188,7942.1997,89.65865,954.01666,4.571811,710.25745,21.893734,190.70584,-9.519896,145.64012,12.997701,139.22813,2.865166,105.93364,3.3764637,103.11796,-4.6043873,98.08566,6.626489,79.78592,1.6061476,59.82768,0.41401508,56.811207,-1.8319272,58.604187,-1.1594384,44.311195,-7.032578,59.50521,2.826628,57.277206,-5.4563594,51.938854,-1.785161,43.495743,-5.3910036,40.458633,-1.3908509,53.115765,rock
7,0.31535143,0.0892436,0.22637075,0.0066098585,2545.7958464234425,651122.123967678,2505.3043388674596,176491.59777665493,5219.493438437258,2683500.3204804864,0.11315313286087461,0.002661140720146283,-1.0171547e-05,0.03206175,5.001863e-05,0.012226752,[135.99917763],-49.33899,7336.4844,80.22805,1008.67175,0.74413574,597.92413,21.720987,268.62823,-11.205239,209.25285,6.930694,208.17258,1.8782451,121.14426,3.5810766,98.776596,-4.761561,97.27523,7.76061,102.50029,-0.6465608,77.437935,-3.2426739,71.30269,-1.3762126,61.228104,-2.7945395,56.254555,-9.497651,67.90948,1.5416607,63.415985,-5.24183,60.70116,0.7638487,95.902626,-0.5755013,124.38817,1.9667293,100.35545,rock
8,0.33190212,0.08610075,0.2633479,0.002980253,2355.940986823031,312722.65975512087,2404.4796733367925,122182.60013630833,5002.394751203318,1524572.5990553962,0.10473557227167182,0.001077857732939651,9.27056e-06,0.046627786,6.525449e-05,0.010608275,[135.99917763],-10.523468,1129.4064,90.46796,557.8688,-8.711826,215.31833,19.23611,109.758514,-13.775101,111.35638,11.243838,116.02837,-1.5578969,86.99664,3.2676144,67.51877,-4.3213034,74.24971,8.542483,61.47502,2.2344577,62.89045,1.8522542,62.87601,-1.8431094,53.305218,-2.7851548,47.39423,-6.719973,47.198586,1.0986832,65.272835,-7.3241696,41.39136,-1.963234,41.597473,-6.014203,49.8407,-2.6909168,67.243286,rock
9,0.3501688,0.09044187,0.10858548,0.0053365044,3094.5686043122496,1069247.7936464183,2721.3650547159623,140846.43808485314,6324.486756693837,2514169.4861052344,0.16536218979779413,0.00945060341557048,-4.8820943e-06,0.011074966,5.2653957e-07,0.003232532,[129.19921875],-129.35182,7233.037,51.104332,941.04004,3.4658208,427.1641,26.642427,253.15219,5.0396013,239.6877,9.07351,122.322174,1.3496736,117.29852,2.5913587,88.08799,-8.748913,83.71297,1.1563736,114.59563,-8.0490265,81.983,-0.6419679,69.61653,-2.8392153,52.49133,2.708018,98.57278,-2.721942,57.615833,-2.1074903,56.44865,-10.872388,43.25736,-1.797841,44.092693,-10.901132,62.666615,-7.068429,50.35619,rock
