,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.4396796,0.08527993,0.17176424,0.007987194,2037.3245675445855,270473.4789528198,2089.111141587043,105033.13718776267,4067.967068226345,941839.7914878306,0.08818616365131579,0.0025773119786594904,6.5210276e-07,0.026121773,1.5124035e-05,0.0041580717,[172.265625],-100.07555,8084.8438,94.85541,589.62463,-34.692066,264.03152,37.13104,168.26305,10.274682,90.69118,17.16143,93.01478,6.6499166,43.768074,7.1119547,47.85856,3.515941,65.93859,6.8410306,66.04647,-5.1510983,51.0301,4.6576624,66.54437,-7.6640935,44.766357,0.8071384,28.460672,-0.14795375,31.809254,-0.9025309,32.306576,-4.5611053,30.642883,0.68801653,32.386402,-6.4762564,51.234966,-7.534663,78.87263,rock
1,0.5004962,0.07656334,0.24556354,0.006849433,2774.3950668612597,276294.9569588448,2542.6984444344093,98615.6333821752,5492.058456940547,1076219.0113374009,0.13870551047310373,0.0023150397655755457,-1.8933816e-06,0.02983266,-0.0001334453,0.016654598,[129.19921875],-10.60373,9180.402,65.13854,384.46643,-15.7115755,375.0474,37.761757,109.352036,8.936792,102.21218,10.558391,81.1985,6.6919045,68.67096,6.2784395,53.29327,4.618934,66.29575,7.149461,38.35177,-1.1858225,61.82986,5.9072366,46.083473,-5.9761806,37.707554,-3.7059708,48.71245,-0.33958015,34.41771,1.5145711,27.621294,-6.1737294,33.488754,2.8805907,38.986668,1.7605963,51.584408,1.1780818,30.718472,rock
2,0.48765352,0.075097874,0.2590881,0.005437388,2537.6013285832532,434378.1877386917,2474.794857966475,91151.82590215483,5063.519381591041,1451110.0764520632,0.1251814047987616,0.003046353843527059,5.171822e-06,0.035915412,-0.00018338846,0.015148034,[129.19921875],-5.372827,5926.8086,78.587524,555.0771,-15.451119,286.56512,31.219107,125.79523,10.263863,95.797935,12.562826,92.56348,8.060895,77.95368,9.345323,61.638775,1.3981342,62.233032,7.1260047,41.99816,-4.1081567,45.753216,5.8765807,35.411385,-6.724355,46.934834,-2.9519248,42.03378,-1.0293139,27.478241,1.7254083,29.17061,-5.458683,38.410614,-0.016571518,57.510456,-0.6426777,56.20148,-1.3144367,42.481255,rock
3,0.4360475,0.07871126,0.2595012,0.006160096,2608.924074870342,484107.14542411413,2463.5423521499138,118493.0851310296,5170.068737301664,1804352.7958072424,0.13414091222426472,0.003422039974649798,1.3396919e-05,0.040397618,0.00014854586,0.015120168,[123.046875],-6.7857037,4720.2686,76.355316,639.8026,-17.685112,360.19907,30.145584,160.33907,9.19468,126.73516,9.382305,101.00857,4.3434024,82.289085,7.679416,65.807144,0.82359874,70.38641,9.105601,43.3342,-5.536879,65.16693,5.2820053,55.34028,-3.3654745,56.95236,-0.9221401,41.08525,0.07751045,43.80591,4.2751074,38.506493,-5.4651656,41.290657,-0.020942712,56.211796,-1.0793787,68.59948,-2.3950408,57.785748,rock
4,0.49032605,0.07501781,0.29325026,0.00288024,2563.3536355912115,275486.3641775854,2453.0951332091317,64419.99779798291,5069.269346821788,1013951.1219599387,0.12979664522058823,0.001776591868722749,-1.8266259e-06,0.048428558,-2.5808235e-05,0.014737176,[129.19921875],23.251427,1265.8972,77.81365,429.19272,-20.93273,183.19246,29.239872,135.483,7.821059,68.26941,12.333345,49.780712,8.170717,76.59039,9.480699,41.227108,2.2313545,64.931526,7.3106165,42.967136,-2.6882665,42.235928,4.7747164,30.899523,-6.5804143,51.6195,-1.8997009,34.81091,2.6989315,32.997272,3.5653315,27.24829,-6.037934,23.665705,0.020516008,27.647724,-1.7004602,45.71351,-1.5108932,42.238857,rock
5,0.42545316,0.075699285,0.3032714,0.0025670624,2857.4299142394457,196935.80594136624,2498.0622243441912,73188.00124158378,5514.083323759191,992555.3376599264,0.15750169311145512,0.0012054789907175014,-5.3375925e-06,0.053791057,-9.5335185e-05,0.015912104,[129.19921875],35.065468,471.66592,64.36519,242.54327,-24.062773,187.07182,31.621408,93.890144,6.114129,66.725426,9.585645,58.070797,5.4483523,59.817936,10.499988,36.204662,3.6541934,39.65189,11.185917,35.671696,-5.113332,34.84715,3.1569328,35.727264,-5.6390514,41.469685,-3.786891,31.100561,-2.505986,31.725384,2.188182,41.348843,-7.5445766,42.61759,-1.4567618,42.40849,-1.2110673,39.43849,-1.3491586,35.081238,rock
6,0.35991958,0.08414293,0.2813973,0.013210251,2158.9954714093046,905991.8294637692,2186.3259899969494,334257.422727046,4302.4739835284445,3961080.2261902983,0.107666015625,0.004380590221830197,1.6539618e-06,0.05757561,2.743134e-05,0.012255291,[129.19921875],-48.791065,28614.87,87.08805,1202.7339,-13.828593,427.78256,26.717625,85.03223,8.499036,180.68477,9.530376,42.204327,4.701702,81.9819,10.890698,45.228992,3.3114448,61.261623,8.233572,40.10966,-3.24602,32.584415,1.7974695,30.433773,-3.0349855,34.535965,-3.253372,32.722107,1.3003285,29.602741,0.9760891,35.22007,-7.161598,31.233208,-2.112002,39.37875,-3.9545105,25.84919,-2.7856786,39.512424,rock
7,0.353036,0.08637067,0.109564126,0.009017156,2013.8056353129546,469000.67049102933,1889.6656857013188,246847.82715494992,3871.393256881289,1852148.0547271557,0.10683760037732198,0.002912234607683151,4.413947e-06,0.0083406,4.6730118e-05,0.0059739333,[103.359375],-142.31693,10052.498,110.76507,975.2209,-42.099827,786.0203,24.996294,309.20667,-5.4086537,247.36232,-1.9114851,117.50819,-3.415293,94.244896,-3.8573637,220.53369,-1.8064898,63.938408,-2.0693054,131.96413,-2.97424,114.291275,-0.13136089,68.67405,-8.8702135,56.50408,-9.044553,95.88844,-6.627115,43.023285,-3.5480835,68.215805,-7.1297545,35.10265,-4.4961185,44.972725,-2.4636352,26.160389,-1.0880682,28.882359,rock
8,0.4297304,0.0792313,0.24299546,0.00311988,2406.195397224051,388821.5310315039,2375.8168602780866,123918.60759338953,4801.379300049584,1681483.5636336096,0.12483862531443499,0.0020691200451369205,-5.813261e-07,0.026200933,3.2184886e-05,0.015623032,[103.359375],-0.5753049,1320.6638,89.54552,548.3366,-19.89455,378.28653,21.335226,184.57416,2.5081387,162.52736,6.4545264,104.121254,-0.6785992,102.05609,10.361971,73.48659,3.6767979,68.05109,5.5591083,68.81484,1.9138497,54.57125,5.084142,51.90438,-0.8601043,42.772633,2.075493,57.31192,-2.5815024,49.450974,4.0208874,37.452885,-2.712954,37.360474,1.6684318,35.964954,-2.1122615,32.246872,3.732619,43.096115,rock
9,0.45605388,0.0757365,0.24334672,0.0023809369,2427.0819791954236,365843.4260803787,2411.6420857803264,134578.22473828465,4881.053818268672,1813350.7150440954,0.12169125205592106,0.001934551667735886,2.3740853e-05,0.027114078,0.00015300438,0.014431068,[103.359375],-1.4124601,1489.9619,87.47043,694.0094,-18.309637,309.86203,24.812712,257.17566,6.297463,158.31218,6.769119,77.55132,1.9636034,102.46241,12.515533,90.36944,7.435884,56.33174,10.130399,48.40117,4.4321523,60.50803,6.64248,44.10369,-0.027214712,41.706554,1.2882997,38.297268,-2.8783138,35.63014,3.081142,45.721367,-3.1703467,38.939854,3.2256775,34.48619,-1.0800885,38.93941,3.090612,42.503605,rock
