,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.391343,0.08923733,0.10589147,0.0012566601,2246.2135354874918,487745.041535655,2332.256475029755,262442.78207551775,4769.037828947368,2278122.889477373,0.09438529472232972,0.0016390996596545573,1.5905896e-06,0.0,-3.809531e-05,0.0,117.45383522727273,-116.60475,5855.4644,97.26503,823.3992,-10.0861,459.56992,29.889229,100.09566,-11.299959,342.13248,7.552246,162.63217,-0.28073564,82.17889,8.129595,63.966133,0.9615616,63.771973,-2.612001,47.14631,-4.0874543,29.501106,8.298789,31.859678,-0.5793119,38.770267,-6.6673484,46.86146,-0.4217614,37.352665,-1.3294104,32.76276,-6.1460476,36.378513,-0.47624883,27.664154,-5.024732,43.274624,-0.20780335,45.109497,blues
1,0.39762127,0.08853543,0.14336775,0.0012312491,2317.5222597543034,425396.5423294678,2436.3915136781316,157413.84714407194,4966.88663258272,1843543.339901648,0.09819895268962849,0.0018804490290308881,5.4092025e-06,0.0,3.690025e-05,0.0,117.45383522727273,-70.14628,2477.6873,94.69379,572.6907,-7.5166698,300.89185,25.713835,168.63013,-4.0029163,113.1634,9.599396,70.99243,-1.7177576,98.38522,7.8271537,56.9505,4.781274,46.390575,-2.4133232,59.114746,-3.0430984,36.078934,8.632732,42.05724,0.22071193,32.401196,-3.4108763,39.294243,-1.3217095,39.688656,0.298716,35.40477,-5.1016088,34.990658,-1.4432153,31.707733,-7.1927757,35.853783,-2.651802,29.19582,blues
2,0.39376998,0.08627975,0.14713885,0.0012062283,2429.0705513288613,360984.1361332081,2485.4466017218365,155425.13131458667,5170.118736999323,1701917.602134192,0.10739126294020898,0.0014357201310921427,-3.6827162e-06,0.0,-1.2079598e-05,0.0,117.45383522727273,-60.555656,2358.8225,90.478226,452.56186,-8.742672,407.75504,22.836285,191.87604,-6.1195335,99.58875,10.476853,85.30864,0.7512646,66.345894,9.985368,72.50745,5.8496532,40.260124,-1.9590187,34.543537,-4.318167,36.55693,9.698583,36.31502,0.25834632,41.41983,-5.078004,43.199364,-0.64967626,41.341007,0.14414194,46.443264,-5.9444046,38.227535,-2.6687272,35.58725,-6.400463,31.735518,-0.5572285,29.958948,blues
3,0.39136964,0.087568775,0.15428247,0.0011599516,2419.255357438091,376754.0211069802,2463.456963004799,147099.64644957136,5125.677339063709,1652289.9544719758,0.11083001765673374,0.0017637090928008658,3.192515e-06,0.0,4.3604417e-05,0.0,117.45383522727273,-54.81313,2080.5808,91.32134,505.8473,-7.63726,324.20624,24.892445,133.75063,-7.73276,127.714264,6.628534,83.19919,-3.0045676,81.56986,8.626915,70.823204,4.290283,48.116,-1.2006514,43.52782,-4.276142,34.76675,9.223413,43.492027,-0.47742838,43.931927,-5.953077,39.01577,-0.53773105,45.320553,-0.6366077,40.63916,-5.9165087,37.076572,-1.0155542,35.865036,-6.73415,35.69687,-1.4730213,48.71785,blues
4,0.3963367,0.087614805,0.14426413,0.0009841485,2477.45023648827,435500.649138439,2502.629947373555,158548.4492353539,5255.084889887287,1812639.6530879547,0.11006244860197369,0.0019109031437118142,-7.8889525e-06,0.0,4.713974e-06,0.0,117.45383522727273,-60.696487,1951.6858,88.46209,535.2636,-7.3166733,389.7718,24.271046,163.57265,-6.4675694,129.28223,7.856563,76.147255,-2.0521748,86.572136,9.755802,68.77907,6.2559333,47.280643,-0.37273422,50.01613,-2.7574236,32.916794,8.258626,36.311226,-1.3933418,42.249527,-4.747158,40.47741,-0.013982106,38.73273,-0.8986248,36.776226,-7.5536075,36.355778,-1.7080963,33.136562,-5.722997,34.618374,-1.8560911,42.583366,blues
5,0.44410214,0.079593316,0.25176865,0.006906329,2499.026136740268,292881.1661914528,2300.9457157358893,79262.24477642048,4844.11237498186,803526.6047702782,0.13003171560565016,0.003912541860452232,-1.0279594e-05,0.0,5.7742425e-05,0.0,103.359375,-14.9556675,3535.6216,76.50657,497.15237,-20.987135,253.73921,44.25053,104.026886,-4.331111,116.079735,7.7820783,41.584488,7.4988837,53.275017,11.181923,32.714485,-4.798641,37.536232,4.3344736,33.880886,-1.5370342,25.967396,2.8253753,28.197514,-2.731241,39.20299,2.3189201,26.30644,-4.5441194,26.499731,0.053487442,33.807285,-4.5961494,44.86175,2.126549,62.08313,-5.526676,44.77639,-2.747406,36.193623,blues
6,0.43252504,0.083294846,0.2820088,0.005872405,2321.5014358001386,190013.2634780199,2253.6116233836387,82017.05880130142,4628.763677165974,684105.2301351847,0.1075779587122678,0.0020183544374195333,3.943039e-06,0.0,-3.7510267e-06,0.0,103.359375,-11.517372,1324.284,86.72872,405.08417,-21.310465,317.3048,45.459057,147.117,-5.1975513,88.170364,10.518805,52.5255,9.899737,71.782234,13.177426,38.89244,-6.211857,50.187046,5.51765,53.721207,-0.39541382,36.60238,6.5883093,29.816526,-4.185635,48.891155,0.8390793,41.884087,-4.0196033,36.34982,-1.7773079,39.867027,-7.3130836,48.085037,1.1199977,48.256897,-5.4973364,49.3222,-3.412356,42.02087,blues
7,0.4399678,0.0862194,0.28408182,0.007190283,2309.6009882142034,208206.80624973803,2263.1181900757992,87213.96948567218,4632.696986715122,759204.718566441,0.10478130139802631,0.002117771858673288,1.7440793e-06,0.0,-0.00015649585,0.0,103.359375,-13.170705,1145.9467,86.30647,369.77524,-21.29204,353.32895,44.69059,173.49548,-2.088531,97.170364,10.786321,76.95732,9.040795,91.225136,11.764745,40.661453,-4.906673,45.88858,6.3276033,39.276558,0.18007974,34.54553,6.651213,27.432783,-3.234959,38.888744,-0.64034843,43.07153,-4.158307,32.896084,-2.22581,35.898735,-6.868012,46.327236,1.3289578,48.333378,-4.6958895,41.002747,-2.221854,50.90254,blues
8,0.447924,0.08425976,0.28508884,0.006601925,2341.2874669581606,211388.14521369766,2263.5719257412584,78000.86545243667,4625.99702722886,641534.0510920434,0.10997439168924149,0.0026900397548496923,8.5870515e-06,0.0,-4.209913e-05,0.0,99.38401442307692,-12.074722,1109.9928,84.27094,432.21436,-20.225794,314.14868,47.819065,151.88348,-1.5649147,77.59494,9.122746,73.461105,9.49246,58.98989,12.123708,37.686386,-5.4922447,34.02536,4.277902,52.73036,-2.3411696,30.977571,5.478552,33.977634,-3.082486,43.07349,0.46689555,44.425335,-3.9131284,34.608517,-1.7110794,38.59301,-5.3427825,36.53736,2.2394269,38.80054,-4.796978,44.431534,-3.2635484,43.372284,blues
9,0.44157618,0.0837221,0.27990085,0.007754137,2263.13968608155,215930.67243575395,2224.1969913190333,71580.38911439166,4460.448028281008,644840.851100388,0.10613654641544118,0.002669192018827613,-4.4434173e-06,0.0,-1.0275768e-05,0.0,99.38401442307692,-19.832655,1185.5203,86.4073,431.31152,-20.069048,270.8866,49.72807,137.1229,0.3949233,68.37758,7.4543934,62.94469,7.6371827,77.5509,12.9472065,40.47036,-5.8320804,41.77479,4.3673244,55.577473,-1.4050348,28.732939,5.2332973,35.554264,-2.4659455,37.80774,0.5463648,33.42808,-4.5706058,27.04628,-3.2691026,29.855299,-7.3172965,38.0024,1.1703448,39.53034,-4.8914413,48.049026,-1.6200068,46.9821,blues
