,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.26495853,0.08704888,0.11706831,0.0022837776,2004.2779623541921,410481.65239308984,1844.5740693873847,194066.7685722729,3716.0941959534634,1318379.6938840675,0.11863080193014706,0.002106572172828894,-2.6456194e-06,0.0,2.4519653e-07,0.0,117.45383522727273,-165.30055,4748.4272,106.11471,1619.6129,-32.87182,474.9814,48.685276,333.99478,-2.5354075,163.03271,-9.387238,148.17332,-0.9836423,215.31206,-6.3927565,130.57089,-9.635737,126.618835,6.3940015,149.74161,-17.079582,148.3691,5.14798,119.49446,-5.21489,81.471596,-3.1333227,94.55566,-4.895052,85.68254,-4.721917,80.17989,-8.957184,58.83947,-5.0952473,75.73322,-6.078105,91.2176,-0.9927791,110.83617,country
1,0.2557295,0.087985486,0.12795113,0.00242513,2063.545761904944,251258.10958285598,1986.0796208703816,131378.3678884896,3984.084242120985,884139.434857821,0.10113544286958204,0.001225491737674726,4.003424e-06,0.0,7.719194e-07,0.0,117.45383522727273,-146.53911,2483.557,99.59792,682.9402,-25.464535,576.1515,40.781956,324.2052,-10.855237,173.23682,-6.2976484,172.67404,3.8336215,211.6815,-6.373436,111.684044,-10.248281,142.38559,15.055522,143.5293,-19.465796,113.482925,3.376275,108.04632,-6.6435533,93.128914,-4.9506574,106.96032,-4.349616,77.74683,-6.854743,78.72296,-7.0677357,73.8522,-1.454245,63.489357,-5.7248964,82.04129,-1.1043197,107.392235,country
2,0.27427322,0.08970535,0.12738866,0.002672014,2138.2191305552224,269956.85221962864,2030.5127546943388,138922.32724479018,4091.9252566877904,1118658.728150971,0.11601290392801858,0.002086020010520829,8.06762e-07,0.0,3.0279074e-05,0.0,123.046875,-145.90948,2574.9717,93.69979,798.72174,-23.855656,649.9311,43.06021,356.42642,-6.718826,207.90721,-5.728188,180.80257,1.7919865,201.04411,-5.086574,139.0876,-10.667341,131.59235,11.711929,114.55502,-16.450768,158.17505,6.725338,99.459076,-3.7350783,83.49564,-3.0175626,118.74111,-6.9677615,98.368256,-6.415241,96.64484,-8.734905,99.372375,-3.9406216,80.24622,-6.60578,110.56965,-2.0323572,119.27366,country
3,0.26196185,0.08652441,0.12558982,0.0024601882,1858.8239137076357,276785.91772544995,1855.1085309444259,145895.38475400556,3622.069764506337,967493.539570816,0.10960704697174922,0.0018718025277329562,-2.5971352e-07,0.0,-1.154911e-05,0.0,123.046875,-159.71788,2803.9146,109.427246,983.4433,-26.145855,524.41223,44.838287,263.16568,-7.7068386,285.232,-3.752573,133.8739,-4.3212028,166.4902,-2.9304912,120.50789,-12.718141,119.61963,3.061767,123.953995,-13.959072,151.97867,3.8291106,161.53111,-4.2403736,101.146935,3.178516,118.1769,-4.046825,105.05578,-1.8301216,96.783455,-6.233999,84.93113,-3.3078742,101.552315,-4.118138,108.14341,-2.0665133,112.54592,country
4,0.26756704,0.089329265,0.1350168,0.002945275,2083.9796458401634,280748.20651056577,2007.158701478452,127855.9485587141,4018.9090315402477,1028239.2147186875,0.10320496928212074,0.001745193186331792,1.2393856e-06,0.0,-2.8904928e-05,0.0,123.046875,-143.44351,2529.804,95.81351,707.2549,-22.841917,508.06927,46.3451,408.94025,-9.825161,244.59955,-6.7169495,209.73087,5.1329856,185.67258,-5.3290267,150.07368,-10.620069,136.47824,11.160351,123.79225,-17.265558,133.16006,6.687282,85.67524,-6.165801,82.876236,-3.4445324,103.91469,-3.0024273,75.02397,-5.108406,74.01709,-6.950954,74.579185,-1.6376659,77.50384,-5.578248,118.77065,-1.0048006,106.69976,country
5,0.31768838,0.08863306,0.13321477,0.0028338053,1976.6695423365834,477866.3697070251,2088.452478418027,227518.41634983552,3803.385334782556,2777419.470200109,0.10207194514318886,0.001542077635234247,-1.9682184e-06,0.0,-7.566349e-05,0.0,117.45383522727273,-133.99304,5346.3545,106.02106,1035.4707,-19.63317,394.01486,17.729347,207.00009,3.1963503,239.89508,2.5858915,98.61314,-2.0585594,116.4532,5.6719165,64.873375,-0.18812443,79.55364,3.173268,59.783276,-3.8488202,68.00197,5.444902,72.44091,4.7971797,88.45727,3.6708498,116.92623,0.7701329,96.93222,2.1961572,84.3088,-3.080935,65.31608,6.3203754,84.38216,2.2475529,88.368835,-1.7951566,62.0591,country
6,0.35170567,0.091658756,0.13891734,0.002472849,1918.9449335279223,507691.5087047423,2094.2443775552238,206733.45195744658,3733.6690896804857,2768399.329843104,0.08793106315305728,0.0016831067580085957,2.7273925e-06,0.0,-2.3017248e-05,0.0,123.046875,-123.05505,4628.4507,111.7654,965.2645,-18.309093,467.49258,15.676838,219.17923,-0.60008126,304.82654,1.0287288,102.48367,2.7546718,149.70811,8.11191,76.45874,-0.285311,85.27597,3.3078601,76.88,2.3202136,90.072395,3.8061318,63.56586,2.3684382,56.581764,0.6659584,58.525578,-3.15703,40.262627,2.9103644,48.55806,-2.783147,42.37079,3.5549653,48.432674,-3.4429698,75.757126,-0.92806053,47.688877,country
7,0.34974122,0.09000711,0.13732326,0.0027891924,1964.904602235605,585315.2858199296,2134.916885690055,217187.9572627299,3819.38523803333,3030744.3221049584,0.09419406383030186,0.002151430650539583,1.5215855e-06,0.0,-5.306728e-06,0.0,123.046875,-128.54857,4706.755,107.16174,1091.6323,-13.366495,450.27487,19.403536,221.87979,1.0455626,246.4806,4.3153687,85.512726,3.4621177,113.99433,8.344193,77.990746,1.9608306,64.559006,2.4986022,52.570137,-0.6923232,90.96077,4.0058293,58.139683,1.2614734,63.01072,2.6932485,62.531506,-2.659242,53.006325,1.0650176,46.207848,-2.2888339,43.4343,5.9030027,48.435196,-1.8702154,97.55925,-2.549358,56.53009,country
8,0.3341702,0.08926585,0.13897054,0.0030815958,1934.2209941827377,509359.7728994276,2107.1435746369893,195772.29028223327,3774.20217791578,2670086.5177038372,0.08964609435468267,0.001712028325203343,2.1954347e-06,0.0,-4.8904327e-05,0.0,123.046875,-127.90579,4810.5767,108.01033,1039.0146,-14.871275,420.57516,20.826967,214.1682,0.3935291,222.95213,2.9098828,118.229996,2.1335993,127.04692,4.7394476,77.54153,-0.20724063,84.366295,2.4119627,64.89508,-0.052805707,73.61781,3.5938838,59.093266,0.29602182,74.33898,3.532931,62.89599,-0.874099,64.47832,3.1115937,60.6655,-4.01997,42.31778,6.4742117,63.809307,-0.24913663,96.38302,-0.8086595,49.06306,country
9,0.34511134,0.09110387,0.15041515,0.0024567572,2029.4796875781087,482265.91875642963,2130.757601245789,186609.96961589865,3922.317948946643,2501768.5283017005,0.09616419553018576,0.0019162210494770902,7.1945755e-07,0.0,9.280346e-06,0.0,123.046875,-107.27864,3798.3457,104.362495,889.4628,-21.378,453.55307,18.379356,223.31313,-2.7064679,236.29634,2.451311,89.07562,3.6316814,108.65846,6.0240636,88.87513,1.433243,60.10169,3.0076892,60.74013,0.5778532,69.75804,2.779379,62.69902,1.4391838,62.711918,3.1219106,56.960712,-3.38156,44.01467,2.4628356,45.772205,-1.3043107,40.72506,5.9048424,50.349915,-4.7629695,90.46416,-1.0256541,56.97071,country
