,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.28690967,0.09754188,0.08664499,0.0027521816,1394.0821700760528,369208.3897153427,1615.127567820181,310224.4021594494,2713.4419255212365,2140153.478255059,0.05975133937209752,0.0008345667817804259,-3.4843965e-06,0.0,8.74622e-06,0.0,143.5546875,-250.1786,17470.309,135.16191,2043.3096,-20.245287,398.415,24.638847,492.51453,-9.798195,271.07736,-8.632822,148.07292,-0.69837844,167.67386,-0.20784001,214.70613,-3.2537045,230.37747,2.531021,143.68288,-3.4133596,126.559166,-6.672602,89.8823,-4.2475066,68.772964,-7.060671,77.808754,1.473355,98.0044,2.1298475,67.571846,-1.0214405,67.20821,-1.2700198,53.52842,-1.4706801,53.411182,-5.844452,59.854073,country
1,0.2795453,0.09369825,0.09552715,0.0018722027,1383.3903009701435,190635.10772768955,1577.4175538363656,98396.8443214781,2702.2419932456946,917901.6632121016,0.06042026956753096,0.0005677226413781598,1.5700332e-06,0.0,9.243669e-06,0.0,143.5546875,-204.89566,6288.1914,144.8812,973.4315,-25.241747,361.54578,32.494007,260.85724,-13.032557,296.28705,-8.707776,133.59746,-1.5567024,146.04424,-3.5561135,142.82152,-10.114036,126.216225,-1.9252868,90.284546,-8.113539,87.49456,-7.172716,76.90691,-0.42589244,73.93769,-9.539804,67.847855,-0.049697783,90.05969,3.3489156,77.86134,-3.8274138,46.826237,-3.1718326,56.391563,-0.36518893,56.49804,-8.661967,55.45609,country
2,0.2818382,0.08628588,0.09892112,0.0013599547,1633.5706003613561,147352.54094183564,1702.683780311377,54350.39342483198,3239.1804131191952,500554.64085527736,0.08343222414376934,0.0009795528620689734,-5.370704e-07,0.0,-1.4185094e-05,0.0,143.5546875,-170.68613,3232.3376,125.80446,913.22186,-36.09195,210.2603,37.451733,102.60305,-15.171439,102.15393,-0.2841228,109.78259,-1.7847416,79.77498,-7.9732275,77.89441,-4.0699105,63.302383,-7.206881,82.980316,-10.13183,92.51283,-3.3090866,77.33375,-1.4929813,90.73981,-6.2199187,73.94524,3.3590775,83.47077,1.0869524,68.16609,-3.6033037,53.547432,-1.3324833,66.752785,1.1277524,75.220924,0.07060036,78.50326,country
3,0.277628,0.08713869,0.089213,0.0019011708,1233.1714021466285,122763.00435767492,1474.1426247289894,113905.04557738068,2312.877681011755,841708.5285626987,0.062305745694659444,0.00045041357288639044,-4.0397984e-07,0.0,-2.1864364e-06,0.0,143.5546875,-228.42456,8104.3257,154.85806,784.0274,-25.002104,287.5152,27.379305,307.23438,-10.594688,200.44815,-5.4101515,167.7933,-3.0428727,108.686485,-5.122118,125.47792,-0.13478887,109.6317,-1.2743515,109.531685,-2.7432158,98.51358,-1.8242201,91.32967,-0.8894574,88.22943,-5.2817917,69.35482,3.1681788,102.2606,0.625931,89.737274,-2.108815,66.68219,-2.5145094,71.58056,-2.5706851,81.60496,-3.3363864,102.38907,country
4,0.2829935,0.093503736,0.11072663,0.0017037193,1292.256532208474,142683.6364418337,1498.9173451750914,81190.21855141153,2529.4680379861647,793916.933279034,0.05792519773123065,0.00038267674718531447,1.2062485e-07,0.0,-4.511564e-06,0.0,143.5546875,-192.8483,6033.538,151.12326,778.8392,-27.019005,332.4229,34.17277,231.0788,-11.271238,266.95633,-7.2577786,120.53303,-4.937964,157.88434,-3.5509658,145.13591,-9.196225,123.37833,0.12256917,121.19413,-3.81828,122.051796,-5.451191,88.34869,-2.4471662,63.868336,-9.967329,72.42421,0.44459572,93.61444,2.8707838,63.66801,-3.0107837,54.622166,-3.196601,63.743855,-0.37433574,65.82606,-7.4438915,65.9845,country
5,0.31692824,0.088110566,0.10569685,0.0044483948,1426.8572048034712,89950.57207744384,1052.6619810186353,21739.740415858596,2584.0093748488293,230971.54522655188,0.10087505139802631,0.0009486675335293739,-7.761651e-07,0.0,-8.397068e-06,0.0,92.28515625,-208.91985,2774.6484,175.45232,307.5807,-91.98279,713.756,22.515223,233.60251,9.913406,341.82812,-28.776503,144.70613,6.859942,146.33678,-17.393343,119.2227,-24.174599,59.95391,-3.9616094,48.56186,-10.384428,58.38586,-10.879364,60.721767,-10.319653,53.32357,-14.777803,36.13075,-9.41081,38.612568,-6.0125585,36.27944,-6.7520266,42.2064,-7.6122155,37.705017,-6.438398,32.409027,-4.6866393,32.08611,country
6,0.346949,0.081387274,0.08485348,0.0033324724,1436.7779357175154,45813.99160911136,1034.909517030956,4993.6743471861155,2567.842805939193,85289.00263224266,0.10801408608262383,0.00082992334976991,-7.4005214e-07,0.0,1.9747763e-06,0.0,99.38401442307692,-213.24443,1789.7562,180.4418,109.9023,-97.98252,541.19434,21.77537,208.17139,13.515084,303.67334,-30.996885,81.429955,3.6802382,101.069046,-19.80232,89.54846,-22.348772,40.88919,-0.8586379,45.388927,-9.046874,65.608406,-10.979585,47.535397,-12.63159,46.04751,-14.177261,27.126675,-9.22452,41.06568,-8.507396,27.762516,-5.9739327,42.5147,-6.8255987,25.09916,-7.4607415,27.800657,-4.981612,29.464462,country
7,0.3164334,0.0876199,0.09784613,0.0033765507,1473.2082456554613,54880.94541907495,1038.6883798420865,9698.332237298868,2592.959320729731,102121.96405839751,0.11041921137287151,0.0009485143995994378,6.508472e-07,0.0,1.4573808e-06,0.0,99.38401442307692,-209.652,1517.0166,172.92867,187.51495,-94.508965,519.3641,21.661293,315.05026,11.462175,296.8483,-32.381294,116.00018,6.1185913,137.06247,-17.580307,111.59683,-23.860153,62.93541,-3.5622861,56.784927,-10.612493,71.05587,-9.918798,62.805016,-11.613793,49.234283,-16.003792,41.766205,-8.267072,32.796143,-5.8059783,39.16651,-7.412652,41.850384,-6.956871,29.265196,-6.3841214,37.452217,-4.938444,35.80747,country
8,0.3089266,0.08626757,0.091616794,0.0032743122,1460.0492907392302,45680.37653262225,1033.6790386543955,6606.037336540049,2578.4010754281153,81116.21205531605,0.10984476284345976,0.000798746369874305,3.6305897e-07,0.0,3.3398042e-06,0.0,99.38401442307692,-215.55312,1493.1581,172.21231,159.4554,-93.0469,490.4188,20.48839,250.96701,13.647394,282.5896,-30.90607,130.9872,5.829127,145.92972,-17.96271,103.63886,-24.5952,57.41665,-2.1068685,50.34281,-9.367012,63.445946,-10.728473,51.911057,-11.746868,48.098957,-14.969748,41.57345,-7.297233,44.051468,-6.9897103,39.159275,-7.814385,40.246452,-5.536465,32.839184,-5.758281,35.233334,-4.540521,34.197865,country
9,0.32669368,0.08467865,0.09272186,0.0031350914,1398.0598194762904,42411.95027748269,1016.7082455414102,6181.551188511216,2514.75146030863,90542.86888489632,0.10483723454431114,0.0007740786612136109,1.2072088e-06,0.0,1.160467e-06,0.0,99.38401442307692,-212.13383,1822.0576,183.78674,115.81787,-96.25438,576.6087,18.768919,222.7407,12.178688,348.772,-31.789438,106.36998,5.544884,126.61671,-19.382023,116.53666,-24.557732,53.949,-0.41351616,51.777355,-7.199314,64.518684,-10.3591175,66.62609,-12.183164,44.33109,-14.003054,31.606842,-8.404659,53.58502,-8.786871,31.675406,-6.828505,41.338524,-5.1326313,29.71084,-6.864769,29.55122,-5.4573946,33.20144,country
