,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.40876365,0.09894884,0.17915305,0.014430959,2734.323725298463,939589.5741135724,2583.1706920108513,254405.3466801803,5685.332288240132,3345426.875089315,0.1351745416505418,0.006000506594984351,-2.3842165e-06,0.0,-1.5184802e-05,0.0,117.45383522727273,-101.870224,8846.556,68.45528,1272.8208,-5.284986,554.51624,22.815224,201.1292,3.1253524,272.50473,10.401839,198.92249,-2.9351022,122.026024,4.5587,104.8534,-1.2582453,103.84668,1.617661,98.5773,-3.3067014,87.43308,1.6407335,83.438286,-0.7292963,97.02269,1.8927008,105.19998,-1.3281322,52.000084,3.5441818,50.946926,-1.0208073,58.935867,0.5766681,88.434364,-2.8368757,55.847595,0.41086704,93.55653,disco
1,0.4264983,0.09271359,0.22657005,0.01197844,2864.621189628812,650344.6475215631,2689.839814201906,146638.77331247207,5988.522121559356,2169868.599442983,0.13903695215750775,0.005589002378775619,-6.7846704e-06,0.0,6.0784434e-05,0.0,117.45383522727273,-41.9065,4138.8853,66.9927,691.4309,-3.3123255,403.19363,24.412266,251.4896,1.0883464,226.67143,10.622725,247.84366,-0.6479282,115.01056,5.7275114,98.58765,-0.91776466,117.12892,3.2297168,81.22569,-5.312651,67.68973,0.94994193,50.95038,0.14329804,52.63863,5.2843776,46.667595,-2.452097,47.223362,4.0267925,56.055927,-1.6418599,56.67933,1.6485647,59.52038,-2.2458267,52.154175,0.53156626,77.65771,disco
2,0.37509272,0.09499757,0.24358654,0.010752291,2903.8281701526907,624522.6194933455,2694.3401717759066,146561.15194739145,5973.022215285168,2056962.451569837,0.13886159418537153,0.005103489738216414,1.3312153e-05,0.0,-1.3173291e-05,0.0,117.45383522727273,-36.768093,3762.0845,62.959457,747.8667,-4.664943,568.4558,22.418201,252.82709,0.94573325,287.48984,11.687127,257.10266,-0.12108168,122.66871,1.9247001,154.0371,1.9606544,104.04616,4.568609,72.09635,-7.139684,111.104996,1.9303861,64.07442,-0.42993358,54.165108,5.120147,55.188747,-1.8418165,82.300995,4.6229115,86.04657,-1.596702,79.77812,2.6168563,76.96352,-2.5420182,73.41935,1.0405335,112.622185,disco
3,0.4018774,0.09635473,0.23971617,0.011317997,2914.7018097049395,650416.1183100785,2722.896230679187,128247.31174979723,6069.36329939048,2046087.275105532,0.13974556465267027,0.005915525874575405,-1.4443546e-06,0.0,-4.608592e-05,0.0,117.45383522727273,-36.019966,4372.1924,63.943485,669.9239,-4.0733795,492.7309,22.175385,251.45956,1.3945155,220.22937,11.06272,279.55685,1.1135615,112.54141,3.7590396,119.56928,0.7286139,114.5834,3.8569148,67.206375,-4.9315352,84.018196,2.2840085,59.972523,1.0027986,59.60778,5.241713,51.637627,-0.95539576,61.26372,5.6104674,69.71561,-1.8044909,65.925934,2.243128,71.72278,-3.2835734,58.801918,1.1813129,59.37691,disco
4,0.3636378,0.09276843,0.2571413,0.009834157,2845.332632198558,540572.0752738864,2676.6073746965444,143688.42563891865,5887.364399912925,1956549.994614844,0.13204946606520898,0.00400083646719423,1.0086811e-05,0.0,-3.188851e-05,0.0,117.45383522727273,-26.4323,2979.8452,65.96398,665.62775,-5.0399394,545.84045,22.579056,199.5752,0.008046472,219.52481,10.83448,265.37808,-0.44786143,93.77325,1.6076717,138.92665,3.4176543,120.07017,3.3499715,78.19726,-9.4089155,113.933464,0.9175242,75.2865,-3.332272,77.61976,3.8996394,67.09489,-1.4691966,73.28269,5.7805705,87.955414,-1.0976825,91.21491,2.6752944,73.80876,-3.7094293,78.99899,0.14466277,87.87731,disco
5,0.4207343,0.09545035,0.23945928,0.012227385,2892.7720529922212,863599.6188902496,2704.196883969842,149082.10487500805,5935.055778196353,2531458.937566262,0.14138425466815016,0.008312603102065684,9.221814e-07,0.0,-5.680453e-05,0.0,117.45383522727273,-47.62379,7070.669,65.03522,891.2485,-2.015333,575.34576,22.99966,237.75455,3.0712485,204.30984,11.209062,289.2349,2.0096805,119.83404,4.479006,117.7529,4.114833,107.05386,5.69862,66.46524,-4.314588,79.15294,3.1135168,53.014736,1.0863311,49.993458,4.967977,50.478703,-2.1546023,56.610554,3.4067223,54.536316,-2.7820966,69.569824,2.2346034,73.374695,-0.79656625,63.15746,3.0884573,62.71664,disco
6,0.40131024,0.09175228,0.2341031,0.00989448,2841.2513546308464,505382.4326071859,2597.118408865908,100691.44894542755,5747.665244654605,1595693.9942773243,0.14477992574496903,0.004580910155748231,-1.6211334e-05,0.0,-7.258725e-05,0.0,117.45383522727273,-32.743248,3729.0112,63.19864,715.84875,-14.416148,429.29315,22.322659,340.07327,-0.17192975,202.90521,11.003322,225.12389,0.19257629,105.4455,6.1082582,98.02282,3.4481568,98.288284,4.529804,64.12758,-3.9911366,69.61901,2.0657673,56.23983,0.6573523,52.84934,6.7926636,41.639366,-0.5908911,54.325054,6.5515056,73.8448,1.3466647,84.31318,4.207469,70.012085,-1.1040232,66.23103,0.93331444,98.093506,disco
7,0.37176582,0.09231115,0.25273147,0.009204589,2708.8198686494507,351908.8311445819,2526.84949110012,101951.25991612516,5550.691435728279,1291325.653222,0.1372236600232198,0.0032773077859871136,1.4021446e-05,0.0,-2.8354953e-05,0.0,117.45383522727273,-20.97038,2945.9146,69.67184,542.42737,-17.971184,389.10583,19.387018,180.3918,-4.030244,186.17105,9.054739,172.83359,-3.2904944,143.4139,4.395909,118.67407,2.188754,101.38622,5.4310107,64.1201,-4.328472,76.62872,7.1843634,62.057808,2.4959447,51.170303,5.406389,56.382687,-3.3890982,59.94701,4.1027913,65.11268,3.7326226,67.83607,8.651813,58.682095,1.4792099,59.02276,-0.83075774,63.13494,disco
8,0.35622424,0.089416474,0.2085405,0.008293034,1589.0688488710925,809334.5209638474,1944.6281033183081,376298.14952999935,3159.4975616171632,3982637.1390972147,0.06689301954334366,0.004160199000668619,-2.7188232e-06,0.0,5.0683204e-05,0.0,107.666015625,-121.85084,11528.401,132.55931,1979.983,-1.8110436,524.83105,17.911486,332.61584,13.909549,259.5075,11.183568,192.34677,-3.0223253,125.94518,3.2322035,81.78938,-5.0523195,51.567005,6.9345655,75.064186,-0.42866436,62.057766,1.4582477,53.381447,-6.425928,47.38406,-1.7102306,46.674095,-5.7708416,50.698452,-0.0373906,55.813236,-6.664956,38.267162,-4.073376,51.12009,-6.0787215,71.575226,-1.7487941,73.72217,disco
9,0.32983878,0.08826812,0.24731351,0.005835462,1782.8197705684202,558258.2711989584,2010.392413304077,207222.85897916928,3453.69578264077,2352641.3424355346,0.08168091198239164,0.0030648187743390165,6.2970057e-06,0.0,8.5209474e-05,0.0,107.666015625,-59.813583,5004.3013,122.80864,1350.2675,-14.557029,442.78735,16.409086,257.27957,5.2339826,206.85211,5.822088,173.5587,-7.2859983,109.78586,3.2314763,79.18571,-5.0292907,83.89228,6.5551476,72.94108,-1.73694,61.196674,0.33432016,54.17179,-6.6611357,56.227688,-1.1119952,60.808407,-5.847478,59.035046,-0.88610464,60.209904,-4.6877246,51.68392,-2.0316176,71.25433,-7.1871166,78.09199,0.9180477,101.233246,disco
