,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.41152057,0.10180869,0.21487002,0.020166712,1924.4898400447914,1148798.1376190383,2218.5751983366126,488572.2949808153,4108.733488384046,5119117.796366777,0.07635592528541021,0.0050137968315544035,-0.00010600389,0.0,4.86524e-05,0.0,80.74951171875,-124.25517,15008.222,104.32556,1461.0347,6.5032177,384.48663,21.133703,247.29803,12.706587,195.38203,11.224031,112.0775,1.2089895,126.943405,8.495929,106.33426,1.439334,107.054276,4.779121,97.62341,2.727177,93.017365,5.0931644,65.73602,2.3983188,49.21652,4.3156686,54.4787,-0.7193798,60.89694,2.398714,55.949806,-0.4295228,47.05082,2.0928895,42.15528,-1.0987643,38.245018,0.66113716,45.72722,hiphop
1,0.44469643,0.090517044,0.3110342,0.008001294,2063.5025504941827,712865.0125793915,2500.2308408397407,247868.4940904705,4576.480659980892,3860671.814047499,0.06800034466911764,0.0017811557217995517,3.348915e-06,0.0,4.5981546e-05,0.0,80.74951171875,-37.04646,2354.5537,101.86871,1009.3755,7.0795293,402.55978,20.992374,213.41336,16.318516,154.68837,14.583597,105.302246,0.71230096,82.93298,13.558207,72.21606,5.4275074,73.87902,9.883257,50.961723,5.174384,59.403576,8.457472,48.59321,1.6841446,45.05432,7.9708376,49.22764,-0.44313034,43.905865,5.4834666,52.453934,0.28349936,31.235258,0.3289454,43.651905,-1.150916,36.93013,-0.0024453274,43.931786,hiphop
2,0.4453082,0.08758549,0.32597739,0.0077532325,2275.153032025339,579596.655906964,2597.2553297457666,174219.041315603,5153.227172473636,2746502.797432354,0.07836460550503097,0.00203445985378955,-3.0304796e-05,0.0,1.46859975e-05,0.0,80.74951171875,-15.323528,2001.5255,91.10258,763.6035,6.5576572,285.09995,26.270031,194.455,10.491263,131.97081,13.645027,73.57838,-0.1789305,81.81849,13.288083,59.88583,4.9101887,54.79736,10.191852,48.845726,4.577474,48.040184,9.496424,44.24414,2.6615906,41.98391,8.813875,49.98696,-0.5569501,39.66393,5.013933,33.557858,0.70357585,31.659945,0.9711249,41.958897,-0.7384079,34.311253,1.1938114,37.259003,hiphop
3,0.47139758,0.08600617,0.3082126,0.008331088,2054.5622771016324,677375.5654377578,2464.284474179881,252563.06914319572,4522.139321908862,3755171.399736167,0.06828983649380804,0.0015850775374099627,1.1115356e-05,0.0,3.2356886e-05,0.0,80.74951171875,-39.522995,2597.2458,101.224396,1098.376,4.948605,398.60648,22.785957,236.62195,16.49571,204.03635,15.0505,123.32434,0.7212484,94.50103,15.49304,61.34606,4.9495873,66.689285,9.992913,53.205494,5.720285,65.6974,8.75311,43.719223,1.90137,53.97736,9.116293,52.46841,-0.4909137,43.608624,4.4530926,38.47872,0.36227363,36.778534,0.56316143,45.701996,-1.448239,32.11871,-1.0169785,48.44159,hiphop
4,0.45240846,0.087985046,0.316741,0.007298026,2181.8547678109817,660680.9992104898,2536.170136701789,215592.93498504043,4912.003631119389,3242308.181626793,0.0732025052002709,0.001871444578642865,-3.226586e-05,0.0,-3.0694922e-05,0.0,80.74951171875,-24.552494,2149.0237,96.07755,941.2624,6.3210683,366.9059,25.238073,203.91196,12.362914,138.06926,13.552386,102.16526,-0.7295023,79.6572,14.3815,66.16276,4.250474,53.942554,10.521309,50.33681,4.9976254,60.848648,9.342474,43.71092,3.1005867,46.434986,8.6101265,42.785984,-0.39868858,33.75523,4.666151,33.782745,1.2666314,34.423138,1.255112,44.52675,-0.17060441,32.84668,1.4682956,39.548073,hiphop
5,0.4044573,0.100901544,0.25985494,0.012149482,2436.1609322874924,807891.93876093,2583.2281232478194,188178.55770990133,5257.659874316709,3347768.3686468466,0.10257080833978328,0.004759450914450048,-5.952558e-05,0.0,2.7451297e-05,0.0,80.74951171875,-37.03215,2771.409,88.41702,941.23065,0.023076674,420.042,17.272478,301.2683,7.831533,182.81746,7.4840508,160.24173,-6.3963213,124.186554,9.310679,80.590034,-1.1374229,106.0632,5.9936457,66.965996,0.63335043,65.81255,4.998552,68.15983,-0.5117959,75.13227,6.0839915,66.11917,-2.0829613,62.23418,3.9600437,48.451538,-0.017014777,40.283268,-0.1765519,55.581455,-1.294097,41.61806,0.8073546,48.41177,hiphop
6,0.44389397,0.09132672,0.3054732,0.008808827,2271.1565920554544,762718.4379085329,2568.9741604231053,215595.5700111121,5026.5279386065695,3483498.0449420954,0.08219375846555728,0.0030037347171596126,-3.5938338e-05,0.0,-0.000112459966,0.0,80.74951171875,-27.763115,2174.1785,93.38701,1013.70105,6.6940036,426.1013,22.841633,229.76604,14.523725,176.58455,14.908409,108.16393,-3.3560886,104.89614,13.61385,93.7563,2.0415945,80.89476,8.326781,64.64096,5.1301117,69.9524,8.930772,51.980083,1.8094056,51.540085,8.001645,49.8365,-0.262906,39.98336,5.4213715,40.016586,1.0629364,34.559048,0.4559997,38.38489,-0.377755,35.91282,0.9714549,40.28134,hiphop
7,0.45551947,0.08495214,0.33915788,0.006408728,2232.059519428656,639459.8891520195,2572.7816562106864,209073.67166022482,5046.869482270704,3039631.428862507,0.07411897736068111,0.0016305764126939215,1.235481e-05,0.0,8.535009e-05,0.0,80.74951171875,-13.683361,1715.4191,94.36992,736.5853,5.867363,368.62207,25.440622,196.7365,13.919752,140.39352,13.246742,84.64238,-1.5718423,78.524765,15.596752,65.331985,2.8626616,57.405952,11.326129,46.799595,5.040763,54.27575,9.748027,39.898396,3.497963,46.68762,7.0939336,43.49979,0.5547565,32.433365,5.5555506,29.939066,2.3534973,27.70546,1.6455305,39.311604,0.39294022,37.3595,2.272512,32.944828,hiphop
8,0.42617434,0.10055786,0.15126942,0.013470249,3215.6484472227257,2247786.9271668,2537.222596506278,389753.32777648995,5944.747386259191,5597537.921647751,0.17745168585526316,0.023415550533715492,-3.0148256e-06,0.0,9.115496e-06,0.0,103.359375,-157.6712,13932.968,40.713158,2285.1614,-25.654644,2008.3374,2.7639236,809.6253,-6.2063727,484.1478,-16.738083,675.5193,-4.122746,412.80533,-9.567306,271.9895,-9.553647,272.43353,1.9935719,317.39267,-13.412924,214.60156,1.0249957,215.4464,-5.9438577,154.3594,3.686402,116.7597,2.3697667,129.70065,-5.8475413,91.33885,1.1639832,99.54565,2.0794618,87.47192,-4.7739086,80.28836,2.964254,69.272316,hiphop
9,0.42548394,0.09610582,0.23948376,0.009913279,3144.286439507523,1262948.457501803,2769.5076405345417,274181.26275469863,6304.770209250435,3673599.9720055657,0.1367353787732198,0.006396796773747392,-2.5034356e-06,0.0,4.1173644e-05,0.0,103.359375,-56.30251,5056.7397,52.04055,1212.2559,-0.43428573,1510.9696,17.487474,615.64795,-4.028495,481.07968,-3.6940525,507.02713,-5.564706,363.00006,3.5329514,246.05594,-4.363727,225.31432,6.164443,251.77167,-6.891647,216.66328,-1.8345689,149.73434,-3.0669076,145.34036,1.6748922,98.80447,2.0233994,80.7544,-2.9669166,73.086205,-1.4548073,76.96971,1.3528119,83.164,-3.6763382,69.21003,4.741419,61.09779,hiphop
