,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.5623633,0.079964705,0.29032928,0.011275692,3268.49288401358,560595.1097349799,2830.2073977254718,111119.57184645077,6652.0264427728325,1525322.5414441037,0.15549376874516255,0.0040728824293684626,-1.5762409e-05,0.0,0.00011249117,0.0,103.359375,-8.928212,5296.86,39.385265,671.6976,-7.9365683,660.18994,22.348726,440.35733,5.805057,239.85608,17.917257,191.6599,6.833041,117.24276,12.337255,82.26437,1.6421463,91.76794,13.596548,88.97931,7.1296735,75.147896,7.764709,70.72362,2.3955142,64.20501,6.106755,75.13884,1.877955,72.690285,4.1457853,45.77107,-3.2062783,48.91856,3.4071536,57.543137,-0.31202006,67.81382,7.5901327,66.31008,metal_1
1,0.4978248,0.08393632,0.3186802,0.011073063,2675.7665071407914,549999.7165170026,2476.949115775868,195852.78485115516,5381.750790622581,2126452.9679041165,0.13465640419407895,0.00416411378347895,1.2012425e-06,0.0,0.00010667241,0.0,103.359375,12.164115,2133.9119,70.86002,676.30225,-22.511036,690.34894,30.351164,241.62921,6.542956,236.47484,11.978605,148.25014,5.9400845,134.39223,12.113651,120.42349,1.9759605,80.88388,8.554142,91.39591,1.2636392,65.73049,5.3229938,56.03842,-1.0324016,49.42977,0.30670604,53.80546,-2.9815772,46.661415,1.8803566,56.8324,-4.4283056,50.69284,0.6965728,59.35886,-0.29715613,75.862495,6.1004634,93.77739,metal_1
2,0.51282424,0.07452051,0.3353853,0.008425433,2919.088293445419,616948.3923873655,2640.1105155847267,115622.83191555332,5942.539066279267,1781564.864940743,0.15717176313370743,0.006259568100518153,8.975812e-06,0.0,-2.1634567e-06,0.0,107.666015625,30.999872,1736.4344,62.580025,738.2538,-13.429698,369.38162,26.405422,300.15393,5.7161794,199.0065,10.146458,143.46469,3.6516745,137.07578,12.005997,105.046394,1.3062812,87.92745,10.488444,76.49597,2.3633492,72.88137,6.1085773,60.22215,0.2745184,59.11297,3.0309918,56.088768,-1.2081747,54.2089,2.0581875,45.7523,-4.513973,44.132668,0.49656418,47.093777,-3.3529866,46.249527,2.7832541,52.936,metal_1
3,0.51643986,0.07459623,0.34398234,0.0073511377,3016.268518053731,546197.106592426,2705.178035864998,98335.60121671784,6181.054290677002,1526153.6082683788,0.16258518467008515,0.00561785442488126,-1.5740263e-05,0.0,0.00022086344,0.0,103.359375,39.033936,1418.794,58.82672,663.7704,-11.112895,378.73016,25.58707,275.46664,6.508684,236.57184,10.987376,134.25452,3.5235155,144.1171,11.672172,99.4806,0.8972746,84.668785,10.70011,70.443634,2.6700249,77.1948,6.4648995,55.514984,0.71125484,50.46682,3.443686,50.31343,-1.1010025,55.22932,2.3646538,43.245403,-4.687155,43.24347,0.7523119,44.638313,-3.3878505,50.63698,2.8339067,55.167896,metal_1
4,0.46035883,0.087171406,0.25201926,0.010607127,2393.980501537473,505080.2261923602,2666.1544796540957,143169.17655638023,5426.908850891302,2234392.3863298227,0.0903577302631579,0.0027997317367760076,-5.5002083e-06,0.0,-0.00015314312,0.0,99.38401442307692,-50.55693,5778.078,75.803795,749.7418,7.370948,293.58237,32.43337,174.93532,16.451513,122.893,20.15841,105.043015,7.411555,93.7834,10.59697,58.520252,1.8645427,50.473373,9.608107,76.17359,2.7504332,64.71315,4.080755,54.058556,-0.7893794,38.2879,4.701213,47.054512,-0.6997513,36.72192,-0.20685485,37.254246,-5.7314696,31.097418,0.009598723,35.54821,-6.3764405,34.651993,0.30533662,41.576485,metal_1
5,0.48379114,0.0774914,0.33567503,0.0053274897,1967.4853563336208,603199.4811486134,2233.0202008086862,213273.39971950225,4075.8586871734715,2909159.2020404665,0.08497265322658669,0.002432268886778737,-3.6272768e-06,0.0,7.6892116e-05,0.0,99.38401442307692,-12.9172125,4505.3813,104.36128,1370.9546,-9.669441,267.2825,32.878124,128.96103,14.2668705,178.45175,14.348485,79.797264,5.773493,69.55461,10.0091305,65.82343,3.416652,44.75126,7.1870017,48.582146,2.0328493,55.116802,1.569839,38.79557,-1.9128724,34.746384,-1.5443202,37.20042,-2.1741283,32.656258,-0.101563916,24.82146,-7.524233,24.900383,-1.3871334,30.26698,-5.6194763,31.60163,-0.006635825,40.264057,metal_1
6,0.50905156,0.07492454,0.3671543,0.006814648,2908.363710177679,347057.1100167405,2677.1439899112183,43818.016335791464,6027.9302165973295,836716.6420583908,0.15156446521865324,0.003997183639396309,-6.5520235e-06,0.0,0.00019977527,0.0,103.359375,49.302334,766.23004,62.06838,404.19592,-11.601761,228.81526,26.205547,197.0964,4.696283,167.33072,11.400732,94.71065,5.4495397,106.061264,14.548095,74.98279,1.7403294,50.662014,11.032935,55.643635,2.4878254,66.465965,7.126719,55.56244,1.9204509,45.492798,3.3660069,51.308483,-3.292974,44.17579,0.806313,41.736958,-6.7992287,48.002007,-0.3288541,48.5051,-3.3956294,51.100323,3.4423478,52.96615,metal_1
7,0.3181022,0.089104116,0.11118357,0.00323602,1588.1554133587929,334461.4616836569,1932.3321847923132,184896.4462919713,2991.515244049923,1771830.5541235239,0.07333402367937307,0.0015314967448570465,1.0010064e-05,0.0,1.5883375e-05,0.0,103.359375,-158.78206,11244.095,126.203125,1065.3873,-7.823441,302.43085,19.93011,389.26923,7.3368053,62.137173,7.325605,49.530033,2.7378318,60.460495,2.1528358,65.363304,-3.663837,43.835407,0.6948168,61.1253,-2.341861,45.93391,-1.4910645,44.753277,-3.2016227,32.6812,-7.5825644,63.04888,-6.808493,44.74033,-3.4125183,41.5952,-5.6147323,37.813194,-2.8555758,42.802807,-4.5908823,39.380093,0.29075655,51.571995,metal_1
8,0.5556374,0.058828186,0.24702138,0.0047372608,2729.1916741577948,95558.67046036628,2471.757393512041,30349.51880834081,5347.934328439435,450233.3333181307,0.14493978872387772,0.0011559526508846652,-6.858573e-06,0.0,0.0002170567,0.0,103.359375,16.421892,1603.3132,68.80937,158.79279,-24.844423,101.383865,35.32427,257.8262,11.342872,108.191635,8.2775135,41.516186,3.096697,32.866287,13.861736,64.941185,1.2987351,41.909153,3.9616046,38.897564,-0.6656263,38.175243,5.7516384,30.541893,-0.64766717,34.782578,-0.06294586,37.310734,-3.551281,27.826084,2.220108,26.527617,-2.999412,27.111473,-0.4563475,23.450283,-3.3531256,22.54497,2.841299,38.374077,metal_1
9,0.54371184,0.064634696,0.27004373,0.0035729252,2647.355304439462,141717.75919866835,2442.096013875101,57341.49641161447,5172.385389959849,798987.7736201596,0.14000897953753869,0.0013327298843180421,-6.63891e-06,0.0,0.00018232124,0.0,103.359375,25.427446,1125.8322,73.56252,187.22922,-26.061285,153.63214,35.03882,254.9286,11.340257,97.55084,7.113886,76.50713,5.488453,59.795628,13.891134,69.571175,1.3057568,44.68424,3.4243531,45.610153,0.711646,40.256145,4.717044,41.6983,-0.6080392,46.31872,1.1812495,33.310204,-3.074252,34.29047,2.567958,29.479591,-3.6875658,25.969433,-0.8527031,29.353123,-3.709583,35.096195,4.0669274,36.420883,metal_1
