,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.26121545,0.09927806,0.10132568,0.0023197727,1914.2783552956782,1119200.3866736984,2395.4274992021838,632308.7118556622,4558.3307697307955,7399208.102606233,0.06040250701431889,0.003750769172240255,-5.0678605e-06,0.0,-4.0074056e-06,0.0,161.4990234375,-246.32433,7856.1255,97.62625,1924.6151,21.592873,314.31598,3.7900448,350.4866,8.785099,300.9498,-1.36452,150.90186,-14.05407,120.46638,-8.967724,126.99404,-17.12957,196.57191,-1.9298538,110.05101,-15.886691,90.783615,-14.026434,92.92249,-17.927992,107.50596,0.8028639,169.60681,-4.722883,123.410965,-2.5947635,111.261696,-14.379852,73.24123,-10.239256,66.10178,-10.763221,99.78267,1.3401692,139.834,pop
1,0.28604773,0.09449727,0.15333435,0.010049045,2154.7049179966007,1337688.14917389,2522.7792345819303,509684.9846095561,4924.59522164643,6678110.302836529,0.07170213634384674,0.004669829852269383,2.1940675e-06,0.0,3.1370742e-05,0.0,54.978390957446805,-185.76328,11263.553,90.292076,1626.0865,25.732359,651.20233,13.631103,316.8798,12.427574,227.02847,11.492576,242.27496,-5.477629,186.2562,-0.38032708,217.73788,-5.6855264,155.28326,3.711041,143.15898,-5.1745386,128.76526,-3.6169426,149.72263,-12.341093,103.61095,3.0698886,112.8781,-2.979448,79.389595,-5.147659,67.26986,-6.3537498,73.869484,-5.0800443,69.440285,-10.443075,82.67309,3.5648386,125.066864,pop
2,0.32453015,0.094023645,0.18674913,0.009925268,2447.8751441537647,1300130.8840787425,2810.214101480873,345424.9770202738,5706.532160047407,5860183.032780037,0.07996777041408669,0.005077761394356048,-1.1156574e-05,0.0,3.5818815e-05,0.0,161.4990234375,-132.81264,8574.486,87.927475,1267.4111,30.150938,705.1953,10.439275,275.9603,14.131624,190.01889,11.716973,205.74657,-2.3954096,167.3046,0.9779418,127.06153,-6.7321663,131.27284,8.889927,135.19257,-1.8625062,92.12085,-1.1225998,120.18035,-9.719062,81.831474,3.8154342,97.416336,-3.7783453,55.781982,-3.367413,71.28723,-5.424561,66.63629,-4.1453047,64.71695,-8.445726,64.66041,1.2986118,56.903664,pop
3,0.37093356,0.09462002,0.16997269,0.010564173,2144.5149259251307,1433843.5765732431,2512.9834034709093,505564.10867192596,4728.2297423749515,6801194.981501824,0.07399955253482972,0.004883613680258434,-1.0393293e-05,0.0,-4.0445455e-05,0.0,161.4990234375,-145.93823,8646.773,102.08139,1663.2867,20.281605,839.7285,18.673641,316.4503,15.302,270.58868,4.4982204,206.42418,0.08484737,186.27382,0.5786693,160.76375,-1.4534222,150.3421,0.7283708,145.96222,-4.2705107,118.7792,6.250358,128.02725,-6.3240075,99.18991,0.29371497,105.8596,-0.9143318,76.3923,-2.6731653,56.73752,-5.9278502,62.126984,-4.455763,49.606686,-7.233672,54.900482,1.0525415,41.154186,pop
4,0.38719696,0.095282085,0.15996632,0.0099215945,2037.6294944163747,1578381.3486213523,2486.9084838864624,519788.15789525944,4359.906969572368,7810813.059545124,0.06394821497678019,0.003975376717732047,6.2157123e-06,0.0,2.9513612e-05,0.0,161.4990234375,-171.31387,7390.7886,106.6514,2091.9146,28.889769,1061.1005,18.005638,363.7355,14.052734,310.1142,4.142785,371.7068,2.5262258,256.9165,0.4583841,195.38695,-0.06196977,153.56743,0.2905472,164.00583,-3.6007938,147.97354,6.8465567,148.42683,-6.8129187,132.57175,-1.1820791,115.34501,1.080025,96.57634,-1.7897519,83.73133,-5.066213,74.28743,-1.1866598,66.95569,-6.4843144,68.58624,0.41031182,50.229004,pop
5,0.30884367,0.095684655,0.16780275,0.01057317,2493.1024343568556,1237829.2466541827,2786.0476372524126,291595.17335783486,5776.581736467202,5141656.025530888,0.0869764203995743,0.005247655654473676,-6.466023e-06,0.0,3.1328997e-05,0.0,54.978390957446805,-150.20415,8937.955,83.26087,1333.4901,26.71582,729.5612,8.8698435,332.10846,9.178913,234.86809,10.281544,193.37038,-3.7891653,192.16357,2.1698723,151.30917,-4.4212275,149.92453,8.111514,153.8044,-0.84709567,108.32449,-2.9099767,144.67104,-11.291284,92.8615,7.132798,100.00684,-1.7362034,61.59285,-2.0432286,76.11546,-4.705826,77.69195,-5.8848286,86.21411,-9.595854,83.224976,4.805035,115.330475,pop
6,0.3311553,0.09176164,0.20341751,0.008671877,2504.9626271483176,1047705.5040960861,2860.0453695780825,211552.42623813188,5821.11480051519,4400715.207960158,0.08753915320239938,0.005563525698272699,-1.7035067e-06,0.0,-1.9484805e-05,0.0,161.4990234375,-92.63802,2876.3103,89.372314,1032.836,26.385979,487.78677,10.852797,267.85928,12.57203,177.839,7.232537,148.69243,-4.9163384,148.26569,0.7101729,130.89859,-6.1069784,115.42445,4.59847,99.62658,-1.64049,98.632576,1.345791,114.775856,-10.514054,79.7511,4.1013856,88.287056,-4.1101656,67.3735,-4.9551096,59.723316,-5.4258704,71.873825,-4.285296,70.55522,-8.152925,74.684265,2.3488705,52.30828,pop
7,0.31123477,0.089687884,0.22612189,0.0077526895,2305.708450767346,890599.1053985693,2698.978151371146,429623.12266429106,5447.350393950755,5412731.092213291,0.08171152404218267,0.0018886128520536863,7.2319062e-06,0.0,9.1834845e-05,0.0,161.4990234375,-88.48788,4922.917,98.954025,1071.4592,22.75447,528.6792,0.17187193,328.0525,5.898188,195.12636,8.5415325,132.06473,-1.7970436,159.86685,1.7690395,107.792694,-7.229648,128.37648,7.531193,86.34658,-4.6218376,93.8207,-2.6905751,120.1796,-7.763746,112.7679,3.8739097,104.21526,1.7673066,70.34057,1.4221472,70.2882,-4.3677516,94.78034,-4.801154,106.70027,-7.6989737,81.47836,5.6430144,81.328026,pop
8,0.30286992,0.10094793,0.20896892,0.015227063,2655.7723074988694,1407387.5958041414,2819.4420024769197,361426.7165730668,5989.388782985439,5811363.647287335,0.10927976248065016,0.006441946894815687,2.5695052e-05,0.0,5.481397e-05,0.0,143.5546875,-109.79511,9492.915,82.943436,1274.6029,20.719315,863.4438,2.6407456,485.3234,3.8004835,197.46738,3.3935714,265.77792,-1.6135231,230.6725,0.012899015,240.90906,3.7293909,159.99454,1.8423104,220.22495,-10.608382,128.75273,-0.19113094,142.43385,-4.311986,129.19945,5.4199324,146.12315,-1.8452702,108.32883,5.452986,128.03564,1.6009715,122.90162,5.3036847,85.2377,-2.3035147,100.71638,0.101919025,101.4517,pop
9,0.41740298,0.09783468,0.25583988,0.011718397,3475.9198437378022,1281163.5765294642,2959.6737223935293,159551.29329632813,7131.706875544214,2457129.60433482,0.15714757582720587,0.015037497719592072,-1.5736963e-06,0.0,8.044749e-05,0.0,143.5546875,-45.098736,6325.8105,40.322994,2134.77,5.4899917,952.81036,6.928619,821.9882,-1.9875246,519.3882,4.2804894,282.4378,-0.25702646,185.04506,2.4023829,240.12918,-0.45229942,157.16956,3.9957998,133.20992,-1.5792062,203.95065,7.449551,168.69287,-3.9965544,114.14606,2.7121725,100.24302,-3.5143816,85.74845,-1.7572124,86.31528,0.03244746,78.83098,-0.7210601,112.98702,-3.1006753,99.22272,2.8714116,120.7746,pop
