,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.35113266,0.095805,0.17438927,0.011276033,3136.5454071829513,834970.7310211415,3017.3332736927123,119852.94595408654,6954.616279720153,1860646.3518813204,0.1261213084123452,0.007222388082912885,-6.806235e-05,0.0,0.00010439303,0.0,[172.265625],-122.055824,14029.972,55.96187,1048.9329,24.421392,519.31445,11.765133,373.9985,-0.7021447,264.7705,17.048344,160.42769,-0.39351603,143.694,4.9129376,106.40423,1.1340655,140.62918,8.896404,125.49942,1.1614845,80.781166,2.05037,99.40762,-4.351958,76.59832,-0.8879504,114.0037,-1.2073996,86.41968,0.45421684,86.71601,-1.7258431,106.80669,6.3836083,135.22131,-2.9174063,158.39752,4.153533,98.42901,reggae
1,0.3952951,0.099964455,0.21884608,0.006898071,2959.562369604458,1457916.1206564114,2972.7885766684462,279942.4570936099,6520.968901926519,4711222.389357136,0.11050046560565016,0.007254557684903028,-0.00020691266,0.0,8.703077e-05,0.0,[172.265625],-97.61146,7240.206,58.572803,1209.274,23.937185,812.57654,13.158182,519.1655,9.339988,224.45892,15.035585,196.73505,2.7854912,204.32234,9.472253,110.52466,4.3644032,155.3169,10.725439,141.87004,7.5200934,93.490364,10.259722,110.40485,2.9166746,101.48222,3.6471179,92.148964,4.4780426,69.41373,3.6783507,116.43769,-0.592847,82.4041,4.998977,80.69172,-2.79467,98.380844,3.66638,119.872475,reggae
2,0.42806047,0.09287057,0.22879189,0.0066777323,2804.442720320386,1049172.6635538314,2936.6690085291966,225408.83334361456,6341.553320161329,3714805.259234145,0.09864944127321981,0.004521022732698509,-0.000103639795,0.0,0.00022418764,0.0,[86.1328125],-72.2905,3426.5623,71.59313,911.17755,18.366941,623.5243,8.304421,353.3395,7.686738,233.31708,18.021423,123.6932,3.401477,178.3252,8.088177,132.25476,2.1248393,104.40774,9.551394,105.377464,7.548686,85.32953,7.0661764,92.23407,-0.08170968,82.982376,3.0279818,93.95801,5.0684385,81.45651,4.010742,106.70639,-2.351564,99.02579,3.2120883,93.070244,-3.3401136,116.82508,4.8464603,99.129906,reggae
3,0.38471118,0.096122496,0.24882075,0.0056962827,3100.5678384830403,706037.1940194984,3064.131237002212,139232.6606280602,6992.424384433049,1981611.2170859159,0.1128810256627322,0.003871678748856048,-0.00013999036,0.0,0.000100508274,0.0,[172.265625],-51.477036,2495.1533,58.177258,651.33875,18.95603,537.49646,9.380847,390.60544,7.1919346,215.46953,16.682201,155.51239,1.1301773,162.22667,9.132273,110.003,4.371083,135.4258,10.581675,117.03916,4.942017,70.528244,6.1131573,108.69128,-1.4927465,86.98485,2.0992987,119.58815,3.9552145,80.62032,1.2424852,105.55622,1.747579,109.180984,8.848267,128.61623,1.7839726,135.82704,7.663145,132.98038,reggae
4,0.40665066,0.09848035,0.21561566,0.008077581,2757.288817605313,1431018.758216086,2925.9534329295725,311316.5765667107,6151.471136228957,5675473.371267675,0.09631423241582818,0.005472854425092235,-0.00013746702,0.0,5.3605494e-05,0.0,[172.265625],-105.444916,7682.6377,68.733475,1237.9365,26.60178,726.5172,9.780191,359.75525,7.400681,244.25946,17.649061,150.04622,5.0896034,152.82874,7.808423,117.411766,0.79176295,167.22105,9.737803,120.09135,7.0124097,103.00115,7.1708946,104.60009,1.6153364,88.8002,4.6430116,88.06477,5.6362863,95.350525,3.8444984,97.24238,1.441321,114.114525,4.86957,97.52984,-4.595336,126.01804,3.9131596,123.18651,reggae
5,0.39264715,0.09316784,0.25957564,0.005460996,3073.8208633045742,867055.1679071103,3062.2752584577383,155094.40727293846,6896.14163330834,2476802.8453001967,0.1109505762625774,0.004049525274471154,6.671425e-05,0.0,2.11427e-05,0.0,[172.265625],-49.941833,2678.4243,61.095364,702.27997,23.306326,540.49115,10.609925,421.26172,4.9767647,249.9675,14.968714,152.633,2.7193298,148.89082,10.641083,107.144325,3.143342,128.32394,9.872925,126.49151,6.4172115,72.70229,7.621688,88.54814,0.17260836,80.90403,2.6138747,101.091835,4.3791156,71.336655,3.2714186,115.81376,2.3296552,107.03962,8.359927,135.75081,0.49008688,144.9249,8.311737,139.06342,reggae
6,0.39149112,0.09905837,0.22928031,0.006383738,3171.7938420773953,997549.1254726165,3076.840603177228,147287.86524785415,7001.565995821643,2396053.3423516545,0.12139646925793343,0.005686886614099516,-0.00014794488,0.0,0.0001345392,0.0,[172.265625],-69.06388,3941.0518,56.149128,791.1301,21.725111,575.16956,5.6638136,351.39178,3.6569145,250.29808,18.642908,148.95496,3.161299,185.06001,9.444247,154.00433,3.969301,135.55487,9.559004,146.40356,6.162305,102.4479,6.8185897,104.25264,0.043375682,100.8083,1.4915727,111.756775,4.2969217,82.94859,3.8371377,110.73206,-1.6042658,112.33567,4.9967694,120.62091,-3.3172343,148.24414,4.057401,131.19138,reggae
7,0.35358465,0.0952994,0.22764866,0.008733865,3174.598566404043,914184.6551285216,3059.024911946118,165775.65239514838,6979.482796022397,2846008.3245916525,0.12600377321981424,0.005603876643065716,-0.00020275413,0.0,0.00011193625,0.0,[172.265625],-73.590645,6198.1553,56.009766,828.0795,21.141905,568.1599,6.6560307,330.16754,4.238707,203.75467,18.428158,147.83276,2.4490812,182.08388,7.7122254,119.010376,4.3411937,151.62724,10.814954,145.90671,4.686416,71.45058,5.3466344,103.051796,-2.7338061,83.7111,0.26101297,124.21776,2.1929924,96.14045,0.765066,129.02625,0.351205,119.7691,8.155266,145.47107,0.47836208,157.48396,6.4728537,160.1737,reggae
8,0.3910421,0.103668705,0.15073529,0.006399799,1631.4621915973062,1436162.0049540359,2196.5664764611747,617612.0054814315,3420.062652682372,8206929.154288754,0.04697288300599845,0.003738046260758701,2.8894904e-06,0.0,-3.0118814e-05,0.0,[161.49902344],-228.7541,15376.368,97.86819,1761.6373,35.361176,792.8994,32.921375,234.7786,16.861433,185.11624,19.046915,139.20229,7.858836,139.74355,7.050134,138.35751,3.3353887,123.90586,6.1118736,99.76725,2.3345573,109.63668,7.8391666,102.98836,6.676574,56.202026,9.378766,88.89938,7.9694195,76.85396,5.548287,64.55469,3.7837038,57.994965,5.378214,42.126812,-1.0771492,38.365494,-0.8995983,44.957256,reggae
9,0.35110816,0.095951505,0.1736004,0.005846623,1855.8878481453692,947856.6193476956,2467.862733353161,398578.35838544904,4117.36676951311,6159308.045996927,0.057970171004256964,0.0029825206145888848,8.519649e-06,0.0,3.5164758e-05,0.0,[161.49902344],-154.34302,8251.506,102.65761,1307.3756,31.674805,636.8426,25.91505,172.6371,16.25125,136.4024,13.325201,133.63293,6.0915337,123.60115,5.2168484,99.9269,0.101732664,82.17992,4.170103,112.34034,-1.3510092,82.529686,4.013176,72.086845,-0.08154779,67.12734,2.349822,62.8398,2.913265,82.73853,-1.4953344,57.62038,-1.4347975,43.39824,3.4746706,38.686153,-4.086666,43.664104,-2.4592085,62.752502,reggae
