,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.51755846,0.06962007,0.28396207,0.0019071789,2702.9608160775247,221803.21530463937,2560.3964844849356,97649.47952411664,5744.231932082043,1139409.301920673,0.11783262081559598,0.0010908841531188879,-1.8471504e-06,0.05017477,0.0001479877,0.012537559,[123.046875],-0.089281395,4159.9033,65.088745,380.86276,-18.57393,245.35524,41.048836,420.83423,13.087847,219.02626,11.809436,64.315895,3.4845817,71.25144,16.309166,112.255615,-1.4440145,117.92415,13.077847,58.877254,5.8240647,76.025505,14.395436,44.600513,-0.8343409,45.778664,0.34286076,43.095,-5.689892,40.922127,1.0085187,43.720554,-5.0306635,32.457527,2.535465,39.617954,1.3570427,37.922146,4.2905083,31.93522,metal
1,0.53853637,0.06961877,0.28614572,0.0027393424,2822.0657224307292,237519.70214997247,2595.742052163851,105868.91330129039,5896.61434397978,1207643.8830967126,0.13121122472426472,0.001575234160030763,1.9187086e-05,0.04280798,0.00016376852,0.01569673,[184.5703125],15.740051,1348.5497,63.09289,354.81952,-17.592136,303.63358,39.888737,423.80746,12.9212675,207.79042,12.493696,66.81136,5.343522,51.17889,14.374225,78.41618,-2.4470305,92.313446,8.079908,51.979084,2.8326287,46.895504,11.942997,37.682457,-2.3508651,45.552826,-0.5146557,36.56455,-6.576406,37.318493,1.7905153,39.67218,-4.3140397,37.622486,-0.14051098,33.499863,0.82662225,33.834988,4.167203,25.426205,metal
2,0.5263125,0.066710606,0.29215583,0.0022379472,2767.8129269377887,229448.29405811834,2513.2341634299414,73851.95078865923,5630.882617489841,952696.7147006638,0.13522782931017802,0.002109445528167593,1.7813757e-06,0.04721861,-0.0001198621,0.014262947,[92.28515625],13.595104,1217.6001,60.887672,330.31918,-22.4708,198.3177,41.171577,435.51862,11.915764,180.47421,15.683394,66.81934,6.480291,73.24357,18.81193,90.47658,0.51086617,87.34993,9.77712,50.744854,5.076513,43.04549,14.80993,48.877136,-2.008016,49.07773,-1.6643379,39.046833,-6.9383664,37.070465,3.2984095,45.92016,-4.535287,41.182377,1.7748283,39.922394,2.1842372,39.74636,2.513386,30.964848,metal
3,0.48910147,0.07667297,0.27593723,0.0047041294,2867.612534351674,698197.4934301585,2613.7371016547736,134293.77725677637,6064.954992713574,1892689.755467104,0.14125009070239938,0.008377088218420915,1.1575438e-05,0.044683814,0.00016497601,0.014818439,[92.28515625],-12.447343,6875.613,59.34034,838.964,-16.464336,442.9399,31.607779,839.66547,11.727029,366.05942,10.415696,262.92694,1.5452628,198.82916,15.5949335,150.29431,-7.110326,244.0682,12.151876,89.21476,4.3451576,89.771614,11.4707155,96.94705,-1.9480861,59.800503,-1.5200131,48.470062,-6.0865355,55.9146,2.663877,42.70891,-5.487994,47.093105,1.9780812,49.472973,1.3046514,61.716072,3.0755029,40.278744,metal
4,0.5221581,0.06893228,0.29936484,0.0012451867,2830.006480777358,164626.94250183782,2663.1267032724622,49111.6232505497,6016.305286891689,898347.763581217,0.12681631554760062,0.0010438198963472751,2.6570642e-06,0.047551047,-2.0989588e-05,0.016145762,[92.28515625],23.132668,631.83673,62.172714,186.21577,-14.157483,97.88821,38.007877,279.2711,17.278946,168.31433,12.786411,48.202583,5.636028,62.605083,14.719525,87.48249,-3.8493173,68.72623,11.006052,46.487938,2.4596205,40.77571,13.654273,39.794083,-3.4984539,40.15862,-0.37312686,42.03679,-6.7278166,37.429977,1.8257989,32.32807,-4.122692,29.068909,1.5623838,28.103613,2.2651284,30.236164,4.6772413,24.980148,metal
5,0.33279037,0.07920406,0.00984079,3.090745e-05,2507.870478697183,170956.3288470461,1822.040851014743,74131.31933632007,4437.414834226248,317823.7915227407,0.1770446588380418,0.0026470048355379094,7.575989e-08,0.00011006682,-4.321902e-06,3.9027495e-06,[129.19921875],-385.4766,12395.681,75.31645,654.63086,-61.828724,797.5232,59.33687,269.14294,-17.33696,172.18709,8.340629,66.384605,-8.276,64.31998,-8.535201,72.368866,0.79401445,61.156384,-10.135857,65.74854,2.8915858,44.64719,-3.5237055,36.41086,-3.8929238,40.464165,2.3103628,44.85804,4.012256,58.88915,7.5301013,82.52406,-3.504735,57.218304,6.2708936,83.37747,2.8762045,92.06669,-3.6027296,81.85148,metal
6,0.42159918,0.08300835,0.029804755,5.8865608e-05,2518.9155608467045,242964.09517153513,2058.206688419795,42155.69448294418,4695.471607125581,418120.6905697085,0.17092942748645512,0.00430141897682539,2.5277532e-07,0.00074344676,6.900721e-06,6.199899e-05,[123.046875],-250.16095,1915.7546,76.21777,479.78143,-33.694798,387.31372,62.196148,419.31894,-13.277385,110.58995,23.17895,124.00215,2.1909974,81.241066,7.7430053,99.85356,7.0545316,58.35126,0.5182464,63.18143,4.7871356,56.488064,5.454555,65.80319,1.9633043,52.772385,2.24766,90.137,0.09075593,63.038338,2.353805,44.891155,-6.433943,55.28222,2.682378,79.65414,-2.5424662,99.34239,-4.1832595,101.86027,metal
7,0.43400538,0.08137495,0.08842774,0.002068799,2618.4559763437405,223810.82736187315,2024.9671684234345,24732.929414755938,4627.972015286377,313462.59850208636,0.19412014137480652,0.003366327626469856,1.2045022e-07,0.005159341,-7.1761183e-06,0.0014211129,[129.19921875],-141.38406,11538.98,72.96792,581.40173,-36.945854,120.885605,62.86478,183.77954,-1.7959523,67.40044,17.673063,73.33128,6.946444,105.406204,5.9701934,86.50841,3.916917,44.061283,-5.5835323,43.052597,-0.24021548,76.73913,3.3154476,50.45849,-2.52707,60.259228,-0.5430406,80.53919,-1.7234159,40.210472,3.7176702,36.37601,-8.925465,37.622704,-0.52400047,44.96955,-0.52490914,57.376015,-6.7415276,119.496284,metal
8,0.48571002,0.07404772,0.12710841,0.00034543252,2814.8719592723737,106823.15443255511,2376.857511243646,63534.16064750995,5235.693340478667,496505.30281312286,0.1672302812983746,0.0013190760335423232,-3.9156275e-06,0.0063289586,6.411482e-06,0.0036160073,[135.99917763],-50.244377,392.20062,61.76964,174.84,-27.086258,183.273,49.612823,169.37439,7.62917,85.7948,10.279065,55.1778,5.6204867,82.01837,7.298106,63.760136,3.6517353,43.86492,-1.553156,56.976467,-2.6359518,40.24502,-1.0230415,38.55235,-8.018133,35.308895,-6.059624,43.61104,-6.1209917,41.362785,0.79776764,48.600384,-3.249805,56.315765,3.213078,34.116627,1.6245075,44.150703,-5.466548,30.228535,metal
9,0.49064475,0.075152196,0.12607792,0.00043127098,2818.3257534753816,134393.88324851237,2442.091657715053,66889.19471823279,5359.634257691563,658083.4812943799,0.15816608818691952,0.0013690339091694146,-1.329586e-06,0.0055646766,-4.492668e-05,0.0041413023,[135.99917763],-50.683796,462.41495,61.63187,193.78416,-25.574652,216.12466,43.820633,165.6212,9.100668,110.40003,9.754681,61.74842,6.350887,82.61581,10.442016,55.435783,5.112956,49.173195,0.92278224,52.75336,-2.0333743,48.618694,-1.4650826,43.89363,-8.266095,40.14148,-5.039787,39.711967,-6.6324563,41.041588,-0.27423286,42.851562,-1.7085884,53.807384,2.9779868,33.7537,2.5283282,38.677116,-4.1987753,29.75587,metal
