,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.4845181,0.07303255,0.08159698,0.0029569431,3127.3597969882976,719861.8329298352,2302.0700331727858,288092.58084288635,5584.199566442531,2770934.5145304035,0.20525310504547215,0.003940417500789941,-3.435197e-07,0.0009558994,-9.411171e-06,0.006841865,[83.35433468],-139.34721,8357.065,38.618584,1178.732,-58.575947,1665.2678,10.117403,531.63556,-1.6711265,221.62491,5.1734757,301.56088,-7.107963,147.2054,-5.6297398,74.695946,-13.591487,58.31844,-5.326596,48.15198,-14.716691,42.400517,-8.483102,39.2525,-8.308997,41.2284,-4.741844,39.16789,-8.116275,44.979145,-4.224054,35.994453,-7.327784,21.993856,-0.48447567,35.40459,-6.9054804,25.486544,-2.9839702,31.105959,disco
1,0.53593576,0.071734786,0.25122827,0.012788977,2630.2352874207754,899313.1790109526,2651.7977565688698,199973.5317026529,5730.8570129583495,2898740.7363028103,0.11973019059597523,0.009669834690689806,-6.356697e-05,0.025934072,-1.3873142e-06,0.026670367,[83.35433468],-48.725227,4374.779,70.32993,1111.0596,-3.1135879,649.8774,31.068882,247.94733,16.916718,135.75537,21.594658,126.69539,8.081263,75.48031,8.184447,72.66562,1.7768755,48.847824,6.807319,68.50367,-1.8760495,55.145687,1.6792096,38.214916,1.5815828,44.915287,5.963663,35.603718,-0.33444232,39.402077,4.662251,40.199078,-2.7793086,49.09248,6.710815,59.370636,-1.8411142,35.90108,2.1681387,27.809574,disco
2,0.52276623,0.07519183,0.21975699,0.015157491,2748.2217393105702,1075659.2967503644,2565.0419276493344,253643.5625845204,5656.282463900445,3280764.422935016,0.13333668428308823,0.009142681543802308,-3.7326492e-05,0.018652534,4.9273385e-05,0.026511962,[83.35433468],-74.82582,6614.9976,61.64301,1498.3777,-15.510528,1075.1566,29.8538,335.72,18.512632,227.01706,22.535711,152.2819,8.8692665,128.24751,8.652054,77.65716,1.3769774,64.03561,6.9162364,69.73417,-1.9350715,57.459618,1.5724349,50.22005,1.4812522,45.874763,4.582561,46.556522,-0.59521455,54.229877,3.9977434,43.701088,-1.567718,46.90601,6.1320477,54.01502,-1.174662,33.34516,2.1165936,32.692566,disco
3,0.52098674,0.07723859,0.25174874,0.014606095,2353.199530665993,1025308.0744108573,2680.1502144961546,276063.18972728064,5358.925928641399,4795731.426213766,0.08972394724748452,0.007394101454033612,-0.00011473638,0.025997655,3.8354767e-05,0.027213125,[123.046875],-89.36837,8706.696,80.44835,1335.1711,25.436096,1473.9064,30.659475,268.28516,13.156627,143.34824,22.493872,122.29003,7.2311687,65.73452,7.7972817,76.886116,0.3439227,53.46615,5.139059,66.20425,-1.8195451,48.23169,0.6804371,38.802868,0.7859671,40.026752,4.710071,34.796204,-1.2036614,31.764784,4.062816,34.578175,-2.5914166,45.720913,5.727325,51.64658,-1.5414855,34.748966,1.5790124,28.94742,disco
4,0.47013757,0.07889829,0.21119851,0.01406071,2681.086604840536,698502.4136987358,2456.9737851682917,195622.46030257735,5262.684843931404,2419137.2821382917,0.14164577991969815,0.006874076427837415,1.711673e-05,0.012552454,-8.6922075e-05,0.029949116,[123.046875],-74.438095,3934.2346,55.53039,1220.8618,-26.396976,2116.302,26.6674,511.4063,13.035537,510.34723,14.421872,354.8193,2.7820804,172.49855,2.4784417,97.658585,-5.0540547,108.55717,3.028877,107.1943,-4.1385813,70.97547,-1.5061523,73.13548,-3.041108,59.60701,1.9439484,70.72433,-2.6308665,66.531296,1.273757,44.245945,-0.8405327,42.290943,5.468213,54.690887,-2.9816294,46.406746,0.7685008,43.963394,disco
5,0.5383235,0.070340306,0.25854874,0.011061987,2629.5834034978693,553414.3903235008,2676.1068225601553,162354.81005950973,5754.548536365615,2194297.3401881396,0.11507148860777863,0.004658302881056352,-3.8845697e-05,0.027575707,-2.1185995e-05,0.025461236,[123.046875],-30.201693,2776.0947,70.76751,500.43866,-4.684694,634.502,30.605293,156.71011,15.220177,142.4415,18.667017,127.043625,9.331483,71.82558,10.455249,68.81377,1.1242989,57.954468,10.350785,69.21796,1.0155678,50.727547,2.2583654,37.81446,0.6009055,44.103237,3.811194,41.584118,-2.003289,36.633125,2.17402,34.808643,-4.126322,55.839806,5.464819,48.625446,-2.7328334,29.948858,0.026902521,27.25416,disco
6,0.4655627,0.07642425,0.3092877,0.00727739,2467.236652364705,395565.3780173519,2611.7154169490973,148647.76889275238,5412.067273969621,2125282.6123358975,0.10383119376451239,0.0021319912225777854,-1.6264084e-05,0.048116714,0.00013146034,0.023289017,[123.046875],1.8838401,1527.1849,82.72418,442.80505,-6.455609,332.0096,24.455814,146.07425,14.169323,108.27098,15.5187,91.63199,6.0972996,107.42918,9.699603,58.7913,0.54746205,59.015633,10.879482,67.3728,2.2918973,61.36986,1.0881438,42.11991,1.0719736,47.71361,2.7002041,39.282078,-2.9403238,39.588146,0.92699647,39.228916,-3.246703,47.26732,6.6947813,47.08753,-1.6130674,34.183693,1.509133,33.108215,disco
7,0.45278934,0.076622084,0.29635265,0.0070956727,2470.3091145975454,360248.6273642499,2626.182586888964,126379.91762792686,5432.867148195627,1960450.191335678,0.10328433388157894,0.0019702535120811916,-1.601298e-05,0.04591062,-8.2816114e-05,0.019742541,[123.046875],-0.3142876,1260.1266,82.82572,368.03754,-6.104502,270.62698,22.633081,144.75447,13.780175,117.53916,16.100792,83.51266,7.132198,107.50791,9.78412,57.676373,-0.50591755,53.34398,10.419483,73.02648,2.6069305,63.89295,1.3748513,43.373913,1.0483525,43.215755,2.3483467,35.337395,-3.1523833,34.31175,1.0747726,34.53875,-3.4408617,45.62364,6.7268558,43.020546,-1.9598402,30.240782,2.1441822,32.999306,disco
8,0.497016,0.08698453,0.30218676,0.019866424,2967.069265598293,1309553.1203944918,2865.143866092965,209753.06963129513,6398.336310135691,3437951.253551971,0.1240461130998452,0.0134061765400659,5.632115e-06,0.060845904,-2.7965745e-05,0.02176211,[123.046875],-42.11411,9055.569,63.206543,2302.0913,24.705135,599.5964,21.982376,264.21768,3.714497,233.2517,15.813605,115.48135,-0.335875,98.192535,6.9151063,73.353424,-0.5110411,65.15732,7.30094,65.60493,-1.5474573,66.75347,3.8753731,56.181503,2.6252656,76.68212,1.9741876,69.92416,-3.74136,39.44447,-1.917383,63.81175,-4.4957113,47.522636,1.2263036,31.755302,-3.7972884,38.160095,-2.1595664,38.03094,disco
9,0.47013518,0.080984786,0.3015697,0.011116643,2434.0010272257787,764005.4975176709,2556.3445728915826,389823.34116874693,5375.859159581802,3947842.3459388614,0.09991247218459752,0.0024498575914914927,-2.0811883e-06,0.050797306,3.751811e-05,0.02129747,[123.046875],-5.519275,2600.4492,97.35661,1270.6149,2.6799347,889.17664,10.539312,181.06807,-7.877156,210.57706,7.2361035,161.86588,-3.6446385,132.44377,3.800016,111.86126,-8.185512,148.40726,5.455473,92.366295,-7.244341,132.70735,-2.3525774,80.53516,-0.63443154,69.79619,-2.3035603,68.528175,-5.9048896,46.13465,-1.2354611,48.8184,-5.341527,45.9178,1.0755079,34.956352,-4.1799164,58.642307,-4.37419,42.09355,disco
