,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.3914116,0.09370882,0.16204922,0.008948806,2693.0340901785366,1373528.9807724494,2736.575695978024,367055.4264671886,5893.414363329624,5100447.840004026,0.10958059210526316,0.006009177332575554,8.824843e-06,0.012910359,-5.4329957e-05,0.010372925,151.99908088235293,-125.41849,11234.099,71.20101,1059.9979,18.694527,536.8079,27.89366,434.67767,9.17638,113.26761,14.078536,76.51738,5.555095,100.846504,9.194806,67.85513,1.7907178,52.191746,2.8126009,60.142277,-0.88941205,73.97353,6.780556,95.484795,4.923443,66.733505,3.6026652,86.23473,-3.3878245,79.45004,-1.5730321,34.704964,-4.2201962,56.661083,-1.9570293,121.65486,-2.403611,66.093445,5.097103,86.09719,disco
1,0.3880578,0.09117361,0.18006639,0.005650969,3142.1790461931064,514230.7436269458,2997.703130691817,130437.00677162933,6890.73333267826,2003554.896357038,0.14652632485971362,0.0030967612502047688,-3.6850263e-06,0.014791366,-0.00011239481,0.010918748,151.99908088235293,-55.795673,3717.0073,64.62433,437.94403,10.4824505,435.64862,14.287057,226.0251,6.1095653,113.30867,6.0319614,156.37338,5.7630167,90.1831,8.376025,88.9822,-3.2593005,87.23857,5.975753,87.19496,-2.76226,75.82353,3.920556,67.64416,1.2465308,64.92861,1.0490239,69.82678,-2.3771648,66.98879,2.23967,99.477264,-2.0248373,72.127144,2.8205147,100.68293,-2.6307611,128.97015,1.6037847,123.13182,disco
2,0.39903665,0.08629497,0.19965144,0.005542199,3231.318489898489,431814.9528534641,2990.7154157007712,94466.0586776306,7046.490724167957,1346947.929775484,0.16136448154508515,0.0033615514141710073,1.0748652e-05,0.019697525,-1.5192589e-05,0.011782408,151.99908088235293,-33.02827,2968.7214,60.099537,378.93716,5.4488845,253.58655,10.369701,250.8778,2.722341,145.46774,12.956765,105.87541,5.363357,64.396,9.40433,56.029987,0.89233094,62.716064,8.390556,70.80189,1.0126673,77.348404,7.3619676,70.735306,3.4956222,80.301994,1.2473321,52.621918,-4.5825005,67.56335,-1.0762436,51.63239,-4.9815254,53.780937,3.5327218,87.78703,-2.635373,56.458954,3.4758325,74.41539,disco
3,0.3573852,0.093632706,0.17548539,0.005325485,3004.2690377703634,750664.34241653,2971.4054657546176,154957.43381775383,6664.301368548036,2605595.1720913276,0.13093571618614552,0.0048046039018019545,-5.6449044e-06,0.01561695,-7.4748896e-05,0.010126479,151.99908088235293,-71.42592,3104.882,69.984184,552.6792,12.358479,465.445,13.844288,242.62384,6.638221,145.03818,4.8710346,134.551,5.6701283,106.88963,3.910948,101.10513,-1.495706,89.84557,6.6830215,84.34275,-1.1205235,64.9605,6.00389,76.20635,1.3312693,67.04825,1.896052,66.97198,-3.1359584,85.916756,1.3884754,81.83623,-0.10561486,96.74444,2.9707606,97.96582,-2.7639523,134.69073,-0.33143988,122.36392,disco
4,0.41144615,0.08665378,0.21632336,0.0050743115,3259.20233976447,293981.7377683194,3061.768310319128,58946.14518489493,7304.422497823142,750922.7868511599,0.16503188189338236,0.002799168961813619,5.9096465e-06,0.022018328,0.000118364216,0.013388932,151.99908088235293,-17.733093,1392.7572,62.31316,237.87094,5.5341344,228.88008,4.994528,188.91696,3.4002244,156.87822,11.15682,86.42276,6.8084927,77.265625,10.0802355,56.448483,1.3061445,74.67754,9.861763,74.65364,-2.1875715,79.882195,4.443115,74.5044,1.8195539,72.04878,2.0150366,50.928696,-2.9412272,82.21334,0.62573653,81.67287,-5.6509395,63.88806,2.9034526,78.32788,-1.561663,69.88865,5.154916,60.773727,disco
5,0.40555286,0.086064816,0.20082702,0.005585859,3070.584661141794,597781.378155373,2954.031435914354,116926.03709095408,6778.100680419166,1738294.628796277,0.13953997254740713,0.004610481876135615,-7.529734e-06,0.018954955,-6.1678445e-05,0.01225324,151.99908088235293,-36.115326,2333.4338,67.67064,498.9314,9.512796,342.18265,16.339396,186.26396,5.6470904,108.97876,8.569456,89.55844,4.254945,70.468605,9.653058,40.561497,-0.45632926,67.88306,8.302484,67.21146,-1.52595,63.26369,5.220985,61.08959,1.5891442,42.34445,0.3050481,43.520355,-1.9245553,46.48278,0.23304167,43.736687,-3.8274195,39.377964,2.370731,44.851547,-2.2442167,83.69765,2.29575,64.742516,disco
6,0.42128375,0.08497119,0.2055214,0.004846492,3323.2038394799065,294343.62868521246,3086.750391107364,52617.76823418299,7412.488511029412,684283.5433259294,0.17224461227747678,0.00280841579513035,-5.541135e-06,0.018287655,-3.068756e-05,0.013095842,151.99908088235293,-18.73858,1338.7582,61.37496,252.07808,6.415459,222.2732,5.748035,183.80759,3.8067622,146.48541,10.280438,72.9296,6.7232966,79.21011,10.749496,49.961807,1.5200942,71.660515,11.048719,67.61446,-3.0361905,60.201534,2.6334705,51.10491,0.76423734,49.623577,1.2254071,41.101418,-2.4155712,49.238426,0.87366235,60.49231,-5.352252,55.231174,3.6666627,53.18276,-0.75520176,70.50402,6.4809895,67.87382,disco
7,0.40357068,0.08040853,0.18598253,0.004601882,3113.3724203400916,330989.6756022767,2938.638955086707,92629.53280863247,6875.825089493034,1292223.2743802713,0.15433428973974458,0.002205825334378936,7.3091915e-06,0.01736226,8.2756356e-05,0.009552115,151.99908088235293,-29.025934,2349.6873,65.07917,305.92834,-0.78362167,255.50822,8.460676,189.35956,1.5002038,109.78999,10.066173,68.915504,3.4274862,59.53559,9.443578,47.744663,1.7389985,49.545666,6.765444,76.981674,0.120252155,44.45003,7.2258673,67.05925,2.4148848,43.52899,2.7123797,39.880394,-3.993418,55.66592,-1.6849749,48.47365,-5.4856787,36.71731,0.5939536,49.85392,-4.162503,42.29924,2.48526,50.489117,disco
8,0.35494584,0.086828746,0.16182527,0.0037397195,2618.1775599717635,694788.7637858362,2586.0795418973416,195186.13156913128,5577.016276545569,2289912.2021779977,0.11838703923181114,0.003188958952809897,2.7345908e-07,0.013214556,-1.45495505e-05,0.009671982,103.359375,-67.39997,4270.3403,79.288445,724.15015,1.6195017,443.31943,25.18399,223.93799,-1.8270222,165.7841,9.303782,96.11038,-8.259529,92.21729,1.5345112,61.03562,-7.329771,52.42329,1.6493602,41.086266,-2.34642,48.503113,0.48149228,48.739193,-4.8356776,49.699093,-0.20834398,49.55534,-8.466141,44.08783,0.06155229,35.64238,-5.437698,42.23709,-4.5415487,39.549988,-5.4860926,39.676968,0.576251,49.536526,disco
9,0.3617605,0.087673694,0.19872707,0.0032575144,2619.754407549104,716401.546674419,2647.7102221693494,126887.21482688283,5673.24902797262,2121224.0655856663,0.11950834764415634,0.004857031228301713,9.405658e-07,0.016887462,-9.393088e-06,0.012470457,103.359375,-38.541447,1540.7721,83.256165,657.023,3.3689585,339.395,17.120617,285.16434,1.554453,228.87573,6.9259696,74.01095,-12.358212,148.28903,1.8984345,70.70786,-7.420692,68.97587,2.4400532,63.36942,-3.872375,68.602905,-0.83485,51.674942,-6.2020664,46.183586,-3.1939447,43.99304,-10.568573,45.550457,-0.7583375,32.030178,-9.197328,34.259716,-7.193012,33.043312,-5.803038,30.425364,0.24429342,39.899426,disco
