,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.26700997,0.094654426,0.07829252,0.0019598398,1128.823319314344,347534.4748263146,1743.8640413233368,204090.89464251374,1923.0050385182856,2674462.729848409,0.04260480662248452,0.0013776695067919855,-2.090457e-06,0.007184198,-1.8182996e-05,0.00020329251,[107.66601562],-299.02258,2046.4283,138.78763,976.4041,33.725334,203.9879,24.756662,151.91966,-8.452826,109.579575,16.222372,85.08499,-13.634614,76.82916,-6.9643826,60.531055,-12.934685,49.390514,-10.136299,41.69804,-9.893002,60.52206,-8.665409,85.16888,-9.147563,67.814255,-6.7384734,48.55157,-3.7908554,58.554657,-5.5128846,69.09495,-2.912313,69.793465,-3.8955529,109.392914,-2.9258466,110.35236,-4.112895,71.47794,jazz
1,0.25876978,0.08531665,0.11165411,0.0016199317,810.5668987543421,45744.70116461527,1483.1841749069156,80283.3502073416,1059.2685947477264,489882.95512444817,0.03199489345491486,0.00011778803379556768,-2.0640325e-06,0.012731156,-3.8103273e-05,0.00026510333,[143.5546875],-272.67618,635.2927,157.38686,383.1969,39.85335,140.70634,28.78206,93.88069,-4.54837,90.90976,19.417208,88.39426,-12.137667,70.50076,-3.0289464,49.72874,-8.703751,42.786633,-4.7438173,49.817596,-6.701995,46.97157,-7.064095,65.91134,-8.200328,75.17981,-4.284244,81.790115,-1.6315565,82.942795,-3.7112508,67.42487,-2.219339,63.466454,-4.0313816,95.9334,-5.3865066,96.43141,-6.857369,71.899345,jazz
2,0.26350525,0.09004166,0.11394706,0.0029750266,844.4414821630971,53025.693849471725,1488.3568646660297,116543.4693005594,1207.892696038119,596617.5618708608,0.032927616461880804,9.37811117712293e-05,1.8638087e-06,0.014285167,2.4811665e-05,0.00037888595,[135.99917763],-272.38733,1310.1654,156.3528,576.57544,34.689842,302.3364,26.374195,110.617065,-3.1411269,79.39939,18.955717,86.290245,-11.212532,62.427963,-5.051351,59.636738,-12.252904,43.799854,-9.055458,32.256157,-8.351717,41.036118,-7.200468,74.77022,-6.117974,102.833786,-3.2520328,105.08226,-2.3905377,84.80734,-8.457844,46.14855,-8.009837,64.009285,-8.911351,91.42156,-5.452819,85.96047,-4.2213182,66.65554,jazz
3,0.26460603,0.08684211,0.12938178,0.0022490616,783.8968285346461,38151.0210061409,1383.1871228056607,86000.82616025828,1054.5602898848683,384720.86449928733,0.03229572307952786,0.0001121281617421045,-5.3470277e-08,0.016936634,1.8549468e-05,0.0004385103,[129.19921875],-260.89767,1086.6492,164.1649,551.38214,32.65539,245.02773,24.62262,172.9749,-3.7029016,104.56602,18.154673,119.064445,-12.33458,84.95238,-4.0680833,64.508286,-10.950244,54.399666,-9.1053095,40.686054,-9.903209,65.13773,-10.188371,78.89459,-9.104288,57.067894,-5.0832257,44.88619,-2.8336048,52.465412,-5.534169,66.5644,-1.9055136,73.76711,-3.7614236,113.40398,-3.7228785,97.24313,-4.6756883,72.01821,jazz
4,0.2557957,0.08832456,0.13083108,0.0028508762,776.9332573354114,26403.07529737753,1408.150464685078,70500.42621391894,1033.1270861551857,180239.13911946715,0.03030518333978328,0.00010363320055016983,1.2475671e-05,0.018304138,2.8015402e-05,0.00033092746,[129.19921875],-258.03223,990.3988,163.92792,429.51395,31.86773,200.94557,23.968119,97.96536,-1.7102438,97.62782,21.442043,87.31457,-10.43084,81.38164,-3.4821198,51.863716,-11.402638,43.480865,-8.681599,42.794155,-7.467545,49.767628,-5.407067,70.61994,-4.9769154,69.83391,-3.6330264,49.318443,-4.4023023,47.467735,-10.119675,49.19306,-7.9440274,56.98632,-8.350008,65.430374,-7.337339,49.253185,-6.541838,54.299126,jazz
5,0.27444082,0.087885804,0.13298361,0.0026834754,789.3539129049757,48381.55866086478,1355.2204711170555,80039.16567324343,1014.7605305485681,219530.28394167588,0.03696273945433436,0.0004403294940991595,-8.123481e-06,0.017977197,-1.7802387e-05,0.00049137656,[129.19921875],-257.29718,1284.0515,167.9456,583.4465,31.325773,290.35495,20.621143,239.91182,-5.37294,156.06207,20.13645,76.89679,-7.397408,108.47594,0.133338,123.45658,-9.608897,88.69742,-9.31166,65.50772,-9.501744,72.97367,-8.652533,94.30941,-8.206189,67.25941,-5.169379,61.580276,-2.7538433,56.241276,-5.1897373,76.399445,-1.287627,73.33438,-2.926482,98.366455,-4.0701885,96.20836,-6.6756363,64.51456,jazz
6,0.3843971,0.097340755,0.09098095,0.008489493,2411.8858017768744,843155.2933853382,2734.258819395225,140734.3062855163,5554.924743463381,3343979.1339173983,0.07110274465460527,0.004701919762634078,-2.5235586e-06,0.015465155,-1.50054475e-05,0.00042265936,[69.83741554],-243.00851,3448.7942,67.574234,584.8626,25.156445,394.37762,33.605404,211.4921,4.685781,82.74908,19.490828,108.84956,1.3635464,64.408875,8.09337,58.38868,2.5307863,46.961704,7.2107773,46.867474,1.3667203,39.422356,3.5253959,35.15601,-0.7739119,34.32273,7.2699733,47.58233,0.59170383,41.17238,2.7062542,42.206482,0.47601244,47.570923,1.4088439,51.515213,-6.826627,49.73406,-2.5120845,37.707493,jazz
7,0.3404925,0.104817584,0.108816825,0.0064628134,2087.8200596871125,509570.75941858575,2688.553233816803,138504.77279419953,5155.268826794698,2857707.7906705276,0.044587409902283284,0.000855189135329216,2.2122649e-08,0.016287317,-1.32360765e-05,0.0005149515,[69.83741554],-214.67096,937.0228,79.02538,434.71237,35.895523,174.76234,40.759033,73.99942,6.6479235,60.367065,20.877838,54.46075,0.059991535,51.641037,6.517262,45.09141,0.73056984,47.86009,7.4758506,48.499733,2.5184577,53.68617,4.597398,55.7943,-0.3795687,53.32134,8.288059,75.891785,1.7352934,98.37727,5.287235,90.9597,3.1848059,69.706474,3.0568497,42.351353,-8.437181,32.731956,-4.536213,32.181282,jazz
8,0.34323066,0.09706693,0.15390562,0.0093286205,1811.1326733113096,486517.8029806206,2494.5004616929723,181657.28719506192,4406.590020619678,3398971.3639238495,0.042337234544311146,0.0008724547434066135,8.281639e-06,0.029514415,-1.1070616e-05,0.00088085514,[71.77734375],-195.4928,1008.9431,90.1187,661.5942,34.355732,149.99437,38.15674,121.7385,3.0039113,77.95463,20.51971,81.79805,1.5480362,91.26738,8.601126,94.63468,1.8389589,94.050095,7.3547535,77.20537,2.4404843,67.88554,5.000291,64.700066,-1.5679379,73.68946,5.535784,80.807274,-2.5965686,60.803146,1.0203196,55.949303,-0.09674252,57.723866,1.0977794,63.229145,-9.935669,65.52329,-6.55037,54.092873,jazz
9,0.3254404,0.09859511,0.14268884,0.0084435595,2133.9834661303694,629324.843147539,2716.308734509598,148654.73422125887,5297.417967238293,2761164.703517515,0.04807075996517028,0.0014791978823664334,-3.2452117e-06,0.026203595,-3.1524003e-06,0.0007466099,[69.83741554],-194.33784,1143.5885,75.493164,554.06036,35.87025,181.82332,34.733654,126.24677,1.83185,94.775345,19.406406,68.24192,3.3746803,37.732265,13.992766,56.37076,8.454636,73.12301,12.653625,60.473473,4.0993476,59.440735,2.7638657,70.60622,-4.0539827,72.497284,4.8509693,60.061226,-1.8836728,51.97181,1.1979623,55.236298,-0.86339957,56.93531,1.0126419,36.877697,-9.873533,44.632328,-5.9154243,47.39538,jazz
