,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.25404045,0.090977736,0.12152798,0.0032903776,1598.2205226304782,172728.1924642463,1866.0014747040814,143344.66704826182,3320.821586112858,1406094.9402294497,0.06273053526509288,0.0004839070435470887,-1.4277178e-06,0.015599107,-1.3276524e-05,0.0008242756,[80.74951172],-196.56096,4131.5366,111.6536,743.5447,-15.370823,316.51627,38.98418,148.77394,-8.676905,78.18142,23.80819,65.81261,-6.152063,74.09852,2.53707,51.819332,-9.543888,45.387146,-0.7148685,32.905064,-6.9493656,32.682785,1.4374943,40.640503,-6.3341055,73.99366,2.5052187,119.71372,-2.9647202,148.92155,3.415918,200.71626,1.3859744,260.97687,-0.20404695,195.33809,-2.0600421,184.42949,0.6031893,248.79709,jazz
1,0.2904328,0.09638708,0.09061859,0.0012157786,1789.1881111437908,323448.56621699414,2153.12772203668,90723.26632888507,4079.167000501887,1035274.9687271686,0.05722678925599845,0.0015931603856354972,9.707369e-06,0.007172645,-1.9291895e-06,0.0008975163,[80.74951172],-206.30505,2491.0762,97.33329,849.90375,6.227932,262.29794,52.98207,343.85358,-8.9188,197.93771,18.624195,127.81233,-1.7610681,135.06319,2.0923877,93.37957,-10.317054,88.262695,2.0261204,71.87023,-7.6950297,66.78364,3.196709,47.024284,-7.0571003,39.697796,0.33298475,32.420094,-3.8267577,39.555473,-2.872395,41.650394,-4.3830814,59.615795,-0.8606926,68.08983,-5.825258,56.552757,-4.09504,59.542442,jazz
2,0.29944065,0.09504571,0.09052113,0.0012076279,1869.6400177167445,288698.6423333647,2156.016341581355,66775.51090285882,4174.908088235294,714897.524754362,0.062166290755611454,0.0017915734428262924,-4.5406173e-06,0.007229223,-3.527992e-06,0.0008100202,[80.74951172],-194.45705,1572.1588,95.479576,713.87885,2.204823,245.63051,53.29604,237.25423,-12.099448,211.68353,19.738977,119.57041,-3.2036254,106.625786,1.625631,78.034615,-9.866369,67.963165,4.701279,91.58488,-8.458682,61.82605,2.4629712,54.631325,-6.115995,61.59248,2.7842128,65.60844,-1.1217965,71.29019,-1.5771794,89.86847,-6.275292,75.581345,-1.7191305,52.102997,-7.3080587,69.602905,-2.455823,91.11627,jazz
3,0.2591764,0.095375,0.13201515,0.004385078,1767.1011399474276,151839.8213595233,1919.8603916650973,120464.29420941653,3660.5945315523413,1005499.9366665703,0.06719914014125387,0.0006480654669543379,3.58224e-07,0.015776817,-5.482115e-06,0.0021318854,[80.74951172],-181.84882,1982.3757,100.32255,667.95325,-20.100254,421.41483,41.21434,210.6024,-9.292364,83.4565,24.39632,72.80001,-5.3785486,72.42079,4.5937357,48.51878,-8.931169,52.096684,0.44926485,47.02966,-7.291557,78.659515,4.694282,118.5714,-1.7483613,151.07445,7.4998217,175.86337,-0.49607787,192.66315,3.2676008,236.40086,-2.28516,253.13562,-4.822028,193.2573,-6.823192,160.43074,-1.5681057,175.20685,jazz
4,0.26332778,0.089888446,0.08363209,0.0015750953,1764.6198825363535,192200.35625476073,2065.4067860925447,82077.9269206985,3965.7843527779123,918595.7292626756,0.0601636573626161,0.0006918269013219092,1.1213994e-06,0.0062534614,-7.8475705e-06,0.0008288022,[83.35433468],-201.64865,1848.584,104.81998,571.3143,-5.4440565,251.61194,46.284363,187.40501,-11.883546,82.65843,18.737583,63.97493,-12.314708,78.27867,-0.4401355,60.537247,-8.823703,47.865196,1.536544,33.93755,-6.235793,38.91329,2.4399846,55.5278,-7.244272,61.736443,-0.08791977,45.994457,-7.605697,52.668163,-2.229705,63.72597,-3.2763786,61.2623,-2.4305625,74.134415,-3.2375994,91.12755,-1.3809394,132.82283,jazz
5,0.30541715,0.09091926,0.09971427,0.0014889842,1703.4852929746353,331214.5293833142,2104.534629141579,78095.69912191208,3916.2346523981714,1005648.7953524196,0.05647773860777864,0.0012930497337303338,7.602782e-06,0.0087178,6.591951e-06,0.0008798947,[83.35433468],-189.54037,3560.344,109.17961,757.3677,9.292802,249.51541,49.791122,254.44771,-14.090396,242.12326,16.277384,124.167206,-3.1700704,141.4842,0.9032,70.73969,-12.317117,78.480545,4.1958823,82.8857,-9.808376,69.795815,2.2693212,50.571064,-5.7261295,41.596313,-0.29042286,55.95243,0.069782905,40.542595,-2.6337085,40.10525,-5.6577764,37.330845,1.440624,41.92541,-5.990795,30.982784,-3.9762836,37.471684,jazz
6,0.29871765,0.08551048,0.08040613,0.0010452024,1595.9314102463652,255792.75003288552,1793.4005667576912,175145.0231323984,2953.2988084728136,1586431.048245642,0.07594322936822756,0.0005754936772818182,-1.2120897e-06,0.0062970826,-1.5183999e-05,0.0003307898,[112.34714674],-186.21646,4724.5645,127.357285,769.4827,-33.12935,527.0967,12.15441,153.45166,-2.254341,87.01998,-1.6779876,100.7297,-12.921842,67.68235,-9.241023,73.37761,-13.13957,60.391182,-1.6635613,63.92127,-9.673335,42.89122,-8.450303,80.81398,-10.6021595,116.689545,-5.76534,92.82897,-7.9736805,89.0828,3.8467553,110.80575,-3.5782754,74.054504,1.1709989,64.31489,-2.8596432,50.676422,0.0059135603,81.09456,jazz
7,0.31732398,0.08624185,0.081773795,0.0010203897,1403.0468399898148,141144.60872962288,1672.2390275552837,138417.23342510292,2576.9010844983554,913408.4403992952,0.0660030022494195,0.000490159777399827,-9.477182e-06,0.0062170816,-3.082146e-05,0.0003848838,[107.66601562],-198.26083,3913.9385,137.3864,506.13617,-30.502443,742.3009,14.622563,146.46338,-0.48311594,171.91881,-1.0643901,126.700195,-10.487453,81.299805,-7.9995117,89.853966,-13.534466,59.927402,-4.674297,59.486134,-10.232966,48.878365,-7.590607,80.81617,-7.864233,98.81603,-6.5402913,101.13934,-5.3955483,94.056435,4.663336,105.418686,-3.6106765,62.677032,1.0649931,57.374825,-2.2252328,60.594063,-2.013184,73.27675,jazz
8,0.3102999,0.09028897,0.07853439,0.001158179,1581.6410662310498,272762.4181287283,1806.984504790713,156417.40938917428,3045.681583180147,1424250.9271135814,0.07239789933243033,0.0010461927541192682,-8.219993e-06,0.0059227953,-1.4463282e-05,0.0004636445,[107.66601562],-201.17009,4987.843,123.4613,950.9197,-23.683153,580.18365,23.450191,150.7226,2.2119348,143.42543,4.288767,121.623695,-6.82491,97.24671,-4.4893856,84.889244,-10.487118,81.59276,-0.6226716,119.15433,-3.1135418,107.718094,-1.6279613,97.87511,-6.129919,121.31088,-4.4907784,117.20343,-6.6139903,88.673035,1.0554206,92.80743,-7.2605577,52.597843,-1.8055571,60.149303,-4.064184,55.25161,-2.3698285,122.31428,jazz
9,0.28756654,0.09410137,0.07101396,0.0015130573,1493.6686455268455,352338.18150857504,1825.1082432382811,181356.35997594253,2815.0496444465944,2041874.8116056225,0.060229416602167185,0.0014488914562764625,6.293517e-06,0.005572326,2.3598928e-05,0.00033881798,[112.34714674],-247.20648,4080.1904,123.97632,1068.7161,-11.833852,676.0139,22.56458,141.86748,8.719458,157.51347,13.083132,55.90506,0.050104927,63.60386,3.9827719,63.86814,-1.1968023,87.95237,5.83246,105.06549,1.7293189,91.44626,0.9925867,116.1283,-1.1462104,71.92056,0.10013701,61.319836,-3.355033,71.23001,-1.460482,91.14082,0.034813944,77.07248,2.5937555,97.39994,-2.3825173,135.85326,-1.8295292,171.49611,jazz
10,0.2966191,0.09427,0.08066052,0.0013897857,1697.1863252957828,406595.4699915627,1853.4210823779285,182601.25470305706,3209.180594523994,2108661.157240724,0.07246932747194272,0.0015143145235228632,-3.0759081e-06,0.005633078,-4.3556583e-06,0.00079526356,[117.45383523],-202.85857,4812.035,117.708374,1189.9967,-24.957523,806.2452,21.545116,181.19388,2.4035475,179.34833,11.684113,64.26887,-1.6926727,65.46302,3.360451,66.66414,-2.531396,88.71435,6.094168,96.599686,1.0843039,91.427864,1.6899604,113.96937,-1.0542899,77.53033,-0.9300836,82.372765,-5.3609757,94.051056,-1.5875694,79.72782,0.5571215,70.809586,6.5997486,121.776146,1.3346415,172.05136,0.637131,121.15197,jazz
11,0.3485413,0.09401291,0.08209219,0.0010556056,1642.597774282306,272207.68091149174,1778.6346377222983,178892.75829550507,3060.6814924777477,1589466.2812604757,0.06889376330301858,0.0009752446431265085,-3.8389803e-06,0.0048670797,-8.974265e-06,0.0010774699,[117.45383523],-178.17418,4236.511,128.18672,788.1637,-34.517864,936.9003,17.703712,137.62064,2.477433,144.55908,13.61687,47.06619,1.5199255,44.188126,2.9161105,41.623596,-5.6407332,39.37548,2.0574265,36.64191,-1.157527,39.35546,1.8693961,50.45394,-0.78982896,58.432392,0.035562474,45.049316,-1.8665407,56.343277,2.5982492,88.662125,1.4687374,68.99868,2.6696925,64.168274,-4.552937,82.44521,-4.1714315,74.90763,jazz
12,0.24921198,0.09454001,0.08359532,0.0016170283,1499.1882425929948,304130.2541007707,1880.963653744233,240299.00386892652,2791.54978654702,2481495.6993792653,0.06818023776122291,0.0008263366698789121,-3.7465904e-07,0.0063446695,4.218776e-05,0.0009127709,[117.45383523],-228.34424,3431.08,126.9865,924.86475,-5.5168343,354.02908,9.624888,228.34752,3.8741353,156.4902,15.105864,167.92441,5.263036,152.44597,5.7498617,139.5446,-6.731409,130.80348,0.19760476,78.072945,-2.1076574,89.68401,3.7611136,115.82607,2.8935647,159.20973,5.2781744,114.96552,-0.38961205,71.01267,-3.8683655,89.57397,-4.607864,83.64703,0.1233178,79.31575,-2.5230672,109.770424,-1.7203573,125.4444,jazz
13,0.24210563,0.09707343,0.08739617,0.0019006246,1503.8692150621657,352857.1208691336,1871.0598120150346,229409.45693410406,2772.116570723684,2502278.561369593,0.06909633199496903,0.0016226995265419069,-4.061285e-06,0.007062579,1.0288709e-05,0.0009189082,[117.45383523],-235.66176,2902.4705,125.46268,1024.2158,-6.715269,330.4028,9.790399,206.54617,4.8192816,142.87436,15.182953,117.3682,3.470196,169.01962,7.356546,161.21642,-2.4954395,114.32563,1.4672843,116.277824,-5.8886704,125.0698,0.59269613,133.26671,2.373608,150.82892,4.3353443,100.82534,-2.3522618,89.96689,-2.2404544,77.46489,-3.6213315,60.15905,1.3509411,84.71927,-2.8164294,115.62522,-3.851669,165.5669,jazz
