,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.3276818,0.091510504,0.22693448,0.00791858,1129.93182319134,392659.8524054527,1794.030633015708,256378.7566803619,2497.8015628023413,3023061.8395289704,0.0350851997871517,0.0010273967077050875,2.4429564e-06,0.04269185,-2.7071006e-05,0.0051169693,[78.30255682],-175.01662,6398.8296,123.32782,949.26605,32.385647,372.25504,57.952972,211.0335,6.6584496,110.386635,31.471163,121.17664,6.849776,67.56019,7.9631205,66.53142,-2.4482157,68.25062,1.6961825,58.630066,-1.2189722,52.336773,3.4444876,39.674953,-1.0978298,36.12339,-2.0746489,52.23989,-7.433626,53.736237,-3.2710335,49.607025,-4.9572325,38.802044,-3.7927635,36.251892,-3.3506842,60.730045,-6.025668,33.185467,blues
1,0.35952887,0.08950742,0.21830939,0.0059244647,1211.0898065590497,310413.32203163375,1881.029093317416,197595.3166705517,2724.625191230892,2643709.562256039,0.041071180219620744,0.000744189321951933,3.580435e-06,0.037671283,0.00010644493,0.0053260494,[78.30255682],-158.4355,5177.1426,119.435455,740.13477,33.486916,287.60214,56.111626,164.64334,3.0823238,123.95412,29.056755,104.57955,6.295675,83.20398,9.000861,83.938126,-0.69992644,82.85886,2.3847632,41.771942,-4.321698,68.251785,2.9359245,44.344776,4.0755324,93.062164,3.613304,102.51287,-6.0771184,59.916782,-5.366193,76.94136,-6.5124073,91.200516,-3.8881512,47.331852,-3.0766363,75.26317,-2.6220334,75.949585,blues
2,0.3287863,0.08946409,0.24706846,0.00670087,1002.3040262073711,230731.22343204118,1650.8402409244468,200513.279392496,2086.837381179857,2236966.1930500367,0.03199300382159443,0.0003614924627909451,-9.00223e-06,0.049719743,-0.00010755015,0.005353436,[78.30255682],-164.09138,4774.453,137.56026,781.35156,25.253695,389.1614,51.819153,171.98813,5.3863583,111.93944,32.023987,88.38934,7.3419337,83.5414,8.375516,64.22238,0.9047718,82.50218,2.4237115,41.79679,-3.9869275,70.10035,0.35089874,43.89415,-1.4176241,44.213417,2.8208084,51.93028,-3.0349107,36.27874,-6.0367866,44.98488,-9.265738,39.157177,-7.9292817,52.902176,-5.513017,54.3635,-3.8921905,42.486866,blues
3,0.30550086,0.09194973,0.24821222,0.008109936,1033.0531934252163,246232.5411291246,1690.2678029717902,201854.90620866342,2148.370342431792,2300219.6341890246,0.03191326129547214,0.00025121919874830553,-3.972455e-06,0.053715076,-1.3593273e-05,0.0047059013,[78.30255682],-166.11226,5184.4414,133.54898,716.34827,26.413969,330.1864,50.859943,194.1905,6.704719,105.70247,33.004208,83.46118,7.6849604,74.66614,9.156545,70.30056,-1.6835508,76.244354,-0.20405866,48.961174,-2.1765738,49.91058,-1.7239177,44.28214,-3.5858123,43.803703,3.5554924,41.30722,-2.4545538,44.43124,-5.975839,53.648533,-6.1233,56.30171,-6.133272,74.58873,-7.401021,51.629803,-2.8035793,57.22894,blues
4,0.30383685,0.08671963,0.12290557,0.0014635113,1334.7409473173832,132788.56977380655,1687.9356114378684,107227.36216795575,2523.593073511271,666714.5054544864,0.062255859375,0.0005707388322788864,-1.6745801e-06,0.010040462,-4.2184606e-06,0.002142358,[172.265625],-152.45456,6697.335,143.10631,806.53754,-15.801034,435.73965,23.888231,105.76604,0.3466042,76.77869,7.929386,118.6016,-10.115352,61.185818,3.4674833,34.852165,-5.9296527,63.686195,-1.3787925,45.696907,-1.2741294,48.283615,7.7891197,32.34897,-6.298248,34.663593,2.771612,39.25352,-2.0982738,37.83959,-3.428548,41.38069,0.13289243,61.799915,-0.18164676,53.07526,1.2323925,43.709286,2.9563513,57.127914,blues
5,0.28962648,0.08862983,0.13827775,0.0017364066,1453.211557785652,146237.9703248259,1829.0436058228456,79183.52338243213,2859.2327106109715,898921.41504639,0.0657701994243421,0.0009080065793394362,2.3177176e-06,0.013363657,-2.8192302e-05,0.0024216513,[172.265625],-135.36693,4082.7869,135.22511,493.25784,-10.972833,325.40167,25.885454,78.913025,-0.25811288,67.68468,10.753096,87.26518,-9.172653,64.792496,5.441037,37.93529,-1.6267798,56.147205,-0.9051402,38.42655,-2.0651422,39.288765,7.729504,39.44639,-4.376106,41.705498,4.196225,57.039177,0.53388035,48.849422,-0.2572783,41.698544,1.5012537,53.501446,-1.8933812,53.748985,-1.7430491,68.97863,2.5792024,71.2266,blues
6,0.31401637,0.08968014,0.13124363,0.0022098303,1524.3352160377888,207187.10445400033,1766.2092852649125,95552.27205892133,2923.0323248234326,1078808.2889816244,0.0785509233504257,0.001110589527865788,2.583948e-06,0.010781748,-1.5494894e-05,0.0034780535,[172.265625],-133.0356,3591.6416,136.92065,882.12024,-21.230991,290.0202,23.642422,86.193115,-2.3204217,66.973404,10.159032,74.20156,-9.839839,50.679466,4.9627075,37.930264,-3.9989996,57.5455,-1.0837079,49.06588,-2.0333192,33.846657,7.871511,40.415966,-4.6134505,35.17643,2.2395647,57.38078,-1.2499549,39.096355,-0.49491137,37.11489,-0.30162945,47.60812,-2.2638998,57.764725,-2.5471034,70.41664,4.383758,82.017006,blues
7,0.3037954,0.085443676,0.14697541,0.0014956818,1598.4273531701565,64424.501109334014,1891.3669594499788,46697.89458032076,3145.030982427922,537979.6374129076,0.07895265939434984,0.0004674701587882967,1.8906053e-07,0.013860741,8.341477e-06,0.0030389314,[172.265625],-102.49264,1416.8326,129.96208,270.58325,-17.723867,224.92311,22.543936,87.82807,-4.814499,49.529625,11.230743,63.834873,-9.50991,43.03073,3.4025338,31.912436,-2.6994286,39.121986,-1.701935,39.12971,-3.3115458,39.547474,9.478994,24.26942,-6.33138,31.855808,2.821285,43.574055,-3.0516102,33.626747,-2.1380959,35.652336,1.6868073,41.883526,0.42928633,52.9587,-2.9229445,51.015915,3.8203511,87.06577,blues
8,0.29730836,0.087698475,0.14221285,0.0047538066,1544.0660484265868,394275.9039028043,1732.102066402134,353529.9624189451,3074.531408729199,1854575.7453672406,0.07588540658862229,0.0014621951799683656,1.7453397e-06,0.015072205,1.1829289e-06,0.0040064724,[172.265625],-146.45908,25061.965,118.49826,2125.4902,-22.147493,340.26022,22.85328,131.69814,-4.2311316,82.37842,7.2320046,64.60538,-7.216222,54.296738,1.8500625,37.23985,-5.742252,50.023808,-0.17661014,50.43536,-0.8229355,53.186653,5.336893,31.765976,-4.7572675,30.011625,-1.0497857,44.218067,-0.58747905,36.744766,0.111868516,36.53767,-0.46749803,31.511564,-1.7506607,30.108765,-0.3594812,42.97412,3.4713032,79.90214,blues
9,0.39951628,0.08810832,0.19152063,0.0068000774,1861.7447583569747,613832.5546796556,2107.161127014177,196200.70071778327,3817.3269171463817,2369176.4752413356,0.09202211929179567,0.003948988387646595,2.8736955e-07,0.020013008,-8.6238106e-05,0.00902123,[172.265625],-99.35542,7183.3267,110.00362,1648.4719,1.3643961,315.44028,36.005283,236.31526,-6.022533,94.12839,7.920841,86.87117,6.177449,110.86385,-0.43943328,92.291374,-3.9653296,67.46116,3.6502943,61.25194,-0.06871113,44.70746,-0.81508917,47.781822,0.010296635,38.162792,-2.8150737,37.540924,-8.734777,46.716316,-6.535027,49.540546,-11.906424,48.12122,-5.720789,52.52963,-2.9835274,45.739964,-2.863266,51.00521,blues
10,0.30901375,0.094059244,0.24406195,0.008645043,1752.4187315686659,307096.40588825534,2078.032387336974,172699.48993734023,3553.4535127527574,1657948.3238187758,0.08769674862132353,0.0009275603421375718,5.95595e-06,0.04227477,1.7905875e-05,0.009293421,[89.10290948],-74.73009,2887.7449,118.15633,938.49536,-0.8032338,247.58755,27.590897,255.74062,-1.7113996,132.86606,1.2458074,96.41355,9.624875,117.51618,-0.7212273,121.99992,-4.1709065,77.65178,-0.16382961,78.94419,-1.2801403,43.603653,1.5980018,74.369354,3.1228468,46.97927,-1.9807268,55.234592,-8.697688,55.989456,-12.021396,59.8515,-14.603219,48.41178,-4.3790274,85.138016,-2.456944,73.17442,-2.3795617,49.656414,blues
11,0.36925897,0.0913161,0.21640979,0.0052503166,1822.80445773249,299010.8196913804,2105.59594925245,158170.46181928046,3747.6273386101975,1543298.6587674245,0.08929953560371517,0.00089644925262899,-1.9171473e-06,0.028728088,-2.5952651e-05,0.008486445,[89.10290948],-69.54655,2592.4165,114.56042,881.6192,-3.516976,235.37471,28.079903,183.57642,-4.7579594,131.01674,4.370961,90.25954,9.052443,103.93963,-0.5083861,72.86931,-3.5450149,61.987183,4.4764833,61.429966,-0.70681727,42.957367,-3.5027761,54.59992,0.8865946,33.410175,-5.281783,42.620502,-9.196325,45.245358,-6.8575807,58.00641,-12.860122,52.112785,-4.979899,70.21285,-5.4622574,54.910908,-4.9659877,37.96646,blues
12,0.26056647,0.09004788,0.21868853,0.0096602915,2217.757543161142,782778.027103652,2158.0118015923426,211221.10445694768,4179.149729253338,2562300.5995745133,0.1513811707865712,0.011494778247145765,2.5847821e-06,0.042341504,-2.4471614e-05,0.0062564164,[92.28515625],-106.70693,4564.455,92.43358,2067.2495,0.75325584,518.4009,24.99929,196.31503,-11.135092,171.57527,3.6374104,109.63368,7.2716055,126.32002,1.6767888,203.17027,-1.7963208,62.113766,0.83885413,122.97293,-0.7423961,74.50421,1.1974162,100.01328,-8.351965,89.57599,-3.0698214,147.33618,-4.9176908,66.21194,-8.021602,62.825893,-12.624788,62.990593,-4.480045,129.89981,-4.3431916,119.244156,-2.6188319,263.07565,blues
13,0.35645136,0.08631521,0.31237915,0.0057016476,1684.0228680207981,286768.55800977006,1708.3727926908894,164065.37409427477,3368.4879645474557,1075851.8346668375,0.08266578886900154,0.0013635197438177607,-1.5039948e-05,0.06553586,7.343511e-05,0.0131617375,[80.74951172],-44.392246,4256.6084,129.64867,1557.1074,-46.628223,569.1544,50.51604,241.55154,3.8837304,113.47319,23.02122,106.68946,0.32375342,114.5637,3.4916935,67.86668,8.934212,84.86458,6.542948,61.516815,-3.060151,56.389103,2.9230087,49.500298,-4.2145214,43.49069,2.3950298,59.827816,-3.995627,36.410366,-0.86462694,37.778297,-1.9763029,45.314747,2.2152052,56.046173,-0.7165224,43.560993,0.41203332,46.702026,blues
14,0.37182465,0.085005626,0.32816708,0.0025233706,1735.310656736196,248986.36642228617,1742.7158705626705,136648.48652507094,3436.8125513980262,969235.7982920187,0.08749077858939629,0.0013495502123513543,1.4394269e-05,0.06666855,-8.365549e-05,0.0145582305,[80.74951172],-19.594633,1581.5942,128.46217,1158.4132,-47.566986,493.9289,47.981068,125.294914,3.999298,98.91497,25.196274,64.31432,-1.5496314,90.7653,3.937679,55.020866,8.093768,60.526363,5.5397596,46.543858,-5.241518,31.144075,0.76258624,37.69332,-6.138989,32.105694,2.961906,38.719414,-2.6550033,43.68304,1.7407249,51.357063,-0.88990194,50.235752,2.403449,39.38491,-3.0768106,29.682686,-1.3639287,46.00908,blues
15,0.3159673,0.088282995,0.32909897,0.0030188174,1924.3689922847077,237303.66396524358,1808.9789039264188,137541.79363359773,3750.1689899078465,931073.8144667823,0.10155040634674922,0.0011540886063011698,-7.3953805e-07,0.07043711,-0.00014328599,0.014889775,[161.49902344],-15.282863,1697.0436,115.5052,1012.36884,-48.479282,572.8332,42.584213,201.98653,-3.5847394,131.99046,23.913498,89.73343,-2.697214,86.21515,3.5174942,65.65189,7.62686,83.807976,6.632771,56.121567,-5.283447,43.868725,2.2906325,74.53855,-4.760722,97.746574,4.822071,96.93014,-0.6638155,92.26985,2.2317042,76.32111,-2.400743,74.89303,2.283731,72.953064,-2.4201,68.62878,0.11047571,92.71691,blues
16,0.3647678,0.08263808,0.33474123,0.0018619372,1924.9171955665377,271268.27053900104,1840.9937605524854,131019.31949806794,3780.4854732548856,994219.3807992721,0.09944497690112229,0.0013748042983945442,-1.3187192e-05,0.067716464,-9.058113e-05,0.016013341,[80.74951172],-2.0134516,1309.9485,117.96067,1117.2222,-45.30258,492.351,45.827816,119.55413,-2.7857287,94.47788,25.691328,52.929173,-1.6646544,68.06817,4.826754,42.153023,6.8910604,50.6181,6.2888117,49.89558,-4.8756623,32.344444,1.2981793,36.51022,-6.3121777,38.47378,2.7831817,37.76812,-4.4317183,38.516396,0.35057598,45.37914,-3.1132467,49.695766,2.3202055,54.434483,-1.7612548,56.02539,1.0323743,49.086693,blues
17,0.35241523,0.08461318,0.3364185,0.0017115764,1900.316481074085,239525.74939456454,1823.6559587355466,120264.50956047917,3734.044087412926,913743.2888497174,0.09883462533862229,0.0014122760131672204,-1.9652323e-06,0.06826673,1.8555045e-05,0.01632692,[161.49902344],-3.477601,1087.2659,119.073685,1010.56134,-45.771496,473.29572,49.03047,131.75958,-1.0966932,102.05273,23.565445,47.060776,-4.9469905,65.76837,3.6742847,35.643623,6.2241,39.456142,6.2620697,44.56509,-3.8860943,41.93261,2.3114495,62.097546,-5.4498997,60.368916,3.440717,52.226593,-3.8780136,49.2828,0.558804,54.59475,-2.876642,60.19345,2.230432,47.169197,-2.7026846,42.810005,0.20374867,42.33237,blues
18,0.35193777,0.08402577,0.29487368,0.009740519,1654.8006804909066,252456.43031510228,1530.6757300655806,223888.39372656326,3121.8144561484132,1160749.3766166463,0.09559050285410217,0.0011124007964381252,4.137076e-06,0.06342846,-7.3926462e-06,0.010038097,[80.74951172],-46.28307,8741.826,141.94398,1757.8402,-56.030003,828.1804,38.69562,578.1674,1.6389387,88.003654,18.743721,167.88387,-4.0087357,63.281097,-2.3600588,126.75922,9.3923855,71.57434,5.092435,45.331005,-7.5321712,46.980713,0.6567885,42.556442,-5.5335813,35.19395,-0.5922829,67.30562,-2.780374,32.34559,-0.38223228,47.71558,-2.2374244,48.16166,0.92640877,30.477343,-2.6705737,22.967201,-1.4363707,29.217813,blues
19,0.27854368,0.097582735,0.07200606,0.0030245578,576.3887723081119,80459.33063646159,969.8447049232566,136558.87887392507,894.3112588888351,483323.710075403,0.023739463404605265,0.00012133898040808159,2.9297898e-06,0.0062872865,-1.3236229e-05,0.00078652345,[161.49902344],-369.92337,4655.734,152.62215,1334.0166,34.9195,880.79285,21.686033,252.61821,26.85424,121.464745,14.362153,133.53389,-0.33184853,87.18485,-12.085083,96.31098,-7.856046,57.777874,0.23601218,52.075294,-6.614173,43.838158,-10.707772,95.92743,-8.067714,95.551056,-11.576213,45.14504,-11.504356,40.714886,-5.6288867,39.281563,-6.1007113,34.71685,-5.7540145,31.41178,-3.3534234,51.65041,-6.5996213,45.437405,blues
20,0.30693448,0.10296774,0.20105207,0.0086702285,793.9944803241187,283562.4032429926,1318.512309066467,371224.0155332048,1474.574416783572,2098049.635296177,0.024377403613583593,0.0002449001168858267,-1.1708813e-05,0.030906988,-2.2293327e-05,0.0096289525,[172.265625],-230.65811,9934.177,163.53604,1629.607,22.302763,721.62946,20.156897,160.07756,18.721325,140.62808,16.626673,89.4314,2.4294405,74.73774,-2.2588477,87.11714,-2.774564,67.07108,2.9356043,46.377285,-2.2737467,63.346817,-2.3663523,68.55975,-1.5830629,49.919895,-3.8152275,45.295757,-5.703617,55.782097,-3.3568633,34.798332,-4.9927826,41.176678,-4.977562,36.50714,-1.4416666,42.8842,-2.4609072,35.742905,blues
21,0.30245385,0.09667065,0.16582097,0.00848046,988.8309740583975,207428.57023954485,1360.5190376196663,263880.7330901661,1845.5055071473491,1389553.8314542535,0.041310407797987614,0.0004622417895356905,-9.069451e-06,0.017894851,-5.7876634e-05,0.009990226,[172.265625],-207.90427,10660.297,165.93018,1220.5895,-1.3356601,767.48126,16.758457,174.83966,12.094343,145.43918,6.4255786,99.80543,-4.6672144,95.306656,-9.092255,123.846245,-5.051736,78.0741,2.896331,60.104496,-3.2813864,89.66411,-1.9300231,113.7939,-0.40951,103.58929,-3.3431127,73.60396,-3.8254144,81.53071,0.7199822,93.40179,-0.57562613,114.25448,0.7475216,129.15976,2.44926,96.83541,-3.7861233,93.24285,blues
22,0.30488357,0.09467055,0.16882299,0.0071694045,1009.10770676436,206386.46210636315,1389.6766413594635,271026.84103594976,1853.0804613426374,1469379.775988759,0.043888623500387,0.0003733300175717222,-6.0773477e-06,0.018488104,-5.3910306e-05,0.008975516,[184.5703125],-195.67848,8989.404,166.63927,1209.8298,0.7620037,939.6925,17.043253,201.06001,9.662995,161.13605,6.4150624,96.44867,-5.662212,70.38978,-8.886464,96.23098,-5.5891256,72.41127,1.8469368,61.848087,-4.5303016,77.31614,-2.8909962,65.2571,-2.0789697,80.11952,-3.2639232,91.74712,-1.0235732,95.54228,2.3911984,132.81514,-1.0012499,86.46991,-1.1549284,79.549576,0.59198445,108.8559,-1.9021761,101.32848,blues
23,0.33548108,0.09601451,0.197184,0.007338926,1034.4874068552963,225665.71613477092,1415.6224499603472,269394.5150323847,1935.1632983322852,1575734.4742046953,0.04021139705882353,0.00043780830600747563,-9.621369e-06,0.029385597,-3.470571e-05,0.0084096305,[184.5703125],-180.33072,8781.656,160.6289,1399.0576,-1.6062573,1199.3192,20.318262,352.40744,9.122096,178.61111,10.250909,96.93113,-2.461931,79.28293,-5.5230846,64.450836,-5.2159576,68.28301,0.85369825,59.626156,-3.0740337,53.44299,-0.66400087,55.028038,-4.241071,65.54417,-3.4863567,56.671677,-1.9670333,53.911957,-3.3674626,33.80906,-3.8942251,35.20271,-1.3362496,41.165295,-0.020724978,55.19592,-1.4612154,35.873947,blues
24,0.3282367,0.09578611,0.19072607,0.008426593,959.1820043478332,342765.88319675723,1382.3367566271204,383948.5893903426,1881.171958143866,2292194.069026085,0.03438187826528638,0.0004848392134521566,6.738846e-06,0.026258666,0.000107398024,0.009371623,[184.5703125],-199.30879,8848.974,164.65709,1683.8241,8.776613,894.87036,24.175764,308.506,14.768718,188.76794,13.685767,99.57064,1.207471,82.62735,-5.0120935,85.449524,-4.247088,67.295876,1.4969852,56.11824,-2.475239,45.83858,-1.6971073,45.734264,-3.0718894,83.05604,-3.3052106,61.052486,-3.0304224,60.634567,-2.9048872,39.053074,-3.5594978,41.34072,-1.2707645,29.459084,-0.37474328,37.200607,-0.8267552,35.380154,blues
25,0.32341278,0.09086141,0.18365096,0.007966793,1340.3261678834322,508328.30594131444,1682.2247135847729,482676.5401186779,2753.7333485511804,3267947.0196123202,0.05589724325174149,0.0013416227447490589,1.949145e-06,0.021504393,7.924667e-05,0.010064647,[89.10290948],-155.55092,8494.716,147.38774,2089.7283,-2.6878152,1270.907,24.511799,185.20996,10.012015,169.95822,8.137111,87.719604,-3.7024012,69.97721,-6.137313,79.06696,-4.410318,57.227547,1.4971924,64.98693,-5.0461464,79.65949,-0.4627815,84.41069,-0.41243964,91.40606,-1.1320084,69.1193,-0.49209917,107.24342,3.4838183,144.47896,1.4294543,64.80628,-0.4279701,70.78518,-1.6592972,80.38013,-1.3002205,96.40805,blues
26,0.3233962,0.0932016,0.21139883,0.00632306,1024.9399349699672,247107.43099624556,1424.0919476216159,308979.6212103351,1926.1883526025542,1792049.448489897,0.03899976417376161,0.0003582018949348169,2.3014816e-06,0.031722944,5.0309636e-06,0.00886774,[60.09265988],-163.87631,7653.48,168.45259,1524.3296,-0.844828,951.0415,17.121702,215.15427,7.2785087,148.06393,10.320004,71.116646,-3.2281914,73.91101,-8.910273,84.27975,-7.1199107,73.19718,1.6515355,65.65241,-4.649151,50.34493,-2.9853284,48.020184,-5.939555,57.195145,-7.015728,55.43289,-6.452633,58.070656,-4.853616,47.660835,-5.321165,40.215797,-2.1256797,46.427284,0.74104637,53.23943,-0.74424523,41.69172,blues
27,0.31475976,0.093012035,0.22939572,0.0072934385,1153.1581931885664,422770.71707368357,1509.1678247319708,379911.6904070308,2255.594694060807,2481897.9469451346,0.0444789449496904,0.0008977276722508621,5.068811e-06,0.03946994,-6.244446e-06,0.009214422,[184.5703125],-150.60812,8832.958,155.65947,1768.2767,-3.463904,1114.8058,25.130434,280.7989,8.555488,231.192,11.419362,95.21126,-2.8195407,75.6763,-6.453497,81.713005,-5.484048,73.887054,1.2354975,67.24997,-7.0146604,58.300697,-3.7722454,62.292072,-5.6416316,57.672188,-4.841594,45.856213,-4.537371,42.02689,-5.044877,42.335224,-4.478614,40.062073,-2.1492355,57.13084,-0.03329638,61.814415,-0.0021400098,91.857796,blues
28,0.33422998,0.087644845,0.21620098,0.007517152,1277.1323708851187,433514.0684585392,1576.2096406175956,332583.19685715163,2464.4017647663504,2467278.628817146,0.05280164594620743,0.0008787070776250314,-6.148856e-06,0.034317967,8.363321e-06,0.009421471,[86.1328125],-137.1184,9163.67,149.52347,2063.4912,-5.8516994,996.9203,23.345776,262.57364,6.1959753,178.07079,11.239062,71.865135,-4.0874777,69.1732,-5.303827,69.16776,-6.413391,59.9572,-0.12799016,49.050537,-5.1610966,47.474773,0.55807465,45.687103,-5.3359947,43.22581,-4.295147,58.23813,-2.581791,67.26322,-3.1354227,113.49023,-2.2233462,65.37522,-2.4579315,66.90926,-0.3505986,69.906,1.4500022,73.83905,blues
29,0.32449797,0.0921101,0.21275736,0.007966705,1441.5848025295163,380850.15656037297,1678.1705593571735,279070.51215953054,2814.807979241244,2110533.652025772,0.06226039449496904,0.0010252244126584306,6.775557e-06,0.031314977,8.360641e-05,0.010307985,[172.265625],-123.03919,9431.079,136.2109,1701.5269,-15.476319,1037.157,24.59223,264.6387,1.4706401,249.2984,10.985772,113.07254,-4.637272,79.91998,-8.101129,95.901764,-8.399362,80.04762,-0.66552556,60.4502,-7.6500125,59.657906,-0.17152646,46.36788,-3.2899718,64.89999,-3.4058592,55.251724,-3.1868541,80.47257,-2.5029523,87.151054,-1.1328354,90.10365,-1.1648856,87.13621,1.2041619,93.69853,3.725416,106.58187,blues
