,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.2774592,0.10278933,0.052353308,0.0013848187,1840.6027254291037,341225.6686691937,2015.9538640716653,216781.85391557973,3669.2778123790636,2009354.6865629721,0.07407778335429567,0.001714454589431773,9.227617e-06,0.0031190966,1.9226423e-05,0.00050466025,[143.5546875],-282.00684,9618.233,97.77092,1266.3475,-23.181864,1230.4814,22.446066,254.43266,-5.118917,429.20667,4.2499013,202.67577,-0.92487764,145.65034,-3.0979774,181.60023,-6.2331443,101.04616,9.11303,137.59267,8.209034,177.39682,0.6275787,124.474556,-7.842723,162.1167,-1.5551286,61.77419,-7.5394707,91.32545,-4.5723433,65.599594,-1.4545653,113.67202,-1.9274528,139.39725,2.1785622,255.9289,-0.080692165,128.20677,blues
1,0.33016813,0.09595804,0.044720102,0.0005309267,1877.0754305024652,540062.48564095,2126.596124667365,248368.5901178913,3855.3600204987424,2970397.744769381,0.07604791505417957,0.0022182159620634458,-8.0401446e-07,0.0014997344,3.4383002e-06,0.00054295565,[117.45383523],-247.2109,6376.534,109.24508,1089.536,-11.502411,671.42773,23.020315,191.26785,3.1207864,175.55817,10.85796,128.86256,4.03376,143.53647,0.62252885,121.67882,-4.9252477,108.31287,5.2458353,78.18676,-0.9497028,110.844284,0.032312352,90.82116,-3.8748417,107.47218,6.285843,84.26016,-1.7370802,100.82103,-1.6863639,65.28696,-2.9340231,61.923706,-5.3257585,82.533325,-6.6505404,68.75758,-1.6959028,92.28107,blues
2,0.30390632,0.097451806,0.06094802,0.00055337156,1817.0769854696366,429902.1994789874,2089.9739851344752,232565.67938191353,3786.5354366715846,2334052.9460586384,0.06985142946981424,0.0016284516698465438,-2.7268115e-06,0.0029329127,-2.9876323e-05,0.00066495733,[172.265625],-219.22688,4513.792,111.401306,919.62616,-13.724116,560.5275,24.71655,178.04277,-1.5498828,199.15694,8.648867,98.8226,5.2760234,135.59235,3.685788,137.26184,-2.642826,115.84111,8.382446,95.31622,3.8673613,158.15215,4.881073,100.63833,-3.1475341,103.58085,3.3566978,97.20784,-2.3423502,65.32631,-1.5676906,61.87846,-3.4326067,61.234005,-5.2772236,69.97893,-4.692004,106.71712,-1.6886593,90.47625,blues
3,0.3076278,0.09697734,0.057565212,0.0005432462,1716.1516663851692,393137.7723703795,2052.6804071033393,254665.99039768887,3600.4865616836782,2523400.443357114,0.06352909430630804,0.0012317371895559865,-7.973935e-06,0.002573669,-1.2514897e-05,0.0006110842,[161.49902344],-230.97594,5737.2847,117.218155,835.727,-13.262665,511.8649,23.8499,142.80737,2.509746,190.22824,10.156834,138.62364,4.7439775,145.78526,1.7411447,101.97923,-5.130827,89.24209,2.7032464,63.723335,-1.3291413,115.357635,4.378994,89.2092,-1.6361542,119.74457,4.4132175,102.40844,-1.7137228,68.74587,-1.0325127,50.1763,-3.9075742,55.16251,-3.8093603,98.19964,-4.462322,121.085915,0.06735371,81.214905,blues
4,0.32463473,0.09531907,0.05373007,0.0007349823,1960.195189059118,495471.1193092932,2076.216639574554,318136.20333928725,3981.4509247109618,2825588.9804272493,0.09231501245646284,0.0038069413117034962,-1.1054692e-05,0.0023458102,-3.8817063e-05,0.000585224,[172.265625],-231.74695,5977.415,106.384865,1199.6403,-22.027533,878.3348,31.835152,226.63902,11.561841,153.41072,12.714417,93.68329,-0.44207045,128.67464,4.0707994,101.72135,1.782669,92.774445,4.6799994,89.79433,-7.034708,66.154945,2.8424914,83.744194,-6.0776143,72.81983,3.2655294,67.06256,2.09824,60.73512,1.9430158,59.33201,-2.6102164,57.51412,-0.790148,44.455345,-4.94492,50.80082,-0.8698734,45.269386,blues
5,0.3391297,0.097384885,0.05983729,0.0004989365,1871.3708660184209,638754.5252019261,2105.9531213805135,362817.4893581904,3944.7511466294986,3670027.7485405225,0.07738199617840558,0.0028386530110689977,-4.962527e-06,0.0026173352,-3.199714e-05,0.0007531885,[172.265625],-215.49904,5717.249,113.81002,1411.2606,-11.66076,640.9405,28.371595,196.6615,7.558249,149.23657,10.5918665,145.14029,-1.1127937,121.37085,2.0418112,88.69524,-2.8051293,67.27264,4.120698,83.84721,-4.7933536,90.67567,4.7487617,93.53024,-3.9372098,67.1163,2.2564154,45.348885,-0.7066237,72.02726,-0.43663654,47.662586,-2.854694,39.300484,-1.9468254,36.607502,-8.327079,47.299408,-3.0687861,47.44147,blues
6,0.29919714,0.09603087,0.061887078,0.00028375443,1741.8774321986796,382257.3641747411,1952.3716148186006,253620.22717478368,3596.844917037539,2128941.8003047677,0.0757206305630805,0.0014062220405431482,-4.9116547e-06,0.002908397,-2.6742056e-05,0.0006133807,[151.99908088],-209.95584,4121.568,120.1881,1025.9601,-22.371658,419.18536,29.9057,178.56354,2.14328,152.73459,5.1521397,113.60948,0.9454572,94.114075,3.2964888,90.915825,-5.3966756,73.44267,2.8274505,57.36316,-5.297124,39.93818,3.0000393,57.914288,-2.7055795,103.67359,5.5842366,90.66639,-2.872801,95.11442,-1.8157068,58.79257,-2.9509683,67.57441,-0.87448317,80.25841,-3.1889207,103.91588,0.31466118,116.63705,blues
7,0.2869603,0.09390236,0.060432807,0.0005321504,1877.4184066393,498871.8164713346,2119.4616946353613,259114.33562295706,3887.409826697949,2676395.9706349205,0.08773340750773993,0.0033589627454390747,4.4650596e-06,0.0030142714,2.1945982e-05,0.0006234695,[161.49902344],-226.01674,5563.9766,108.40435,1155.9307,-9.430228,536.34937,30.356243,233.35922,4.247566,138.87834,8.757348,118.95471,4.0496526,97.38039,6.6246524,117.73124,-0.91649455,86.358864,6.6561995,68.725136,-1.1652254,140.91237,1.5702115,77.39883,-6.412271,107.81771,2.7492902,94.66827,-2.6786077,75.698,-1.7740152,50.270863,-1.8703587,63.707176,0.3997178,54.856937,-2.6087797,92.679115,-1.7009375,131.42891,blues
8,0.31912863,0.096437596,0.05557411,0.0006775326,1824.7083991033583,507218.97511068755,2149.369988819228,291141.41027599457,3912.8763393720974,3077682.290351075,0.06636278843363003,0.0015363746316683715,2.280126e-06,0.0025695325,1.7634062e-05,0.0005898971,[161.49902344],-231.56538,5231.729,112.026245,1056.878,-6.725462,611.997,29.068493,191.39433,6.203312,176.5976,7.756718,114.173584,-1.737078,146.77129,-1.3365,96.346214,-3.4106007,78.542305,6.9448953,101.21086,0.613232,113.28327,3.0949538,90.79674,-4.903417,98.77975,3.261262,67.03506,-4.5979233,69.12839,-1.894704,53.388725,-3.522423,75.68341,-3.4477453,72.20317,-3.5927107,68.72468,0.79755753,64.41398,blues
9,0.32089853,0.09657951,0.06566546,0.00051427016,1677.4012408400536,370555.118703687,2042.260766980465,275403.3998466848,3620.928104743131,2470622.863928315,0.05948452314725232,0.001230590320754174,-2.7249205e-06,0.0031710782,-5.9436778e-05,0.00079512974,[161.49902344],-213.4821,5334.63,121.01197,966.9288,-9.75983,559.6333,30.28188,167.37788,2.5004044,236.9759,8.988254,110.13719,3.4021068,109.28476,4.3799887,63.479,-4.209903,72.016136,5.655591,60.39292,-0.28017148,85.9775,2.0009656,56.45854,-4.608818,58.714966,3.4078343,55.784378,-3.972552,69.879845,-1.3169187,54.187305,-0.629007,51.34127,-0.68053705,76.76681,-3.4683962,81.179474,2.2053132,86.006165,blues
