,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.21887317,0.08775012,0.069803916,0.0009373354,681.9852502271173,188987.77496038185,911.9530343655299,143274.52411042195,962.1691818945917,809936.0178119118,0.04003792872000774,0.00022025429298893506,2.69422e-06,0.005610361,-7.090142e-07,2.8399294e-05,[151.99908088],-375.9239,7239.63,169.20981,851.72473,24.095285,924.44366,21.023476,154.49165,-4.3051367,108.088394,-21.089119,122.31925,-16.797356,64.300476,-17.335236,104.54216,-21.65037,67.50651,-18.2942,74.575806,-11.827826,60.580376,-11.187498,91.22347,-14.464059,80.46217,-15.905955,68.01494,-16.773962,100.72508,-15.911298,139.92995,-18.109976,61.83855,-10.281926,71.71458,-4.214248,71.62468,-4.8111405,57.864223,classical
1,0.23531516,0.08329323,0.11202587,0.00116067,779.8942164666984,29494.774690590522,1052.3271506640922,26798.681199099938,1078.0434812185565,147465.54186447203,0.04612972861842105,0.0001174447900487096,-7.5125126e-06,0.013080351,-1.412339e-05,8.4987434e-05,[151.99908088],-275.0909,1866.788,180.33769,535.6744,1.1243118,512.2126,21.8669,104.95298,-16.870829,234.109,-30.516409,137.62367,-22.211939,71.38052,-18.01,92.80761,-21.451168,117.39788,-17.070892,73.573845,-8.310785,65.873344,-3.9315515,83.902306,-2.9151006,49.15201,-6.4922986,51.813396,-10.824565,56.543777,-6.032863,46.514465,-13.17606,55.373592,-10.190577,65.06764,-6.499523,40.839386,-8.591292,48.147667,classical
2,0.2758139,0.08395649,0.13599537,0.0020615712,722.4938310895017,9669.19094956535,979.2982346414883,15874.863477391857,1036.135401297649,55529.39864894966,0.04275748899477554,7.069833168689439e-05,-8.1643475e-06,0.019592017,2.0970215e-06,0.00012102235,[161.49902344],-244.60814,3256.2168,198.14401,259.08612,-3.372944,326.4733,18.69879,189.10025,-3.7581172,79.90731,-18.666056,113.169556,-13.718634,105.91755,-4.178963,148.43094,-12.638135,109.031746,-17.433094,64.76633,-8.083193,70.73745,2.2308207,88.84205,4.2311583,76.68107,2.29996,91.56215,-6.8682714,60.71933,-1.9619817,69.64621,-11.326973,42.02534,-8.307258,42.001484,-4.829379,45.79481,-8.034656,48.758106,classical
3,0.22061981,0.08343844,0.065181635,0.0006198647,865.2694386489807,48984.876869864966,1343.30718966882,40949.92887537493,1304.250446709317,440882.50827979203,0.04305076008610681,0.00020833512825227244,1.037264e-06,0.0045626527,-9.0616595e-07,6.3985186e-05,[172.265625],-328.3193,4119.1157,153.21014,441.9345,24.217842,670.30695,28.974718,119.95807,-6.0211325,59.47395,-8.547576,68.38869,-12.007344,63.29208,-11.762759,83.84292,-19.80564,74.31085,-24.894072,46.68622,-17.910713,50.02597,-13.225616,83.299934,-11.586501,92.56123,-6.086523,39.692654,-11.087351,56.590435,-2.5448413,120.19455,-1.648327,103.4379,-3.249952,52.09354,-8.401298,42.40613,-9.460154,59.621857,classical
4,0.2979874,0.08573598,0.19454691,0.0032889163,702.924298461462,17413.717668390447,1095.376014362678,15605.598745608295,1094.8600461977553,64699.541427972275,0.03527794238583591,0.00012179973864075684,3.8949024e-06,0.03791979,3.7514494e-06,0.0003421375,[172.265625],-196.74298,2372.404,189.9918,359.14877,2.5811858,230.26694,38.198032,102.330444,4.3534656,74.63881,-1.2441044,96.85971,3.090571,73.71486,10.072804,83.2754,-2.8702316,78.08085,-11.282878,78.83564,-4.449568,76.826096,-0.16875483,129.77473,2.3436491,158.6085,4.438329,135.23715,-0.57428336,50.05764,7.9647937,58.352604,-1.7556204,65.584885,-3.6023104,52.802696,-3.7707603,40.967373,-1.2716454,55.98855,classical
5,0.2979075,0.08701713,0.025473624,0.0011104663,1282.8164390525176,288597.8580550465,1400.9969246037704,159387.8291441426,2383.777252291747,1240160.6647770188,0.06819535482778638,0.0013005833532829204,-2.6397e-07,0.0014313243,-4.4507897e-06,6.312823e-05,[135.99917763],-361.4667,7630.2446,143.81073,1920.9087,-18.896212,127.58191,9.8662,96.47632,-1.3107393,90.44903,-5.548787,57.125774,-1.9607879,30.866743,-15.351889,74.463196,-16.695717,44.049137,-7.6807957,40.83076,-3.3198597,42.906055,-3.8944814,30.742737,-9.053341,35.75919,-11.815613,36.020912,-7.2893634,34.89572,0.31605422,34.12122,2.5501175,34.636665,1.0173478,28.300182,-0.89553046,37.40695,2.497927,34.353683,classical
6,0.2802573,0.090939626,0.066205926,0.0017268453,664.0869495381122,34156.41192920355,877.4059900670999,38929.03996100044,1053.2186313310274,112589.1180266743,0.033658904556888546,0.00017443830301551178,8.915708e-06,0.0052269595,2.149777e-05,0.00022249331,[92.28515625],-333.54575,2824.0007,174.71227,643.5142,15.183764,433.093,-0.78306293,170.45825,8.169565,237.53046,0.603313,164.58183,-8.758645,83.37633,-17.371958,107.39507,-19.436962,103.8773,-12.036817,115.426895,-9.102596,128.99355,-10.245239,80.58956,-6.8153834,74.09473,-3.5452054,55.674747,-1.2858106,51.994278,3.9942732,79.6316,6.3164673,55.895576,2.7308319,34.288006,0.65842634,46.42012,3.7250297,40.14617,classical
7,0.36523822,0.079822466,0.1342992,0.0012725579,472.21562259263976,10759.840862868683,757.7120866238103,26956.16973712845,745.3038265830592,49275.59816981903,0.01992693921729876,6.377264091873905e-05,-1.9416888e-05,0.017116403,-6.813996e-05,0.0004796625,[92.28515625],-277.19583,928.852,208.4061,150.08755,23.95681,166.00685,16.021278,57.149406,27.009052,88.35576,11.472747,44.771652,1.2805078,36.27861,-3.958484,38.630203,-6.357955,29.879587,-0.10976537,32.27033,-0.6863755,38.31216,-4.546195,40.557537,-0.89658546,52.595764,2.8601441,38.851704,5.8376646,28.397404,11.010941,47.75348,9.905604,40.939095,3.6897433,32.514202,2.7245998,31.991816,5.1753964,31.14995,classical
8,0.3414167,0.08502654,0.12471881,0.0032964076,604.29602659442,36182.21306676386,999.2441579611057,91867.27086471056,1014.5938648897059,194638.7444184986,0.02576363861745356,0.00012627013313253714,-6.2174868e-06,0.015931811,-5.5989945e-05,0.00066350104,[143.5546875],-263.08466,2466.637,195.76988,594.1794,22.517946,407.9819,21.082632,105.388885,17.130962,107.78933,6.344518,51.008755,4.5065007,36.347504,1.3941618,59.568214,-4.3337407,38.996994,0.8545313,40.972607,0.7617333,53.16954,-4.7672405,50.06255,-3.5541542,79.167915,1.9739387,87.35538,4.47582,50.900513,6.167482,53.142464,7.0199184,44.516514,2.809547,45.62287,-1.6273907,41.15186,1.6935335,64.11912,classical
9,0.3535857,0.083742425,0.10204815,0.0022529117,693.3436724304554,58844.95520904353,1124.1826737154408,80757.09699737008,1157.6763330229296,302516.18616318004,0.032282117719620744,0.00024849163023823957,2.0433932e-05,0.008881107,4.258384e-05,0.00097212405,[143.5546875],-255.92606,2284.013,189.35243,503.83267,22.180714,505.3086,18.651363,182.73679,6.2648954,77.35341,6.4573946,62.653618,7.00974,56.272774,3.2170742,70.41783,0.81844735,69.59502,-0.9194782,42.878742,-5.373636,44.72982,-2.2465014,34.126106,1.8240727,53.64146,2.3174214,85.24789,0.27596745,45.18285,1.9365586,34.950535,3.8147297,33.09728,4.2783995,50.443733,3.1806898,64.30421,5.4143205,41.247086,classical
10,0.34979185,0.08538316,0.08013713,0.0018108777,811.3428166524344,56313.996075875606,1106.6835172808562,56258.9484321168,1358.2084537659637,234671.81332360892,0.04206739490615325,0.0004581176734692555,6.6985954e-06,0.005993198,2.9826371e-05,0.0005558862,[143.5546875],-258.01068,3070.926,184.6097,414.66748,-0.59903246,476.35565,11.437568,267.66412,5.0471053,119.32312,4.3931313,62.811737,4.2635636,63.1194,-6.754303,160.12434,-8.639484,92.39992,-1.312037,64.03402,0.14900854,88.97185,-0.15132146,46.73861,-2.503279,46.528778,-3.70189,115.72156,-2.5015018,65.515976,3.8293903,29.633217,5.6216207,35.094757,5.257138,43.80436,4.8971624,39.423306,7.088633,36.14693,classical
11,0.23898019,0.08567116,0.086819686,0.0049834494,779.7203230802585,42405.290789458035,994.2631503774645,56434.25831568103,1308.725419649768,165967.34449694585,0.039542088936726005,0.00011900050547050534,-7.078916e-07,0.01067695,7.5780463e-06,0.0004312125,[92.28515625],-298.21313,5285.5327,174.43295,1032.4828,1.2128018,421.33563,4.5045147,225.54977,4.5816956,145.29808,0.32458287,91.871635,-5.7151875,61.501625,-15.839154,48.154755,-17.749828,48.564472,-10.672259,121.80969,-12.632649,133.69702,-12.891552,123.44705,-8.360806,77.18929,-5.847207,44.932384,1.625445,40.62227,9.389983,76.37031,8.528863,56.068233,4.798206,45.627563,-0.24862377,37.270897,3.1152718,35.07978,classical
12,0.27499276,0.084271,0.19623294,0.0014225505,643.1294869628936,18325.871083018494,905.0015151641848,50153.51856786515,1172.4095772663507,68591.74296772064,0.033926854561726005,5.6666226312707374e-05,1.07497135e-05,0.034417182,8.299924e-05,0.0012905804,[92.28515625],-202.56113,859.1731,210.84474,269.57535,2.8753579,105.59385,19.49431,59.23422,16.412376,91.80605,9.794447,41.802246,3.1459768,49.58943,-9.366171,31.489687,-13.261856,28.477674,0.06599965,29.40118,5.271314,36.0688,1.898599,32.08098,-1.9737213,51.695923,1.216025,27.95587,7.3206873,39.510014,12.675898,32.138824,11.007543,38.898594,2.290074,49.16859,-5.6247215,28.275343,-1.2047622,55.09133,classical
13,0.3306189,0.08719988,0.020857472,0.0006273146,738.2659811170118,43258.59930555608,1124.6609878127117,68216.38150313978,1291.1921923374614,262174.0332182811,0.032757549463041796,0.00012013290631015696,-5.7121606e-06,0.0009077392,-2.4459709e-05,3.6378915e-05,[92.28515625],-429.04663,2649.864,167.47876,898.7227,19.702137,522.8733,17.368517,74.91121,25.732706,54.717033,14.201374,32.881695,5.8359723,44.084885,-9.859307,36.722794,-12.797303,28.880194,-4.2734756,43.20581,-1.1038564,76.97042,4.0128746,99.68215,2.7308862,115.743576,-3.652325,52.370853,-0.96708506,55.77593,0.27300212,131.04352,-1.3478146,160.4883,1.8358034,49.770306,-0.25191495,42.22526,-5.570731,38.69048,classical
14,0.24864252,0.0870072,0.016485732,0.0001087334,983.1135911240041,463263.6270004506,1127.6616353375741,168829.82852413744,1506.7242223780959,1599024.6401083942,0.05934582406153251,0.004046766179840768,-5.4033716e-08,0.0003415857,-8.5479236e-08,5.419722e-06,[112.34714674],-464.7542,8414.681,177.03432,1426.4546,-12.204722,331.41998,-16.951668,95.71168,-19.689234,44.35243,-12.764325,31.897093,-28.70854,42.469765,-33.609978,48.026405,-24.836517,29.85551,-19.364326,23.239222,-17.838198,25.66463,-9.762678,17.955627,-3.9553494,26.822466,-0.7077495,30.027252,-0.82406616,15.673736,-10.609249,26.649214,-18.962044,28.863546,-8.680099,20.914867,7.3397007,17.726078,9.79279,18.055956,classical
15,0.27397832,0.080330335,0.061429866,0.00054789596,811.6697147977862,13798.082144635378,1356.176051397709,73765.9615087741,1075.2934978473297,44818.32631111938,0.03656893987035604,7.987451628301158e-05,1.4189764e-06,0.0036832995,1.5388814e-06,9.915583e-05,[123.046875],-299.75922,989.59576,180.19856,151.21413,25.964497,445.50513,-0.7297576,133.82355,-8.012475,53.485283,0.3249066,80.976364,-8.594754,78.34669,-15.362697,108.8743,-11.433002,48.226368,-7.2211685,57.460617,-13.573312,20.636766,-9.467198,19.404392,-13.29207,24.109945,-8.46428,31.24434,-9.846149,30.69,-4.6855516,34.32519,-13.326308,33.7508,-6.017868,21.996685,-1.3081553,27.35522,-4.5151196,35.590103,classical
16,0.26102814,0.08180417,0.06604442,0.00070398446,895.4675529175814,24944.529761158425,1463.6091371873083,50554.58361697119,1178.1678757800407,107548.75453919102,0.043140706632159444,0.00015456439613408137,-1.189074e-06,0.004248159,-1.6588996e-06,0.00016263514,[184.5703125],-281.91394,2203.7795,174.28783,190.69131,27.85435,327.11252,2.4288826,67.85703,-13.656111,72.322334,-1.4088885,38.893147,-5.269233,40.1219,-10.233825,59.292503,-11.043336,29.987774,-2.9562693,59.39597,-7.3530335,75.123146,-5.4594054,44.268173,-10.239734,75.39067,-7.4418206,76.72528,-12.995761,41.440125,-8.734315,29.207691,-15.239077,37.023094,-7.8296437,36.30829,-3.1534455,53.102066,-1.5585992,33.801605,classical
17,0.39306822,0.08349279,0.21283838,0.011930763,661.4189208389289,45197.96980920689,1212.1750365692546,55637.359135636965,972.652451837026,112214.21144959444,0.026679354924535603,0.00020145002950467178,-1.1333722e-05,0.050318405,1.4055438e-05,0.0008581238,[123.046875],-214.39111,2589.6882,191.66074,296.514,26.560154,232.0372,12.039447,159.13179,-5.897112,87.54653,11.392575,127.23036,3.2723422,97.41711,-1.7376425,99.69445,-2.7608702,94.43688,4.990712,105.23707,2.4315922,134.81674,2.3454642,106.8884,-3.4832768,56.20674,-0.461927,54.927063,-2.5795064,65.4775,1.732033,66.20236,-3.2927492,69.45865,0.13929763,43.182247,1.1731459,28.15715,1.2000217,42.363976,classical
18,0.36860663,0.0904596,0.14267772,0.0052354974,746.523875181152,59304.162779718106,1310.9600309528225,60016.748956109855,1082.2184559730554,221978.40676521434,0.029524386851780184,0.00025867926844649777,-1.888073e-05,0.022941178,-3.5693774e-05,0.000427363,[184.5703125],-237.93404,3064.5354,183.57047,267.07217,30.886934,892.04315,7.902343,143.49425,-8.9704685,76.6964,6.7246685,69.184654,0.98699987,100.33192,-3.7242162,129.13467,-5.203461,97.35288,2.9274917,79.377975,-0.46293977,103.936775,-1.7845671,74.12746,-7.9626765,57.32324,-5.329355,66.61618,-4.276946,65.5601,1.7767489,51.00404,-3.8809066,56.964626,-4.683318,61.552197,-3.5585284,50.733467,1.3808078,43.743187,classical
19,0.44076586,0.07603888,0.27929085,0.0029221592,711.2772964016369,20318.69624957457,1183.8770893861124,29016.3345077404,1213.6093281370936,70411.58484787324,0.024067881675696595,0.00011338401059458373,3.0037716e-05,0.07114858,0.00010646438,0.0014411672,[161.49902344],-145.11739,990.5392,195.88226,181.1314,0.89030224,197.86838,17.701807,44.0399,-4.0524817,35.084316,15.850653,39.234356,7.187585,40.054832,5.639668,33.704044,4.21159,26.304058,7.6516304,23.257523,4.2223487,34.92653,5.452656,26.229906,-1.1058155,29.731142,2.8682168,21.961378,3.3449035,26.233006,4.988612,25.736448,1.0676427,26.5892,2.5041919,24.74596,5.073017,23.94891,6.876852,31.781487,classical
20,0.47493207,0.077420086,0.24795367,0.003421844,574.4618137293139,14842.290758664729,1172.8989955192012,21772.953737489144,906.3195196098587,65280.53405436296,0.014609888980263159,7.950225248580765e-05,-4.1672383e-06,0.05947798,-3.828139e-05,0.0007090814,[112.34714674],-206.62398,1955.4584,185.832,179.00674,20.762392,396.9737,25.453966,38.00361,2.1287208,32.652786,20.247074,31.310867,16.016685,25.62546,9.877806,18.91876,8.648394,25.631979,10.963363,25.351202,3.1888351,38.764305,-1.5043764,35.56712,-1.5183249,23.22535,8.194964,25.84543,8.957427,31.427052,10.358343,20.662004,6.1464176,27.842499,5.5131283,25.213123,1.2940096,25.972847,-1.5160643,32.93793,classical
21,0.34855866,0.092292055,0.08086045,0.005372703,750.8785878287655,32340.590649235037,1216.3323428814197,25327.212806020085,1095.8517068679857,116282.53113718945,0.0343357712122678,0.00037850517618585205,-3.3197653e-06,0.0106036505,-1.9482388e-05,0.00021013839,[123.046875],-331.08398,7098.6577,164.76173,1006.03455,24.304117,221.74042,-4.543272,441.90237,-4.0139456,137.72694,3.2839432,214.5851,-10.621726,236.41212,-15.501693,247.71347,-10.751258,190.59752,-4.6578946,230.13293,-3.720213,145.76912,-0.71508414,86.093544,-0.21789816,45.225044,4.495211,63.55819,4.243282,40.6708,-2.1243222,62.750237,-11.959637,61.895184,-3.1976988,59.546112,10.473427,30.696962,12.319102,38.06026,classical
22,0.28210658,0.092541784,0.08714858,0.002086602,633.470882929963,223310.0876643374,1026.947112024307,345971.2441997536,1078.7101438540053,2188138.9357775333,0.030048949061532507,0.00012950316064511716,-3.5076534e-06,0.008259569,-2.3985705e-05,0.00031879265,[64.59960938],-350.20895,4353.0093,192.8276,2400.0042,48.103947,554.05914,2.9644167,238.29211,14.723276,70.52815,13.983214,58.62811,-3.8733454,94.498245,-12.192104,80.653946,-8.33751,59.807045,-4.0465636,67.307686,-5.213205,49.82761,-4.5938473,48.798782,-4.3293777,46.883854,-3.9298303,33.031944,-5.277758,35.60194,-6.239569,32.41961,-5.1814194,31.687613,-7.001451,39.41461,-7.7300706,38.66491,-4.58586,32.002388,classical
