,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.32174286,0.0929385,0.1455379,0.0014267366,2021.5831826967105,726717.6064011826,2016.8943823845798,126312.43042287992,3786.693769047504,1916589.8614943319,0.11535115433920279,0.0055070741070123675,1.9374677e-06,0.0,3.4133187e-05,0.0,[135.99917763],-107.1367,5451.7676,107.02051,1254.2922,-11.750788,422.7012,36.711555,305.05515,-4.636365,214.23834,5.989472,186.58923,-9.258963,95.34172,1.0444176,106.38523,-10.780432,145.07121,3.9875617,125.25622,-5.9010453,111.26337,-11.934987,70.18027,-5.687328,83.42053,-2.2247467,72.489105,-2.4731815,72.81318,-6.393606,42.46512,-9.559599,50.947388,-3.2248685,49.376595,-5.2292805,41.850563,-0.26920113,61.38927,country
1,0.31742176,0.09090204,0.15806207,0.0011254784,2066.224289929903,574991.178244091,2107.306558670864,76270.65910817635,4062.8587657822177,1346192.1630822138,0.10661160023219814,0.005349616914858162,-5.1401605e-07,0.0,1.9837555e-05,0.0,[135.99917763],-92.2882,1349.4584,101.060974,1050.3647,-9.46982,430.2208,40.117996,276.7307,-6.297409,183.55481,6.367074,149.7804,-10.309948,119.387566,0.029668,92.37306,-14.630275,106.69839,0.57425475,137.73923,-7.257294,104.59502,-8.991351,73.998146,-6.243415,70.68216,-4.286513,59.85086,-2.1858943,51.559006,-4.3197303,56.67421,-9.289174,53.478214,-2.0008712,48.242283,-6.4888253,37.26205,-1.6133384,57.302933,country
2,0.32275385,0.084735535,0.15003064,0.000882513,2030.8983926267663,368209.7911938601,2181.090118358118,90138.72479389007,4242.716011543392,1303490.386104604,0.09936599022832818,0.0028955890292545637,3.137223e-06,0.0,4.3264106e-05,0.0,[135.99917763],-88.725365,1538.9471,104.12542,668.1642,-4.8722067,322.60458,36.865723,164.90797,-6.541699,137.82204,10.49839,109.82517,-8.962609,68.064766,2.2016551,68.182594,-10.9299965,93.42852,0.55780494,113.032555,-9.729312,87.26984,-8.884917,86.99278,-6.27973,60.43077,-5.231214,60.204964,-4.439234,46.026,-4.6844273,41.909058,-8.537683,53.56937,-1.6384398,46.663906,-8.176618,47.62153,-2.6753035,69.8047,country
3,0.31929624,0.0894243,0.16714212,0.0013728044,2028.5198083691585,580535.6385714139,2049.6438567010614,90432.43300931137,3933.101217075029,1471521.7750839298,0.10528923483455882,0.005068094436533137,-1.3235962e-06,0.0,-8.096671e-06,0.0,[135.99917763],-88.180016,1592.6337,103.48987,1090.9065,-15.77367,435.85022,39.35238,247.41312,-4.4930973,187.00438,7.3449206,166.32527,-9.033752,120.24853,0.7939109,92.53144,-15.352379,102.71677,0.1600073,103.717636,-11.019625,108.56238,-11.830995,60.74601,-5.259076,65.098274,-3.6970856,61.18288,-4.9515877,69.6836,-5.0847936,62.417545,-7.655019,52.93502,-2.7696738,44.91006,-5.1801786,38.671997,-1.5544947,37.97642,country
4,0.32878774,0.08699094,0.16100179,0.0013385422,1993.2608819999919,526866.8252766882,2101.104804111981,95384.16759241774,4018.617366637239,1541647.0092281937,0.0993198831753096,0.0038272950402887915,1.4596602e-06,0.0,-2.0175941e-05,0.0,[135.99917763],-87.69099,1859.4648,107.45083,884.944,-8.277871,341.332,38.46905,161.35861,-6.8054857,167.17543,9.615679,118.45713,-11.998854,87.12489,2.0970564,62.369366,-14.339895,102.27598,0.8257691,91.70912,-11.429251,77.65414,-13.486253,58.60836,-6.4676065,63.344173,-1.4381673,55.741257,-5.9677706,40.020557,-5.6913013,34.93066,-8.579444,54.477356,-2.4956927,39.909218,-4.799506,34.863415,-1.7229669,45.67343,country
5,0.30944446,0.09807368,0.09837753,0.0034607232,1743.8815317599351,1049745.3669052382,2208.971928824856,209610.4158235543,3511.8204311689724,3332898.035151802,0.06117083192240712,0.006252337396496225,3.201037e-07,0.0,1.0590975e-05,0.0,[92.28515625],-216.88351,4889.698,104.9851,1571.8838,11.665751,342.7403,28.718775,283.21725,11.43048,282.9265,5.46864,188.44305,6.5960803,190.16286,5.98777,142.77376,-7.2245474,132.49937,4.081929,141.06226,-3.809671,96.25389,-2.7697222,83.5741,-2.1208048,116.12819,0.26812074,71.11531,-3.5457714,59.575016,0.82817066,73.50381,-3.6376967,52.27813,-0.7732374,55.91834,-6.9838853,46.489716,-4.1310654,38.88888,country
6,0.3411847,0.097909,0.079999365,0.0028274483,1876.5232692109955,821548.5134310455,2301.611188669676,127513.98055839892,3860.626655318789,2770949.5618484244,0.06905627176857586,0.0045082680140100225,-4.8462693e-06,0.0,-3.8275848e-05,0.0,[95.703125],-223.70018,3576.9578,99.84749,1264.3983,9.990861,377.82434,32.92531,371.37323,12.089468,266.11624,6.025377,177.24554,9.159338,161.25197,9.892226,164.19513,2.0480945,169.41502,3.8859122,171.64644,-6.4803205,144.12236,-0.9116536,105.15081,-4.0022583,75.42766,2.9484923,67.99523,-1.4917854,50.33509,1.6400244,42.487347,-4.5777254,39.68303,0.92676795,50.90528,-6.6384096,51.36422,-4.667272,71.1313,country
7,0.32447487,0.10240063,0.09068311,0.00352543,1712.32009532906,823962.666992979,2182.18532121,147038.60440749125,3503.995478485391,2826278.6099342555,0.05847886029411765,0.004818931539469872,5.1296643e-06,0.0,1.413281e-06,0.0,[95.703125],-230.20602,4789.087,105.97999,1344.3334,9.805927,380.14792,34.183826,302.03735,11.022734,284.726,6.0993204,196.6772,7.0850024,204.19817,8.249367,145.13103,-0.13768747,195.60443,4.320902,130.98862,-5.2793536,95.39209,-4.1961274,75.958275,-2.591123,79.18969,2.0449932,59.137367,-1.7134099,57.90587,2.4543798,53.675255,-2.9681675,50.66051,0.41926694,43.89473,-5.0363173,35.44131,-5.551239,47.21397,country
8,0.33688334,0.09510994,0.08316924,0.0028932109,1632.4320641134998,454575.4887502463,2221.822830139036,140246.71803627635,3476.162313455399,2209380.3616665415,0.05060438032120743,0.0017322653360005477,-5.986824e-06,0.0,-1.270727e-05,0.0,[92.28515625],-227.65356,2695.1711,110.45133,772.8313,10.4036255,276.7708,31.82568,300.02393,14.29656,227.3991,7.9355583,158.55273,11.073423,182.639,9.713346,177.43825,-0.47310957,134.89502,3.5139046,127.30452,-8.022703,166.63788,-2.481323,112.74147,-2.428491,116.22435,2.6080072,56.19341,-2.4480116,40.405186,-0.8222425,32.94863,-5.6303563,35.136402,-2.1670792,47.723183,-5.728779,45.16573,-3.4327033,57.14446,country
9,0.33896002,0.10181617,0.0910286,0.0035134184,1794.6883167808448,1064304.2686312604,2208.4121951394773,159941.38677457615,3610.011504087655,3404330.36716889,0.06288132800406347,0.005672025793405123,1.1291028e-06,0.0,-3.162217e-06,0.0,[92.28515625],-232.68962,4545.6826,100.45643,1536.7401,13.519831,436.34317,36.95444,250.60463,10.604728,325.8584,10.672536,190.7853,9.97808,140.46472,9.934092,147.34315,1.0525606,212.12462,4.8074093,98.51812,-5.60481,92.273186,-0.89282966,103.931595,-1.7876616,65.6376,3.1457896,59.34511,0.41259715,47.944866,2.278109,49.01417,-2.4083257,50.025726,-0.26772907,46.09754,-5.56998,46.933846,-4.051116,46.733643,country
