,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.4526051,0.08940458,0.058296222,0.005208675,1956.8359114965237,2322540.6077449205,2363.340201612292,896081.9387736033,4130.766688485633,10547457.528979538,0.07273652162345201,0.00768656449462406,9.679874e-06,0.004713182,4.5871384e-05,0.0024547032,[129.19921875],-346.6637,17937.66,80.910515,2359.8774,22.23217,857.1582,16.269855,363.77853,28.925755,254.02876,13.2687025,250.82742,9.780051,189.19164,9.440432,201.11359,4.389028,147.2464,7.55539,74.046715,7.6408644,49.072453,6.6245065,32.032883,0.8064104,41.45905,3.2766137,33.985474,2.336896,31.386208,3.9447486,18.700434,1.8843287,24.291622,3.3659153,14.622866,0.13651945,24.922842,0.7281787,15.190892,reggae
1,0.39516225,0.095293306,0.16441338,0.009401662,1900.6998103591557,1499502.8515336413,2366.040857557276,641759.9685509868,4193.066311768334,7996802.779326767,0.06800336808243033,0.005316574725897783,1.5278604e-06,0.02347847,2.4731853e-05,0.0064600017,[129.19921875],-184.43237,7061.627,102.98747,1517.221,16.71277,844.1334,20.726536,508.26074,26.21807,349.83176,14.580166,216.55232,3.2052834,213.10112,9.294658,209.16902,2.3382108,146.066,2.1384401,106.37471,4.791372,86.51994,3.9490366,82.11863,0.01911846,64.66815,2.1473813,59.440155,0.99681145,73.80325,1.7224529,62.08936,-3.617427,70.836136,4.1210194,59.59495,-2.2526102,47.775063,-3.041378,84.603745,reggae
2,0.3806512,0.09553535,0.15790191,0.00741396,2120.8677200534776,1463681.3975392156,2498.1484345397935,695026.0824530688,4809.870915368615,8071337.240494107,0.0774749661377709,0.003807093376847293,-1.0213098e-05,0.019004717,-4.512178e-05,0.00671516,[129.19921875],-171.43689,6383.1777,97.049774,1778.5109,13.983531,855.8315,20.294731,438.08612,24.6812,337.10583,14.899858,222.0833,4.7224813,239.17216,9.644666,206.00822,1.0171862,179.40016,3.677708,111.788605,5.9446282,105.23138,3.990483,112.30429,-0.7573405,67.8628,0.0626541,65.72181,-1.8626282,84.83462,-0.14594196,67.88972,-6.091774,79.97328,4.334474,62.74759,-1.9679407,75.1898,-1.568147,104.890144,reggae
3,0.39676756,0.092171766,0.16336603,0.008163615,2138.3076011911708,1410625.0127205916,2541.0482837423474,700562.6823701434,4911.195302673907,8133263.931220166,0.07902068619388544,0.004013623348732771,-1.38570595e-05,0.020882336,1.9541594e-05,0.006974746,[129.19921875],-165.69997,6074.8726,95.89963,1413.3507,14.679851,1020.7858,23.370193,433.59424,29.568148,311.3238,14.82019,223.15903,2.7567668,235.24263,6.869914,191.25812,1.4818486,174.38274,3.9034193,111.08782,5.623073,108.5112,5.6563334,102.05365,-0.6042862,67.75159,2.357076,77.49622,-1.2116424,75.9475,1.8212768,78.55837,-3.4675014,70.45706,3.9782147,58.249752,-2.4701307,51.16729,-5.197612,95.73071,reggae
4,0.4026061,0.090505816,0.16704746,0.008194337,2212.9610503300173,1384715.6604035792,2612.181052454444,683500.5783538581,5113.1774146490425,7841715.741579303,0.08116579793924149,0.003734878545034634,2.7119828e-05,0.021274181,0.000114988645,0.0074904263,[129.19921875],-156.05354,6497.493,97.1598,1371.248,13.806537,1076.2646,19.489635,541.60126,25.88517,318.3697,11.187476,213.25061,4.3086805,164.13095,6.9483585,152.69812,3.5335999,146.83147,5.746888,112.34689,1.2530831,78.844086,4.41369,76.573105,-1.4482087,72.78436,1.3146107,76.796295,-2.1378207,83.546745,1.7781631,81.971695,-4.4697237,82.70513,3.0434916,74.80572,-1.025455,63.313427,-0.004606666,88.32694,reggae
5,0.4121123,0.0908987,0.18634385,0.007700837,2094.525152933726,1605361.5620005256,2591.951395841043,800354.4365303119,4840.595729579866,9495972.61649992,0.06831515758030186,0.0037611210687239402,1.3024668e-06,0.027311077,-5.1447564e-06,0.0069052638,[135.99917763],-157.87997,5767.861,101.03332,1534.2656,22.497095,1091.0961,18.248032,436.08243,30.157465,246.92836,13.998765,205.13806,7.0885315,171.57903,8.311562,153.31403,3.71749,136.87537,5.1211057,104.25622,3.4294703,85.196205,6.257013,90.333855,0.093576,66.47593,2.5141191,63.27727,-0.14302152,77.525345,1.2285248,72.912186,-3.5934658,80.040535,2.9626102,61.629475,-1.9842614,57.340187,-0.9735011,84.46402,reggae
6,0.3926175,0.108000204,0.16214101,0.010974574,1561.8441154919747,854510.5614438219,2070.8274156362577,446937.2290318324,3113.3811738099844,4524390.261985594,0.05783109399187306,0.00345701330705317,5.723944e-06,0.015215737,-1.1082661e-05,0.015718732,[129.19921875],-222.02715,17113.385,102.87184,1066.6373,2.062424,1160.6505,14.521741,539.456,17.00465,452.27036,11.338544,248.09827,7.617371,219.56097,5.1772346,208.01797,0.87354195,221.17973,8.351666,111.3904,5.408141,67.820274,7.194674,83.09563,10.064197,77.507126,8.24264,52.838818,-0.0065260376,44.04187,0.18992686,57.898823,-3.2542872,48.13546,2.5498827,53.708435,-2.182824,37.380356,1.3475466,54.948063,reggae
7,0.36231127,0.10605414,0.19492853,0.008421128,1540.4681722602356,480311.995253896,2078.362987433744,336892.3639378092,3130.314404750387,3273353.191731356,0.055439951988196595,0.001541841662308637,-2.478573e-06,0.023231337,1.4254965e-06,0.015803784,[129.19921875],-176.62703,11461.641,107.34578,773.4029,1.5789974,1064.1061,18.497969,463.50647,15.658702,443.62973,15.030813,203.31487,6.0566106,274.4909,8.755729,167.98283,4.6020536,169.01845,11.434105,98.24975,8.199315,99.91848,7.69017,130.95613,3.387446,89.36124,3.6740408,99.63513,-0.54259264,98.2185,0.55160123,57.698227,-4.494996,92.49271,5.9806767,78.58645,-2.7505517,66.40569,-0.597494,68.55828,reggae
8,0.3800309,0.10622678,0.1814146,0.010072271,1405.891058114705,570727.469648709,1990.168994754368,457992.8070343965,2839.24949811339,4019348.907613789,0.04817015467782508,0.0012650229543492342,-1.3255308e-05,0.015878348,-3.8521343e-05,0.019683529,[129.19921875],-205.09163,13812.319,115.06155,936.6414,7.15638,1200.3949,18.84269,378.87292,21.356222,391.64017,14.423097,223.70825,8.172177,219.43794,5.048417,180.10948,1.9178683,157.12224,9.136925,101.810104,4.3429203,73.19074,5.2250214,105.33937,5.6919665,125.00099,3.8493648,98.442024,-0.60187715,64.166794,0.3819444,53.333714,-4.1812973,57.430424,0.92794865,49.11506,-4.647244,42.93941,0.11262147,51.041023,reggae
9,0.36576495,0.105862506,0.18655631,0.009101211,1557.7940349096787,479431.62602916703,2092.0673186468957,375021.215833944,3245.4220420435854,3563861.1469386797,0.055021587171052634,0.0012805774038226864,-2.8218758e-06,0.018158635,-2.6843712e-05,0.018200152,[129.19921875],-180.09354,10254.487,107.79003,932.934,3.0781474,1058.9457,20.819254,410.7772,16.469927,322.5544,14.954295,190.54865,5.2686644,210.49962,6.9142165,164.34586,5.8639235,174.49875,8.045878,131.41292,3.8733265,92.53732,5.439624,108.7514,2.7177901,141.28905,6.444488,114.69502,0.51689434,80.23545,0.054798942,65.60804,-4.208337,89.12226,4.4426208,131.19652,-3.135844,86.66816,0.6363482,82.06504,reggae
