,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.49811512,0.08255408,0.28514066,0.0032062852,3138.6580407806896,372429.5263567666,2874.869160458005,76195.41445710727,6663.851371269108,1124439.2959504877,0.13720362991002322,0.003992507136146074,-1.4155396e-06,0.04572023,-5.7911613e-05,0.015938945,[83.35433468],12.823457,2290.5906,58.987328,334.3081,0.47586578,263.74423,22.534393,239.96072,3.9194162,136.44597,18.085941,94.472534,6.3013144,63.206165,8.732047,52.08026,3.6673357,68.59046,10.519086,54.710537,1.0519577,52.454903,6.5248117,47.963917,-2.9902186,52.02091,6.7281866,48.91031,1.9811294,41.981663,8.474415,64.02191,3.365129,54.27044,5.4682665,53.91431,-1.0174861,53.315186,1.7013376,56.17895,metal
1,0.48191047,0.080600955,0.2850048,0.0036840464,3148.6808832216534,284954.62152166275,2808.544285814096,69908.1947286445,6536.6521404254545,865170.8259263474,0.14898133646962075,0.0026632606936622706,1.81609e-06,0.03952834,-6.7730834e-06,0.018859783,[83.35433468],25.552166,942.10925,58.44191,281.8842,-5.253973,274.09244,18.75581,217.76834,-1.1467767,114.52873,20.280107,89.11924,6.2688456,88.385414,9.172781,67.04223,4.711382,67.848694,11.570716,59.049885,1.8635552,45.225605,5.357631,47.953316,-1.3697052,53.21969,6.380778,47.166065,2.190942,46.172337,5.1846147,44.534946,0.2823811,45.778347,4.092722,45.218807,0.3563725,54.87251,3.4771483,50.95734,metal
2,0.44604164,0.09260062,0.26264095,0.0028899424,3250.612014121127,530644.3759964311,2886.9253708932924,88678.39687759028,6843.216953336639,1187719.7023189205,0.14761361987229102,0.005105566991709081,1.1486957e-05,0.034692343,3.665479e-05,0.018773198,[83.35433468],1.2077671,1665.7504,54.519085,627.9626,-0.042637356,488.62878,12.336545,329.46234,-2.152214,214.65063,18.132181,169.31557,6.0867796,121.699875,9.427762,83.18709,1.0316001,102.73297,9.927158,91.92515,0.62903976,74.11376,4.319992,85.51128,-3.7555728,80.400856,6.270391,70.412415,2.6207526,54.250195,8.5292425,85.79284,5.214872,78.60332,7.0378985,70.3566,-1.1349361,69.73086,1.9990125,78.31451,metal
3,0.48988304,0.079017185,0.3109169,0.0029357658,3126.0361193745744,227296.5040804479,2771.9732948502983,47434.59647460489,6399.411303635352,633918.1615995833,0.15249945578560373,0.0022964781318277486,-6.327063e-07,0.045352135,-4.4258926e-05,0.021577187,[172.265625],38.841602,583.4612,58.863464,227.56717,-4.6567683,198.30157,23.837593,149.18977,-1.8550531,95.92545,20.876593,70.40763,5.2547135,74.25445,9.529193,63.161644,5.2985916,62.6901,10.365596,41.757927,2.0970845,41.117455,5.7763104,36.03924,-1.1122494,40.39542,7.1757965,44.230785,3.6152012,41.82306,6.500824,38.73823,0.5855623,36.420933,3.3086357,38.432495,-0.28465566,40.138756,2.544045,41.395794,metal
4,0.491544,0.07903934,0.25162494,0.0059814425,3109.8971024513994,539318.7630173417,2737.399564197842,116033.92435960601,6343.594974482392,1469368.8409126718,0.13826447005611456,0.004702206099767722,-1.739826e-05,0.03603911,-2.5604933e-05,0.015212449,[83.35433468],-9.644967,3110.4917,52.963074,640.3929,-12.835139,672.62354,12.794955,331.08798,-7.168206,234.24069,21.492556,188.07704,7.6568246,116.27658,9.401676,105.27663,4.622821,115.08613,11.581367,135.02138,4.569124,83.450806,7.7966027,62.306156,1.2433072,67.02411,8.629981,71.69052,1.8667616,53.40059,4.7907934,46.07482,-2.7806215,58.759983,4.938582,56.12253,1.8967278,72.52884,5.204045,70.67708,metal
5,0.48938838,0.08181901,0.28032863,0.007169248,3175.2156271252325,571335.5134690837,2683.6147986101655,153777.242103757,6296.96192313274,1518712.8219360404,0.16365660676277088,0.00683941140202883,-1.6326503e-05,0.03897572,-3.3005206e-05,0.019722804,[172.265625],15.030485,2747.5798,55.125725,730.4369,-15.292701,682.2913,16.85236,291.006,-5.7367516,222.3454,16.139095,223.89981,3.7287884,193.16096,7.3887286,110.47433,0.28749958,100.45083,7.3720565,78.61876,0.3537915,93.37833,5.546597,69.69649,-1.2057393,88.96925,5.499974,75.68804,0.35202622,71.05647,5.1612,60.499214,0.74153215,50.581123,3.7072432,52.068195,-2.4234068,53.475945,1.2891401,47.760384,metal
6,0.35083473,0.08896234,0.097741745,0.0029786224,1782.0499460087822,1548948.10386311,1842.6452889828406,687568.3158084628,3364.2879899441273,6083330.694849001,0.08829273897058823,0.005182179091645815,-1.2638546e-07,0.006727534,5.93288e-06,0.0025050929,[161.49902344],-208.4094,19462.447,133.02704,3829.4583,-16.024235,938.9346,7.3398075,343.88412,4.4735374,214.30563,6.7697945,217.74326,-2.109863,126.94871,2.2207236,110.00844,3.8632329,107.70153,0.814137,71.261055,-2.973022,87.82279,-4.338604,63.17084,-0.75376815,93.753456,-1.6730412,81.72723,-3.8680522,66.56721,-1.4894803,55.98053,-4.1605215,52.391266,-1.8136969,43.149033,-0.9301299,61.290478,-5.5082946,65.43693,metal
7,0.44204688,0.07068874,0.24837449,0.005484335,2779.673094295244,344743.12303247576,2686.8070383493755,104761.11724485249,5810.598197440983,1557993.341331195,0.13976748439918732,0.0024208764543593108,3.1978107e-06,0.03592446,7.632566e-06,0.01021765,[161.49902344],10.696342,1997.6296,75.16169,456.77142,-14.090841,260.89862,19.883823,162.60529,9.907553,129.19295,10.399316,120.19693,1.1153369,80.066864,1.2947195,99.961334,2.4358754,63.594917,0.44591907,99.34351,-1.3179809,33.72785,0.6914055,35.923714,-0.9101713,57.30602,-2.4876049,37.84805,-4.840825,33.64266,1.1951565,28.092669,-2.6954608,25.353386,-1.5003344,31.72693,-1.1378306,36.65749,3.2954252,43.372456,metal
8,0.43972573,0.080216035,0.22864798,0.007044243,2618.1636794615333,761622.6088627104,2669.834116879826,251154.75919896126,5675.065683654218,3306358.0659115654,0.1106693988244969,0.0036776581727471975,2.3831046e-09,0.030748958,-1.6503061e-05,0.009675584,[107.66601562],-35.220177,9109.789,82.3304,1047.9349,-0.7099524,437.87134,19.77062,253.79521,9.465162,134.36375,17.573925,107.08236,0.70158285,77.57355,5.0940337,69.47467,1.239172,93.13832,3.7029467,62.602283,-0.041471973,51.652374,1.662017,45.853535,-1.4078034,45.51082,-0.20724799,35.974827,-2.2992072,43.734478,-0.10167928,30.963959,-4.4931946,43.303562,-0.89993674,27.822226,-5.0013924,34.835857,-2.1136034,27.032442,metal
9,0.47840047,0.06902283,0.27027765,0.002560233,2715.7409897921857,325561.3468338669,2673.149339062444,71971.65939096025,5742.956939791748,1288121.2780860642,0.13305550684500775,0.002625574451672783,6.0207067e-06,0.04030388,-0.00033921323,0.01120763,[107.66601562],22.214243,1027.9531,76.51357,302.37808,-11.199997,97.274704,24.79116,94.03208,11.280476,68.0138,14.628731,43.89037,3.6215224,61.726658,5.1125846,36.851883,3.393608,56.86479,1.717377,43.914814,-1.1736348,28.57222,3.2494698,30.386263,0.46727934,37.433224,-0.6594204,28.333681,-3.6938207,26.263418,0.98089087,21.79002,-2.7177308,23.295158,-1.3345699,28.159359,-2.1869483,28.76405,2.3520908,27.811281,metal
10,0.44124755,0.069634855,0.26332763,0.0020122838,2626.1882540338065,278028.27036871004,2663.2891318592806,102295.01636275103,5733.473663802486,1564185.4083208046,0.11813496214686532,0.0014682872396856476,1.1072192e-05,0.039244264,-9.2283844e-05,0.009916624,[107.66601562],13.067138,956.0081,79.98887,296.11935,-9.162525,119.996735,21.617859,92.54899,9.990961,63.982018,15.180398,44.249043,3.424508,50.151897,9.276444,53.77785,0.6049993,42.643074,5.466961,42.85177,-1.8668962,47.71719,3.4800916,40.63358,-1.1902826,40.537582,0.2904417,27.547178,-4.24518,30.987616,-0.3243086,35.013832,-2.8784664,30.375784,1.8108345,36.22493,-0.59445244,39.439518,2.3305767,23.752712,metal
11,0.45747593,0.06948567,0.27323696,0.0017733173,2683.0272321945213,188883.73176321283,2665.0934464457755,58941.31145396314,5778.915055691274,1021013.7746014475,0.12242594149090558,0.0010428372631111481,-1.6341286e-05,0.044126824,5.8220452e-05,0.0094834985,[107.66601562],20.598698,733.6461,75.12994,226.58766,-10.135098,102.13345,26.68343,67.52369,12.806452,46.432495,11.703407,37.161892,0.65678734,39.726013,11.597488,35.836662,3.4337583,39.03779,7.4731393,42.843533,-0.84431124,32.468544,5.0462065,34.233093,-1.281438,27.966114,0.6046884,29.726753,-3.335227,33.95925,-0.49717444,30.29344,-3.9948504,26.4001,2.3874233,31.738592,-2.4427464,33.071507,1.8465469,27.46843,metal
12,0.4364471,0.08054082,0.22866207,0.004015649,2650.856321631987,647612.6122888249,2616.9509383091217,184188.45258478072,5585.199560395704,2594187.6953978688,0.11758016580398607,0.0035084536676123304,-7.868416e-06,0.030902563,-5.985148e-05,0.009393987,[161.49902344],-19.308605,1843.6901,76.93201,717.35767,-8.864816,404.30753,28.304382,146.17426,15.700292,84.241486,13.135225,104.6719,-2.8415587,86.66981,6.8923893,58.300762,-1.9254671,55.033432,1.9887482,46.286846,-1.2778,52.717854,1.950063,54.6544,-4.389328,52.61475,-2.1006794,38.488155,-2.876426,31.273691,-2.3528728,34.543697,-3.6407852,36.9904,-1.9748738,30.548096,-5.3224125,37.23045,-0.0580529,30.676702,metal
13,0.452053,0.06999615,0.2839588,0.0016942626,2787.7010486922004,176297.41384202585,2692.9356535056722,35520.645112061706,5906.522617399139,664410.0444352028,0.12798864405959753,0.0014939498539839528,9.023898e-06,0.048102777,-9.396232e-05,0.010281724,[161.49902344],28.254454,404.67566,70.20711,175.683,-10.07183,65.702484,29.263428,66.46132,12.210748,55.041336,14.704877,42.19727,1.7831334,42.9271,8.016971,34.451656,1.7985753,27.015867,5.924848,23.59981,-0.46228594,26.05969,5.4021516,27.505693,0.6635538,27.025934,1.6887043,26.04968,-1.0771987,26.451824,3.179401,27.37593,-1.2686132,25.765583,2.0518012,27.573088,-2.4270136,25.483547,1.206689,25.269613,metal
14,0.44768295,0.07415997,0.25477162,0.0055472823,2646.336056336144,296564.363186857,2706.90949971729,88412.72236730457,5760.440167406395,1582504.4623300636,0.11654464674438854,0.0018577785177389158,6.21178e-06,0.039959475,-9.972684e-05,0.009009102,[107.66601562],3.0501063,3133.5583,81.634514,420.63187,-6.399242,147.22829,18.192274,529.95996,11.479057,50.97741,14.636075,58.080265,3.0730944,65.363884,6.1384664,36.473457,-2.0316834,70.56845,5.56081,40.409473,0.15877354,28.869564,2.4879086,43.367558,0.9176794,29.760328,0.41447568,48.233135,-2.3944845,37.93055,2.9049077,24.114319,-3.9874527,44.6613,-0.6779613,26.466452,-3.9192348,20.858414,0.48378897,24.508917,metal
