,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.49451724,0.09971047,0.259026,0.027959684,1442.179192646097,1304517.8807741168,1911.5742011277214,998437.049755157,3159.172563582382,7243649.234453864,0.03048583228521672,0.0007433052658480554,-4.14338e-05,0.08059374,-8.309142e-05,0.0083029065,[151.99908088],-174.73364,10188.207,125.55074,2786.9556,25.4983,653.7444,3.4939973,305.1113,21.968641,263.85187,22.992907,115.474205,5.6484585,122.583664,9.435934,197.63809,-0.26938462,102.80269,9.164129,98.036606,6.2113323,84.86744,5.4552584,107.41813,1.3443673,95.34953,4.790332,92.90428,2.3519275,93.13804,7.869284,116.90613,2.5537128,55.718895,4.7362814,52.324944,4.4846272,42.859844,3.6827683,36.783905,pop
1,0.60787827,0.0699446,0.37017214,0.012345775,1858.6438795680504,1107931.2780154287,2431.8410406826956,420295.7901090916,4260.857568510546,6032575.05152294,0.031191043440402477,0.0022649700730368607,5.595492e-06,0.12773488,1.3811857e-06,0.012170545,[151.99908088],-106.39511,6067.197,100.79516,1730.2871,14.470561,665.7596,9.259534,304.25677,20.849197,381.74677,18.90453,141.71553,-0.57868934,120.973915,17.860348,175.65944,1.8092248,115.045135,11.621218,108.27345,7.4806147,105.58327,9.927545,77.09834,6.9594054,86.44495,9.557821,64.59539,6.7526736,62.924667,13.144077,45.731953,5.753499,39.097607,5.5812597,48.66354,5.5440636,42.55878,5.6050916,36.692326,pop
2,0.59760034,0.06884095,0.38360685,0.01020093,1765.059834952617,1132519.8137860438,2340.7130965875835,503108.1552677615,3919.6096319901317,6137501.111183159,0.02622470914763932,0.0008657397487647128,1.7178818e-05,0.1362306,5.5464672e-05,0.0114160525,[151.99908088],-109.63622,5109.4,105.35041,2050.666,8.613942,699.3334,13.425259,353.80344,25.758898,296.00098,15.779517,146.50691,-0.38016444,156.45712,13.33526,185.34093,3.2561522,125.36859,11.626165,106.31097,7.949949,131.84023,10.447196,81.90868,5.813548,111.550575,9.622432,70.43912,5.18541,65.50988,15.106473,59.229404,4.350236,51.391834,6.87604,49.990593,6.156792,54.257214,4.725875,36.479748,pop
3,0.5049669,0.093638934,0.25706086,0.026686884,1767.688211817338,800011.5604039329,2236.971010684923,550872.049754003,3872.4349172491775,5136086.424485545,0.04388106496710526,0.001151403338469763,4.2455904e-05,0.077890724,4.1221578e-05,0.008242107,[151.99908088],-131.44696,6231.454,114.657074,1911.3314,6.2209883,800.9517,9.163234,317.44046,19.593534,267.65433,12.619632,264.18707,-3.520195,114.43905,8.633801,221.15651,-0.7360608,97.71346,3.9965136,168.32758,2.9744816,102.67525,5.953997,118.743515,0.76332533,105.68941,5.7904305,102.13598,2.189672,98.426605,8.933616,97.96508,2.927051,65.664314,4.3842854,75.89435,3.9533374,67.85086,3.7949305,52.36033,pop
4,0.5888906,0.07029363,0.3836798,0.010317331,1665.940874254357,967090.7077340714,2260.1324254672027,548200.998615861,3788.418758616728,5878296.202820876,0.02391066418343653,0.000490084292646884,1.7307826e-05,0.13603035,-3.8949547e-05,0.01101614,[99.38401442],-111.51645,5441.2754,109.5767,2002.7787,11.221547,650.9008,12.7699375,317.13687,22.651466,284.23828,20.006598,142.6283,1.4870963,129.9487,15.61872,164.75241,5.212556,111.37274,8.227847,114.04634,6.5344925,90.54463,10.249793,77.81364,7.7406726,97.28978,10.085588,69.76582,7.765347,58.554287,13.233217,57.71506,5.2573524,40.56481,7.585661,44.960793,5.8181763,51.510334,5.685839,41.622913,pop
5,0.6351323,0.06066317,0.392767,0.0071501,1929.2417045984137,1149251.5506969076,2486.560398037809,455482.03854698996,4360.306967153638,6203328.008421603,0.024097737882159444,0.00033243093031698126,1.3120915e-05,0.13995333,1.3987891e-05,0.011700118,[151.99908088],-99.07529,4963.1465,95.43519,1870.761,12.756446,697.0499,15.764047,376.29953,26.572601,271.76254,19.901083,116.218,-1.5648676,121.964516,15.183906,149.26997,1.3393979,109.64976,12.247597,81.42227,7.4105506,88.21939,12.569652,71.65082,6.8121357,74.302,10.697792,60.584274,8.010858,45.008636,14.86439,41.245922,5.5861554,41.168114,7.623591,46.625507,5.441336,47.368942,4.652979,33.44892,pop
6,0.3818621,0.08842252,0.13258569,0.006401025,1805.0244225419015,549882.6123267901,2005.6615963289219,335840.3146182481,3680.927741933533,3280990.7840863466,0.07665221979005418,0.0014466210892821853,-7.6851514e-08,0.018251661,4.418653e-05,0.001961385,[103.359375],-132.52954,6291.9707,124.47648,1472.2338,-16.59498,491.57837,15.19769,273.87762,-4.574155,114.73318,-10.299279,340.65494,0.08898274,152.04965,-10.822704,164.5781,-21.141024,214.42891,-5.4447684,174.63484,-4.682137,111.03871,-5.606489,97.53725,-5.1863203,122.852615,0.272107,115.42446,-8.013767,132.03705,-2.746689,123.44005,-6.084628,74.02253,-3.644006,100.528,-4.972684,74.264305,-1.6921744,77.56297,pop
7,0.41057524,0.08754093,0.26982382,0.023018237,2209.8575517860486,802737.2557566452,2412.909575809773,363063.9068328246,4765.412850867115,4068918.8127798843,0.08143374794407894,0.0029991090768747577,-9.301633e-06,0.07562508,9.5403535e-05,0.010769911,[112.34714674],-76.61707,2763.8386,92.12273,1401.4677,-4.106297,1211.6719,20.362722,545.1921,2.0176969,424.0563,2.1816928,313.59348,-0.8306144,253.93735,0.35294497,365.8297,-13.303349,184.84924,0.37019956,183.4473,-2.7446127,123.096245,-1.1949592,135.79015,-4.8410845,110.15379,2.1596072,79.76554,-6.4932523,88.889694,-2.1959107,70.57684,-3.959264,66.878,-1.6781151,114.430725,-2.8940518,97.39959,1.7072043,117.2708,pop
8,0.4409191,0.08445212,0.2836765,0.024490384,1919.705112056464,673615.4464475092,2222.6193250494384,400213.0581287936,4100.883535851635,3836193.846744899,0.06517383114841331,0.0019184421563281271,-3.208092e-05,0.08089406,-2.8630388e-05,0.012596952,[112.34714674],-80.56897,4786.193,109.316216,1928.6174,-2.8158484,1103.2467,25.864914,398.06827,8.262722,398.93582,3.3284144,294.6399,6.5619226,163.00336,6.6763806,181.6839,-8.395504,103.01345,5.7321453,152.50865,1.1025093,101.075905,3.003478,75.635376,0.9218677,68.7331,6.485347,75.39561,-3.2751098,55.954517,0.44280806,48.404835,-2.6135182,35.7623,0.6805282,73.767876,-1.003665,52.49094,3.921123,67.99012,pop
9,0.36845833,0.08279507,0.20613696,0.0134666255,1960.300756638104,688960.6304449779,2217.2191717219494,468440.8963938512,4246.032658154751,4333653.251699893,0.07673800914280186,0.0012890552874317777,5.5685145e-05,0.043646038,6.769598e-05,0.005409067,[112.34714674],-92.50707,2865.424,114.92754,2171.772,-6.5665,1032.4106,19.517424,427.79636,2.3517883,251.4857,0.8722417,254.18059,5.7592525,246.76239,-2.6137464,172.40532,-11.150407,147.13191,4.6550503,185.90509,4.8899994,165.49907,3.8948405,105.2805,-3.991253,89.63851,5.88939,86.32391,-3.049571,75.36523,-0.6450153,63.867435,-0.77662337,61.583115,2.9485152,110.33102,0.88351244,92.142044,4.845615,78.28525,pop
10,0.49512082,0.08031551,0.37622806,0.011493069,2095.549114426614,588462.8852554699,2438.7740315874407,264445.74934960454,4607.11380807977,3316772.780722362,0.05566444042666409,0.001662840968541318,-5.799874e-05,0.11781882,-7.774311e-05,0.018676357,[89.10290948],-36.63095,3357.4219,94.91113,799.6256,-2.224039,900.3963,21.787853,459.3923,9.2285595,298.9895,10.415301,189.60922,7.06494,158.75908,13.503576,147.62743,-2.1189241,83.69282,10.106862,128.67499,3.278615,93.74858,5.8544636,80.03517,1.3244513,48.285587,8.337439,48.113174,-0.08015506,49.15841,-0.019279433,40.66168,-2.757352,39.935436,1.3064816,65.50035,0.3925078,48.519283,6.3168206,53.446457,pop
11,0.22205396,0.08371994,0.17270163,0.0040352726,1564.9192353020878,139807.70200537346,2053.7947958937893,118347.1224537227,2982.040301343605,1411918.92035117,0.06556460731907894,0.0002547167320486115,4.43057e-06,0.029227478,-1.5451202e-05,0.0011766041,[117.45383523],-144.45096,1611.765,126.47034,532.588,3.27995,342.19717,-0.26698837,225.97206,-23.37361,245.69171,-12.196896,191.5374,-5.0117426,171.82118,-14.520696,101.09799,-15.34235,141.98534,-3.1530054,157.17184,-5.246615,97.38618,-14.293462,189.66457,-6.910241,108.601685,1.4106543,93.2141,-10.580014,244.5691,7.663036,133.00708,-10.395585,142.22113,-5.8058753,96.112114,-11.997474,124.23158,1.6229335,92.12206,pop
12,0.43496305,0.08375839,0.40385282,0.0056108404,2211.453434967335,392371.5873754423,2524.7730623306566,154819.1465671507,4873.887194937597,2502741.7299348083,0.0647936369243421,0.0012041490275521455,3.5717446e-06,0.12905988,-1.6957662e-05,0.01991971,[89.10290948],-2.2693362,1558.5668,93.440994,539.6016,-2.6942062,435.80557,16.17803,222.49207,5.987732,141.55249,7.411507,95.233894,4.80855,119.82856,12.065569,110.54557,-2.0562868,81.11919,11.472136,84.32209,3.5562963,65.65524,7.189394,55.872498,4.5523148,53.928253,8.515367,36.82732,-2.1122797,49.26667,-0.22719014,41.812138,-1.6789625,30.285301,2.9338248,46.121723,-1.6480271,65.893074,4.471022,56.687656,pop
13,0.32435966,0.091975145,0.122148484,0.022143446,1191.1962514918655,382868.29264348914,1331.942870473149,424236.42232155544,2088.5207043343653,2596847.46156462,0.05859904097329721,0.0004917626499570955,1.9913457e-06,0.026591955,-6.1265375e-05,0.005067464,[112.34714674],-242.55183,19364.066,130.06123,1662.1465,0.2624561,789.3662,-16.656906,633.976,-14.891589,239.16893,-17.566694,271.07645,-16.354717,198.276,-11.014411,207.92267,-8.585768,75.81604,-3.779061,153.97787,-7.4664936,130.07188,-6.756708,127.85802,-7.2136025,104.35487,-7.097539,116.354126,-11.418247,81.54966,-9.765613,117.703255,-7.9223876,73.124855,-5.7535677,109.22687,-1.7697926,71.12862,3.3120103,101.0157,pop
14,0.42385444,0.09753955,0.2766698,0.038010307,1663.943549761225,1021550.5761216346,2045.8688409126694,527095.3829028293,3427.579273897059,5263530.083559365,0.05973093133223684,0.003845539476363729,-0.00010923838,0.08431802,9.218333e-06,0.014256193,[161.49902344],-152.3998,9688.297,106.09554,1619.1677,23.155817,965.96594,17.13999,667.3735,-10.645693,659.2051,-3.7311225,421.1217,-0.60650957,322.2327,10.205712,359.57315,-4.2395597,193.09041,-9.673891,328.15012,-8.33508,295.68698,3.6913993,205.45093,2.0378516,149.7192,-7.7942705,218.75706,9.634347,105.09671,0.96116,120.6172,-7.878652,134.18051,-1.1717815,142.31258,-3.1007872,95.01686,3.5572665,90.95742,pop
15,0.53235346,0.07433513,0.38525495,0.029351415,1855.0022006422762,1164777.2151597107,2332.981560321406,432112.5823686317,4156.099868632691,5525535.50069185,0.04924913530379257,0.003354326393726105,-2.3892357e-05,0.12893482,0.00020084679,0.022815512,[161.49902344],-94.34823,4587.9907,96.37194,1842.548,28.17915,766.04803,39.70455,415.6332,9.801532,445.74265,5.2265186,333.51022,-2.1560614,300.97766,9.5296135,207.6324,-5.6538005,175.33556,1.9387927,146.02148,3.6479516,131.15317,13.229492,121.64805,6.8050184,141.0066,-5.9626036,143.08116,8.2680645,121.180824,3.8515263,114.44973,-6.6059275,99.7883,4.9551907,96.15285,-1.0912715,78.15505,5.0381055,56.968086,pop
16,0.416535,0.098493375,0.2765535,0.041638825,1606.1493979630675,1118576.5839637825,1956.535767572914,686659.4862398935,3300.0800448674536,6093348.121825613,0.058892312064628485,0.0031907608174067898,7.673406e-06,0.087457724,4.9990762e-05,0.014750288,[161.49902344],-159.71411,12109.923,109.232925,1818.8137,28.984892,928.8034,13.367993,419.27594,-8.129065,455.05698,-0.19060731,550.1902,-1.1991224,222.7015,9.920639,261.85214,-1.1906974,184.33568,-8.177106,250.05432,-8.6506,238.72792,4.1641707,226.11938,0.844681,169.27034,-5.8355904,142.7015,10.582948,153.89055,2.3707514,143.94797,-4.8620796,98.822105,-0.7724786,87.121635,-0.7010275,69.41361,2.7847636,81.998085,pop
17,0.5255287,0.07929887,0.37395936,0.030519677,1851.3827086044894,1333380.1737336093,2310.6445579880633,547967.0697657358,4058.8921231012964,6503915.903460633,0.051090771937887,0.003770663980939314,-5.2087104e-05,0.1228979,3.3044835e-05,0.022392279,[161.49902344],-103.66237,5859.3496,101.47906,2115.233,34.815384,881.3512,27.740168,520.9078,1.771932,417.10477,10.280446,293.6772,-1.0770949,261.28958,9.154496,234.52005,-2.504258,162.29886,-1.9882467,187.93883,1.2467897,159.69324,13.267914,135.29309,6.854149,141.7864,-6.188974,162.4484,11.136512,128.17804,1.6346205,116.11179,-5.3811407,99.5417,1.7704147,83.97522,1.538044,67.188324,5.684707,55.114296,pop
18,0.43194783,0.09957794,0.28009906,0.042242013,1581.113037269347,1117747.1296962034,1928.4620219532821,808393.7158868097,3300.33837663869,6445933.222397766,0.055097172503869966,0.002697077792851897,-1.658545e-05,0.09001796,3.0027093e-05,0.014838084,[161.49902344],-167.12679,15580.465,105.39962,1640.1653,32.100647,867.8566,12.557481,460.46182,-5.504367,571.5774,-0.5082796,554.8383,-1.8549644,193.8097,10.808133,222.9912,0.11042318,206.02878,-8.819488,291.6708,-9.9342575,240.09755,4.312818,294.28503,0.32656115,139.40802,-1.0626757,106.08275,10.303612,148.69547,1.8144395,106.744415,-3.848789,70.3324,0.90045655,124.62318,-0.0007906226,86.510826,2.664799,74.56234,pop
19,0.3241483,0.097329065,0.1374487,0.006860554,1572.4102507667776,1735298.9405288077,1833.1560089909422,770137.4804016313,3004.456832460575,6377933.023664939,0.06421956632159442,0.007208806145890366,-4.8863876e-07,0.0117641,4.1301068e-05,0.0074537215,[112.34714674],-214.30101,20569.207,116.355576,2569.0835,24.584734,912.7233,29.307632,423.61093,14.095809,203.68298,1.7472018,230.35078,1.5571432,142.66359,-2.4789433,125.41076,-3.453632,65.9822,-5.9492416,97.5282,-4.4993153,68.64619,0.019798538,84.374794,-10.986712,63.626656,-2.6300843,41.811546,-1.3046097,51.546078,-2.4699998,41.2768,-4.152269,44.178143,-4.626727,35.886395,-11.434415,40.21962,-9.636583,74.20026,pop
20,0.41680467,0.08289616,0.35107076,0.010486067,2942.467353515752,848552.1100028765,2839.9639912154244,106034.01555386504,6230.2123267584175,2276813.9561406355,0.13026073916408668,0.005894670915712873,-5.086072e-07,0.061348733,-0.00027809694,0.027912518,[112.34714674],15.094908,2938.5266,68.62274,830.4697,14.856469,342.65842,30.836983,273.5179,9.358685,112.550095,10.221944,127.122665,-1.5260543,102.13886,4.626307,93.8237,1.1658108,82.155624,0.24146041,76.67367,1.4410254,70.42005,2.342935,48.474003,-5.751513,69.69318,2.9163547,41.940975,-5.6515684,51.659683,-1.330155,51.487953,-6.6188345,34.683327,-0.091281004,54.001324,-4.1635575,47.515366,0.271155,60.183556,pop
21,0.42827985,0.08819673,0.3182484,0.013452752,2559.9514392364545,1186144.441997825,2723.240376749813,193290.88431523318,5459.700319272446,4269472.0154619925,0.10151488124032508,0.006060037766461457,-1.9346337e-05,0.04678187,-7.826175e-05,0.032043878,[112.34714674],-32.043888,6047.2305,79.52664,1230.2483,23.495977,414.83435,37.793423,319.9568,12.309094,170.46336,7.5532317,190.58606,-1.2573981,118.915245,2.4741843,87.532265,2.4406784,92.365685,-0.699787,106.85764,-0.08961354,66.44331,4.0735974,66.62181,-5.696923,71.35743,2.7082348,43.585175,-4.2431626,46.642876,-2.9608307,44.841236,-4.579886,36.580296,-0.43945742,35.62956,-6.201049,40.34386,-0.48305812,42.460773,pop
22,0.429709,0.08339544,0.36112678,0.0089190025,2735.1652452130656,676048.2139820498,2778.27850861329,126146.41085867418,5968.588908759433,2043153.4396838644,0.11111346265479877,0.004408438192990113,1.7013665e-05,0.06634114,1.2131634e-05,0.027480446,[112.34714674],17.520985,1428.3894,75.89458,678.68536,11.50024,237.34283,30.556625,162.11357,6.6242766,80.73871,12.026872,68.24136,2.2625601,76.92253,7.885391,62.953846,0.8851133,54.67353,3.0617056,63.43992,2.2000384,50.821167,1.6949068,40.890186,-4.2995048,35.758198,1.562157,37.11915,-5.0509186,42.922703,-1.0675213,39.55101,-6.824344,32.565414,0.6306516,48.281017,-2.0866039,42.502277,2.4482946,50.94656,pop
23,0.35338008,0.100426815,0.30632934,0.013837524,2908.1616467917524,942957.2762146782,2870.216237622507,90087.34171776347,6315.286812324642,2017244.8213498865,0.11149025553889319,0.006728591666761487,1.7457607e-05,0.057161156,-8.9516194e-05,0.022829482,[161.49902344],-32.81868,2590.015,62.727867,1097.4004,19.079697,332.54498,26.546022,284.6004,6.4058867,135.02557,12.117589,211.69954,-3.884492,141.40942,2.885489,117.18494,2.6718965,85.865654,1.750794,118.73307,2.4112525,67.38291,2.6765935,48.392918,-4.4300013,61.76763,3.849439,57.33669,-4.0964875,54.04713,-2.7920215,67.960106,-5.322799,35.876335,-1.9558728,55.877697,-7.3384876,63.52715,-3.5868475,88.72266,pop
24,0.43660522,0.08079523,0.34323925,0.008641739,2547.178775177147,642572.7222471951,2658.476543091359,139500.5395769218,5507.616696195337,2286371.293889792,0.1076036577254257,0.0033883033389311783,1.540593e-05,0.05707333,-0.000116924166,0.02482609,[112.34714674],9.942775,3309.953,81.756165,731.2191,8.427151,231.55151,31.597317,162.5571,5.5287695,70.25428,14.488671,93.77261,1.0001986,73.80902,7.793609,51.06351,2.7693472,55.536488,2.9460623,65.20693,2.762128,45.302013,0.9284234,35.32947,-4.390226,41.944557,1.5551431,35.270782,-6.200371,33.53915,-2.978471,34.6865,-7.7180963,28.976938,-0.3141688,58.073288,-2.8193252,34.735424,0.9180244,49.367764,pop
