,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.2782237,0.08818856,0.14794442,0.00398395,1965.2352823328454,806135.1911683263,2194.702451228101,280508.90632261185,4178.041402621904,3058997.3096561353,0.08360153528928019,0.0042940663759088345,1.1539945e-05,0.018339802,3.9583254e-05,0.002803483,[143.5546875],-126.56567,4814.788,102.87198,1299.8762,-7.8488817,460.44,25.622643,229.93523,-2.1529567,85.58569,0.8950972,119.00758,-6.341183,107.25779,3.9432287,84.62095,-13.066554,123.80493,-1.0078903,110.93919,-5.491019,65.23379,-3.610721,55.768364,-11.518648,77.55109,-5.236168,57.323166,-5.1824727,66.81094,-1.0549036,88.91226,-9.0987,68.2722,-2.4961329,71.72026,-8.192649,70.78537,-7.9605837,75.73471,country
1,0.31112888,0.083192065,0.24388014,0.0043343026,2300.683254500048,873576.1288730282,2457.3695671928213,135340.45699322913,4818.2375314434985,2766724.1232276554,0.10311691236938854,0.0050768910409388895,1.916328e-06,0.041523,-0.0001435757,0.008668061,[143.5546875],-47.724483,2963.3735,92.47535,1038.606,7.897766,404.65906,27.045273,230.22519,1.3761846,128.22282,-0.7782971,144.67505,-10.436487,137.70946,6.6307,91.28399,-14.3015175,112.612976,3.8592556,97.498085,-3.0390058,80.654045,-4.4717007,67.93674,-5.9212055,67.42121,-1.9804446,69.04444,-5.545707,51.64111,-2.892553,60.492836,-6.7167864,43.725605,-2.9882188,46.032295,-5.470145,54.981472,-4.195429,71.90746,country
2,0.31784675,0.086938195,0.23710613,0.0044974904,2183.0022511813095,987924.1769178841,2425.337411630142,174463.73249015762,4627.7970163445725,3018995.9669645578,0.09070542279411764,0.005417496514133669,6.2826693e-06,0.03952994,4.4864482e-05,0.008205524,[69.83741554],-68.1249,4423.143,95.484795,1119.1854,11.590186,555.34,28.046719,272.7322,3.5111322,134.42726,1.8638719,157.02774,-9.267354,196.11559,7.868332,109.06705,-9.150188,111.2804,2.6237001,105.2903,-1.5239197,108.36605,-3.6614594,83.15426,-6.675582,74.2969,-0.5377116,60.87963,-6.241796,83.41751,-2.720784,66.5921,-4.803003,65.08642,-0.22097509,73.18047,-5.762497,64.48413,-3.8824406,58.50503,country
3,0.35149056,0.07943681,0.28012156,0.0027483876,2217.634297763118,607250.5114572757,2448.65081721141,113652.18690645102,4702.013234235923,2098418.8829833614,0.09749298568111456,0.0030410503001736355,-1.0755403e-05,0.049356762,6.361937e-05,0.01193637,[143.5546875],-18.376675,1204.0093,98.19533,761.39087,7.4589186,366.32593,27.779068,202.37419,1.0620792,115.49975,-0.36460233,109.004715,-7.381096,107.52402,7.9566298,64.35327,-9.940432,98.373695,3.6278918,87.43744,0.50167423,71.82234,-3.6133788,63.564796,-6.8544817,65.033806,-1.1011668,61.23106,-4.493765,49.317627,-1.9451478,45.668373,-5.5117927,38.927452,-0.67835414,44.484833,-3.519415,49.078594,-1.980561,48.64016,country
4,0.30982932,0.085357,0.2509954,0.0031635636,1938.6561608570369,619376.3788628718,2240.1161522475695,200152.2411285762,4016.5757123161766,2364354.871052674,0.08480674342105263,0.0029449926363600176,-1.1615926e-06,0.04792586,3.4673038e-05,0.0062051867,[135.99917763],-57.633186,2623.443,107.8639,1055.3622,-0.34797958,510.81738,19.583965,213.40915,-1.5074437,90.0577,0.8851375,115.332214,-7.8512735,130.11272,6.358134,69.65125,-6.5370293,185.52423,4.0331483,78.80436,-2.5458915,79.17153,-1.9710112,106.12667,-7.8026986,67.88814,-1.7570362,58.48175,-6.413816,75.55244,-3.2149994,62.52655,-7.7299337,47.79452,-0.46422046,60.870083,-2.9230251,92.40695,-4.615075,73.39784,country
5,0.33687395,0.08510233,0.2569451,0.0052639046,2044.309159833548,681135.3899138819,2384.148521126683,201606.68275062324,4460.256362773316,2671635.5729282643,0.08109059053308823,0.0031849887745125523,2.2991342e-05,0.045832235,4.787515e-06,0.009230717,[135.99917763],-56.295544,4695.7607,101.64002,1013.38586,9.559031,458.18198,29.009947,266.49365,4.8078427,104.98903,3.2801993,100.069725,-8.318823,178.94324,6.053293,81.259026,-8.981353,99.56522,-0.062120657,83.42268,-1.110288,80.5584,-4.6306496,88.76508,-5.8828735,69.66024,-0.1498171,46.285652,-3.8985384,63.039505,-1.1531967,68.55933,-3.799609,57.118397,0.051539227,74.021355,-4.6583815,71.432915,-3.1052399,66.67591,country
6,0.27542663,0.08874626,0.1331858,0.0029769314,2653.70845027355,1372670.5937948984,2546.064973167858,343981.54257924703,5457.233667521285,4975898.656550103,0.1346435546875,0.009688353437019206,-1.8280351e-06,0.014070048,-4.6474165e-06,0.0031198743,[103.359375],-116.78328,4225.0884,79.691864,1584.9403,-8.618617,656.3154,10.476587,344.38458,5.591156,124.28563,-9.131907,107.22689,-9.846809,104.07734,2.4149253,68.50511,-14.126539,121.39372,-1.2726,95.047226,-11.114548,68.679,-4.9447317,92.524956,-17.285044,77.32336,-6.39868,42.5942,-7.467175,49.198593,-3.914808,41.11307,-12.495432,51.939182,-11.917231,54.496414,-13.736268,56.431297,-4.2142596,68.061066,country
7,0.334775,0.081613004,0.2757257,0.0057255696,2604.5238600486978,808195.7957478935,2683.3762440236987,226004.401133073,5678.865660676277,3737015.2809786294,0.12074114442240712,0.0030656704679185064,-5.91047e-06,0.0526315,-3.0366602e-05,0.01218893,[151.99908088],-14.445088,2962.785,89.906265,851.93665,5.79333,415.28784,14.670714,210.71945,6.2863097,133.53346,-3.3687053,128.04836,-5.3964105,116.14441,11.299608,98.018875,-10.949136,108.052315,7.230098,144.3046,-3.8664067,85.51196,4.5839195,80.76201,-7.681042,66.75012,-1.9123565,72.288734,-5.3021464,48.09779,1.6549357,56.19869,-6.9035525,52.165848,-2.1942494,49.51742,-2.9678285,54.200027,5.4824877,68.74452,country
8,0.32587057,0.08626219,0.23416133,0.003970689,2572.503134119996,860001.6840211105,2693.136262212597,220473.92737231313,5689.457263296972,3744782.7666932764,0.11379636404315016,0.003554210407869959,-3.2950659e-06,0.036566135,7.296758e-06,0.009328128,[151.99908088],-36.68279,2260.908,87.38097,930.44366,7.696578,367.04807,18.467129,211.86156,9.251108,177.15344,3.7641926,121.03086,-1.500167,103.75544,9.885798,94.185005,-6.872687,77.4728,8.019681,123.391685,-5.0168138,60.26355,4.4501796,58.856026,-5.548623,52.040985,0.61448747,46.890503,-4.5931053,54.768925,-2.1614804,43.514275,-8.249388,65.406624,-2.3248503,62.7243,-5.2283864,41.548027,5.032964,72.690956,country
9,0.3364824,0.081309445,0.3143815,0.002306677,2481.634867112198,575120.7640237252,2532.3279720189034,213188.90416320134,5257.576541487278,3170025.819334214,0.12393651436726007,0.0023570989041371898,-2.588869e-06,0.06731789,6.5815543e-06,0.012905394,[151.99908088],12.516968,735.5487,94.058945,620.7856,-4.768479,349.69577,18.294508,200.66249,5.173457,88.50133,-1.4199829,73.84132,-3.4868324,64.62823,13.716454,74.727135,-8.344944,65.19939,8.147773,65.73896,-1.883605,62.082756,9.635446,47.90875,-3.835391,54.620564,2.0431986,40.771214,-4.230884,40.370567,-0.1678344,39.889374,-6.4399986,68.22532,1.1775274,56.147,-1.4950558,55.906082,5.2393985,62.733215,country
