,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.37237424,0.08854888,0.17315353,0.0030529443,2290.8950242540695,734706.4888265284,2454.4161426991313,216448.81611552718,4809.095920054905,2822996.8551091314,0.10221291178889319,0.004240624777932206,-8.7285275e-07,0.018344052,0.0001498086,0.0060917092,[92.28515625],-78.834175,7401.7686,89.143684,937.1058,-1.2511812,469.51794,36.016865,286.46124,11.799142,176.77032,9.295441,111.13459,3.8454783,107.7947,6.1610217,61.391304,-0.120198466,67.26923,5.117766,86.29594,-5.942854,46.274757,1.2834902,61.18788,-2.3353117,50.89134,4.855962,66.5702,0.5310029,36.370605,1.2554779,35.888985,-3.6279175,54.13944,0.24013762,45.75048,-4.364719,39.507843,0.17697026,39.833412,country
1,0.3694182,0.08326022,0.19244133,0.0019926343,2680.4859579168824,955288.2127966464,2650.8191934753727,175808.83145606963,5532.1582144628,2935446.084619251,0.13682910458591332,0.006264998817995965,-6.0402285e-06,0.019401263,5.2554264e-05,0.00888601,[92.28515625],-32.744495,1600.4832,83.72597,731.1413,1.0066743,439.3487,25.441534,172.64435,12.85762,157.5787,3.3659408,113.11516,1.0302372,73.91404,7.3632464,65.652596,-0.60013807,58.918495,3.3867993,60.019398,-8.363961,47.50706,1.4351326,42.204967,-3.0837877,43.384815,3.693905,38.633465,-0.22813359,45.358006,5.165779,49.58118,-0.36611658,60.187656,2.2488718,51.534683,-3.2344,38.381653,0.3476067,43.78896,country
2,0.3681751,0.08313506,0.19553985,0.0020000255,2627.0404422072015,837363.3230679788,2628.446498383429,160815.41335920218,5447.675391985536,2683952.7683420223,0.12928039739744582,0.005367336887447593,-1.8214236e-06,0.020181162,1.9155352e-05,0.008790004,[92.28515625],-29.964378,1372.2576,85.349915,688.7168,0.12961486,333.48325,26.447798,170.32054,11.659945,147.9143,3.0252838,94.70699,-0.46735957,66.3373,6.109313,58.0264,-1.1579279,55.46569,3.4795773,59.98258,-7.2915053,48.02416,1.633136,44.998768,-4.0210147,47.78208,3.7433496,43.243156,-1.1103715,35.268517,3.548345,46.296974,-0.79076064,59.319065,3.129463,61.760933,-3.017892,54.29635,0.5666875,37.553387,country
3,0.3597613,0.08385857,0.22191353,0.0017654833,2533.5494518854434,590203.8513581284,2578.777299534176,156341.92088169482,5292.751328790151,2296652.6517717093,0.12442592939725232,0.003268810085628989,-2.4784474e-06,0.027237978,-8.914458e-05,0.009620645,[92.28515625],-12.712865,670.6162,89.52869,478.42657,-3.9885707,322.62964,20.09614,146.74422,5.277836,112.878395,3.2125418,99.04562,0.6288108,70.419846,6.98917,54.290043,-3.2299683,56.89413,6.069704,80.571495,-6.646634,40.816116,-1.5506212,48.633083,-6.5610948,56.837013,2.0517738,41.58252,-1.3577043,53.751427,2.4443445,56.417233,-0.99202156,54.04373,2.665609,43.934418,-2.6090994,39.716137,3.2625072,57.878338,country
4,0.36900905,0.08329616,0.20789191,0.0019729622,2766.348911238095,452251.4348285359,2696.2722742833103,108335.37884966892,5867.514519942434,1784005.5004937195,0.1409545520510836,0.002925253037604064,-6.73814e-06,0.022838287,-1.6150623e-05,0.009629495,[92.28515625],-12.294974,758.8457,77.33669,369.9225,-5.185335,222.7426,21.062243,164.6809,11.047915,107.62463,5.8459373,87.66852,-1.5278168,72.146706,8.278191,57.429337,-2.2167134,56.801605,2.6393187,47.371323,-6.657887,49.032623,1.2080109,51.885944,-2.1898556,44.152523,4.6407695,53.126137,1.1228051,58.91948,6.5065365,60.97562,-0.30555812,52.73454,1.2128015,48.493443,-3.077261,40.86135,1.1442261,57.107853,country
5,0.37029386,0.080820136,0.19495763,0.002282556,2864.426204423876,581793.9556285627,2759.062356459258,125831.73239132753,6019.796932444853,2032756.187995206,0.1512451171875,0.0041083891417588985,-6.148697e-06,0.019148385,-6.934187e-05,0.009350397,[92.28515625],-16.328222,835.412,76.539246,331.93793,-4.103624,279.053,18.00861,166.33371,13.615815,114.85688,3.4412446,95.35665,-1.1672658,60.594597,6.5127263,53.54592,-1.8063575,57.864685,1.7093292,51.670074,-6.7654443,50.22121,1.5317935,58.163414,-3.0368483,50.395947,3.1523952,47.019314,0.8895335,60.61142,6.049105,59.28904,0.3293003,51.101646,2.7814717,47.364502,-3.3538973,43.29806,1.7277169,45.887775,country
6,0.338197,0.08647213,0.059645917,0.0006071038,1289.2789586386766,461078.45303953526,1943.967070096242,324696.72717715387,2798.7080765951528,2855637.613137319,0.03650355855746904,0.0012395825065962842,1.064068e-05,0.0034407733,-9.970565e-06,0.00025259613,[71.77734375],-281.88727,5727.7686,121.13988,1063.7255,14.65217,395.02658,37.777336,263.06198,9.042338,201.74496,12.374058,116.68288,12.668754,133.4654,8.845676,120.28202,-2.539655,83.80534,8.039733,139.68394,2.5235765,54.983517,6.1028633,92.50047,5.8240247,68.59569,-0.93887866,70.26497,-2.613892,56.14447,3.0552876,114.10216,-3.762749,84.60744,3.7071598,111.49409,-4.0964465,79.29609,-0.40187144,43.837273,country
7,0.32757157,0.08713693,0.071507394,0.0004184567,1316.4676991125284,403884.59084128,2010.5337866216341,269190.3086913719,2771.024910658137,2461309.0031651617,0.03830513496517028,0.0008978957414780186,-7.0323495e-07,0.0045440076,1.2068918e-05,0.00027913877,[71.77734375],-251.42989,3707.1394,126.430954,836.9818,18.580761,322.28354,34.97616,322.20926,8.944135,307.12628,9.703639,118.16729,13.986669,106.369705,8.809783,130.54037,-4.153248,98.291664,8.8646555,141.16742,4.4116406,84.1946,3.4323874,123.41452,4.0853963,70.61372,-2.4586585,66.602806,-2.2070134,47.962994,3.3461313,60.581814,-3.3559396,73.3837,3.5134406,65.5097,-2.339787,47.1987,0.07842746,66.27467,country
8,0.3240218,0.09025366,0.076859675,0.0004969971,1512.1250656778238,471767.33796893666,2141.051663862895,272060.6026837413,3322.9799063951236,2796010.524600416,0.04359648618904799,0.0008333850593812514,-9.632052e-06,0.005196926,1.4063777e-06,0.00034463804,[69.83741554],-229.00073,2991.3586,118.60065,964.5792,14.260951,348.9723,35.85379,267.396,16.286438,275.7749,13.872267,172.81189,11.621549,99.05171,7.44615,110.69672,-4.4158893,102.958954,8.361845,122.17857,4.029195,91.35303,1.8160813,78.82341,0.34090167,54.93623,-2.400076,60.57542,-1.5475245,66.646416,6.6304936,72.1985,-5.6812353,64.54982,6.23372,65.71538,0.4660223,54.994377,-2.7386699,64.61493,country
9,0.33686757,0.08934137,0.092814334,0.0012100964,1771.9672064327694,705572.156869784,2220.7352385524705,271377.62647955865,3863.3516388411863,3544466.227607347,0.06575205894446594,0.0022679736804554927,-3.9116107e-06,0.0079039745,2.353218e-05,0.0007065752,[69.83741554],-189.09166,5830.3467,109.249176,1100.4818,11.761902,292.90726,28.212963,492.42105,3.322017,389.98315,12.079207,135.98566,6.700194,119.92363,8.183137,107.47695,-1.5384653,93.332405,9.48361,133.7671,2.255359,80.91907,0.20794484,115.052574,-1.1993784,91.1291,-1.2086766,61.07633,-1.294595,40.33437,2.4465566,75.6953,-4.495305,67.24343,6.1622987,89.77671,-6.3116484,81.97778,4.0064483,64.08234,country
10,0.34199786,0.08556204,0.08006932,0.000890778,1625.7196983287288,620671.4159092586,2134.2085514370083,282215.726724117,3567.028430667086,3478365.3765292587,0.05571621637964396,0.001753037791514529,-3.2979833e-07,0.005723888,-6.401732e-06,0.000569711,[69.83741554],-219.77339,6690.972,111.32503,1123.2223,14.55281,239.45618,39.336716,308.18393,5.9442534,208.47052,16.054186,175.89331,6.560546,132.86525,10.149092,71.68294,-0.4282456,61.30818,7.139612,175.46222,3.9408894,84.41429,4.7422695,75.51137,-1.4728271,70.84794,-0.76895314,62.710114,-0.62797135,72.53687,3.114101,81.758354,-3.9645572,63.363148,5.213584,90.20655,-3.594341,55.74388,2.8044107,71.01237,country
11,0.38047352,0.083440036,0.06826184,0.00034537795,1117.9642092428426,201256.82461653868,1516.001476017826,202415.9427985452,2197.8533765479874,1072441.0612631447,0.052569598974458204,0.0008503104265395084,-2.7473397e-06,0.0041299355,-1.6108093e-05,0.00025508288,[69.83741554],-260.1403,2951.953,151.00343,880.13934,-10.202172,638.23303,36.510582,191.74654,17.134012,181.67188,18.654848,91.966034,2.5561783,84.222824,5.266192,94.935394,0.9560138,83.151985,0.48293218,89.19262,4.4838815,128.33475,9.659887,106.4852,3.5134032,107.63015,2.65089,111.14742,1.6603204,107.1386,4.0440264,103.216644,-2.7523384,94.55931,1.774862,70.74524,-1.1985699,64.783134,0.43941647,88.92815,country
