,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.31730905,0.090981275,0.112642445,0.0038859106,2020.2617073084145,1310136.1231835275,1960.3254600882187,722187.2890756733,3940.7428375338623,5795038.156737837,0.10419891640866873,0.005699541900826798,4.1587314e-06,0.0077791912,3.7702022e-05,0.0057651354,[123.046875],-156.94615,8084.43,118.4752,2255.6702,-27.746729,913.9793,-0.46059585,714.46893,-1.502989,223.36359,-13.912104,381.64972,-8.369004,165.00401,-5.125026,161.8846,-14.539566,121.940575,2.0231144,96.8532,-8.143282,141.71735,-5.786408,78.788025,-9.214064,85.124725,-7.9553103,94.092636,-6.2198973,124.46269,-14.388382,95.931046,-8.708408,75.35677,-8.120308,76.11224,-4.486576,74.90332,6.816364,92.376076,disco
1,0.44082278,0.091023244,0.29276556,0.014296428,2726.675252426315,1339704.8033608275,2777.2532716243077,299456.8335122754,5917.647550128193,4365475.162478248,0.1066013962122678,0.007070754884686292,8.780517e-06,0.04513936,6.608675e-05,0.024366368,[123.046875],-39.2831,3956.918,75.096176,1233.3903,14.339789,639.92505,25.11655,259.93933,12.866033,141.69067,15.499914,113.93018,4.409532,76.24512,11.839685,74.0731,4.983382,55.46352,12.274686,86.55251,-0.75763065,50.802788,4.591713,49.257286,-2.54265,45.506554,-0.7401855,47.903713,-2.8278635,51.15943,-4.012034,81.42493,-4.150792,45.558002,-1.532564,44.977585,-6.1846976,58.238766,4.454626,76.3689,disco
2,0.41385275,0.09053891,0.27200654,0.010909517,2898.397607536845,793574.8083331105,2775.1727054285075,177910.42388965288,6160.771079993469,2705029.2395592867,0.13082762916021673,0.003989566320734439,3.2150135e-06,0.03535665,-4.066154e-05,0.023242244,[123.046875],-2.5431144,1719.3804,72.99723,863.3317,2.7012734,432.0153,19.22743,196.22743,2.967934,147.63315,8.993434,111.18853,-1.1677802,99.7188,5.819496,78.545715,-2.9136877,101.135895,6.0324388,71.81735,-5.230761,65.2626,-0.5524352,59.219704,-4.8912673,46.919518,-1.331079,60.513,-3.9538724,71.67265,-5.3517947,83.90752,-5.5268435,54.51043,-0.44778824,44.189713,-5.18092,61.460392,5.620099,60.0564,disco
3,0.41334108,0.09031823,0.28891554,0.012248261,2953.7739889129657,794290.5109008125,2774.610637188664,153878.4448875163,6221.704044873501,2496216.9393301904,0.135458742501935,0.005737542483917879,-1.7845662e-06,0.04070007,-6.7303554e-05,0.025431488,[123.046875],2.2018538,2473.4604,67.977715,695.9972,-2.3721666,493.4906,17.98233,275.62292,4.312661,180.22794,7.0605764,135.6615,-0.71159697,150.96883,5.363124,127.203316,-0.28460756,98.944435,8.283847,86.39753,-3.5417068,83.454384,0.26773685,68.08797,-5.3421645,57.103764,-1.6502117,62.057728,-3.6151845,48.95486,-5.470489,77.343254,-5.129666,48.39751,1.1248837,58.11038,-3.6075518,79.22174,7.5219407,69.29077,disco
4,0.40968826,0.09041631,0.28355265,0.01128301,2793.7578917576716,784211.4702624534,2748.5003794080408,198719.57913386208,6002.447037357295,3032043.730904105,0.12166933230940402,0.0034898249540012334,-5.184479e-06,0.038845997,-0.00010209356,0.025330808,[123.046875],-5.7257023,1877.2024,75.80298,890.6011,3.0211103,431.2692,20.17822,208.43704,5.363317,185.65506,9.223179,128.08757,-0.50663733,98.41494,6.7045836,97.16556,-1.8260634,92.91887,7.057023,78.94965,-4.4198055,63.830097,0.22232452,58.408722,-4.721713,52.114925,-1.0709382,69.46606,-3.1309397,72.88339,-6.1135187,70.61112,-5.853555,51.51329,-0.42125914,46.31467,-5.729014,75.53396,5.3273835,79.16777,disco
5,0.40571234,0.08869407,0.2514519,0.013367991,2739.7789228378133,658694.8727534992,2649.4445116772195,264063.02647866885,5830.289745035555,3144157.981618156,0.12795122931985295,0.0026716644338214577,-1.2683715e-06,0.03203855,6.193332e-05,0.020028638,[123.046875],-8.787727,3716.6997,81.463135,1276.331,-9.198981,447.15295,10.315191,321.3457,2.1533911,126.9233,4.3686466,136.95697,-2.7959976,151.17213,4.896971,93.824524,-4.0191813,110.84921,4.492105,121.09687,-3.7694724,86.54447,0.26589182,67.1934,-4.697454,40.716396,-2.7873063,48.004646,-6.4828973,43.412277,-4.9321237,61.30379,-6.59685,47.06338,-1.4013686,55.85437,-3.9357517,62.49168,4.6662574,71.16978,disco
6,0.38494992,0.08742143,0.23190936,0.00981658,2565.0152198458263,398170.59029961197,2438.2175245995977,223974.0314131398,5287.718025892512,2262263.6248866706,0.12594481666021673,0.0014032558277848502,-8.464231e-06,0.024974756,3.081053e-05,0.017958494,[123.046875],-8.258877,2220.1416,84.44691,698.2218,-27.278547,570.05457,6.0279303,235.27013,-9.755916,191.91893,1.74623,118.35473,-7.8906326,130.8969,-1.834111,78.09056,-10.97793,88.97366,0.88234717,69.99423,-6.3370123,67.50783,-2.9251592,50.778034,-7.2750874,42.84208,-3.0011365,41.513817,-8.622087,46.285507,-6.9878745,41.82714,-8.420239,40.97127,-1.4531056,44.689552,-3.4929256,51.245815,4.2994123,55.07855,disco
7,0.41433883,0.09414942,0.25689697,0.023307526,3003.0704512237153,1103907.1669491197,2710.065863978543,272828.96656159003,6168.496033281734,3686951.731990879,0.15507389222136223,0.013485525824874214,1.8204508e-05,0.039695058,-1.0936763e-05,0.020593828,[123.046875],-58.24751,31287.154,59.122284,759.31616,-8.021627,562.0027,10.176045,329.9642,2.3711035,113.951965,4.3918624,160.80138,1.1296659,90.04557,3.855652,85.616066,-2.067781,81.32412,7.8675313,72.775215,-2.0889277,100.08766,-0.27241614,74.05134,-5.401257,67.821,-2.8616986,82.25612,-5.394134,54.342533,-7.316107,149.56926,-5.8158336,72.36086,1.6055273,57.045677,1.1347601,70.41498,11.191538,134.76447,disco
8,0.40388972,0.088952176,0.20880528,0.024885686,1833.0317510146976,644739.0284074773,2121.9598618063164,289841.13338855474,3771.9271916723105,3052594.470701663,0.07146895559210527,0.002803615488795479,-0.0004301063,0.012275062,0.00045518653,0.044037282,[123.046875],-124.3936,7429.222,109.66839,1634.1498,3.1265655,727.7747,41.24584,608.05176,6.5374813,339.69818,-3.9342914,307.70966,1.1583426,237.8252,-4.6967144,157.69836,-7.8584414,122.143005,3.7945032,174.53273,-6.2620006,100.98224,4.1627336,135.36066,-5.690722,59.784725,-1.324345,69.94892,4.147295,89.94408,-3.2649243,73.20743,-2.1679182,69.4121,1.4654515,40.567986,-2.2994435,45.81379,-3.536776,39.75273,disco
9,0.40590408,0.08523684,0.2406611,0.0057553984,2079.639119667928,349739.32797031046,2255.891937535165,187307.18113773543,4434.5148517620455,1628020.1290966019,0.0865051458494582,0.0014151393567949375,-0.00023358811,0.037608266,0.00019177241,0.015382931,[123.046875],-46.46519,1620.8245,101.97623,822.52295,-12.310026,345.56744,41.365143,404.00696,7.422256,202.03023,4.954934,121.12391,8.338616,143.94907,1.117923,73.30768,-6.5126724,96.79843,10.462987,96.18308,-7.0926094,50.144806,8.106578,66.07388,-6.069169,71.197044,-3.2963371,44.045864,1.5100982,61.509964,-4.7254605,38.284534,-4.6379166,39.13098,0.061891727,28.598804,-3.7861593,27.560062,-7.8754096,29.334099,disco
