,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.36252815,0.09571149,0.18411203,0.019370493,2274.4037352549994,1182080.8542123165,2517.964906384116,602464.721026511,5107.960779526655,6186656.773581232,0.07966807456946594,0.0021917672044978642,-1.1474448e-05,0.027636547,-0.00012738003,0.013073624,[151.99908088],-143.01294,12163.288,86.77916,1081.9602,19.359219,855.69214,3.2405903,357.72562,-4.1575894,1476.8542,0.15803987,506.24133,-12.198707,180.3137,-7.13213,622.0904,-20.307611,173.04721,-9.578267,355.33563,-10.844561,313.78842,-2.506816,440.6794,-2.0984087,221.72693,5.4619384,99.794975,9.938728,102.6551,14.299144,72.35869,5.397636,168.4322,7.720846,86.31747,1.9968908,78.899284,3.446953,46.59355,hiphop
1,0.4123824,0.09114768,0.24316359,0.01895854,2886.228955840383,1343393.9279487706,3007.08110310652,199156.20185614494,6519.993907822175,4387140.162411318,0.09942003374129257,0.004732514078547007,1.39767135e-05,0.037013724,0.00016659482,0.022272982,[99.38401442],-70.00092,2973.5557,78.17279,1386.9392,34.810074,621.21185,8.742972,410.08475,16.770067,319.2932,13.462747,242.82582,-7.186184,190.3498,6.469161,218.50249,-16.028889,152.6943,-0.3063458,128.93958,-0.82562643,129.10782,8.024358,107.54408,1.8956069,91.30438,4.136918,73.12161,7.016958,95.46835,11.280485,77.91386,-6.896058,84.689316,5.9512544,60.47118,-1.2036855,53.299973,2.132441,47.474808,hiphop
2,0.41852808,0.08907818,0.24502805,0.019964313,2663.3674012164365,1497429.4058863134,2884.9912573270335,299840.895199792,6003.538697422842,5465528.34029311,0.08940989018962849,0.005882851839520318,9.0816e-06,0.03845009,4.5764828e-05,0.021112114,[99.38401442],-84.44515,4807.149,85.80487,1622.764,39.086674,725.1151,11.547281,329.791,11.984238,290.65918,12.835484,195.69435,-2.9508805,163.38533,9.669928,212.23796,-12.453162,114.90524,1.8412243,99.58915,-1.2286551,93.657845,7.2698293,106.36806,2.4223433,80.19597,8.692037,91.81567,9.899107,84.52364,13.948797,70.63089,-1.3852925,100.8909,8.967229,53.655113,1.8506753,46.419815,3.1021705,48.33318,hiphop
3,0.42171752,0.08929111,0.253928,0.019277321,2813.842671369023,1457780.24818596,2955.669312507035,294736.07660161733,6357.0198933037445,5050649.379407582,0.09649110209462074,0.005156514496029678,2.1627604e-06,0.040273946,-7.761329e-05,0.02325087,[99.38401442],-72.377174,4440.1694,80.67167,1491.3892,36.196613,690.0817,10.560643,315.45016,18.96616,296.90494,14.769257,197.49075,-7.4451475,169.79308,7.2588973,158.94739,-14.92157,128.40117,2.0005023,104.65644,0.54496366,127.03923,8.44634,134.14357,5.2388783,83.60588,5.046801,70.590034,9.265911,100.04616,14.627751,90.242455,-2.12034,78.376366,6.9170504,65.38722,-0.15098277,51.787,3.1989462,46.7762,hiphop
4,0.43982095,0.08990993,0.24529226,0.019368146,3032.4013476431633,1676485.9195036055,3052.576626910728,288826.9623970302,6639.001521532749,5030800.663342136,0.10455908051954334,0.005720213978568834,5.509762e-06,0.0365933,-1.28826305e-05,0.02241952,[151.99908088],-79.11073,4984.4995,73.82044,1598.2787,47.488308,1143.3622,17.052656,376.56607,14.679183,447.188,11.711927,244.10214,-2.993835,210.0567,11.773273,149.78093,-7.6090817,144.40376,1.2822088,116.69292,-2.019027,112.59073,1.1885656,122.29235,4.4086165,94.43103,4.2023625,85.79078,5.692557,89.38424,10.711474,77.03991,0.7609131,80.04348,5.5324473,55.541008,2.530914,47.10651,2.1746411,50.519924,hiphop
5,0.42988905,0.08985364,0.25830778,0.019194853,2721.1260720625905,1342956.120786122,2932.7739575014657,344182.3045455606,6154.946115216235,5419041.799781979,0.08541822876354489,0.002757994899008967,5.3197584e-07,0.041191377,-0.00010840499,0.022998836,[99.38401442],-75.17601,4774.7437,83.73915,1498.2448,37.288136,831.0668,13.088447,346.59167,19.649067,356.3627,12.453131,217.86533,-4.355932,190.49728,11.9862,151.8476,-9.223645,124.58219,3.2544796,85.89822,-0.40096158,92.089226,5.9953732,85.71057,6.883948,77.87339,5.960626,69.82365,10.006916,89.153336,15.739592,79.52188,0.8779712,82.121185,7.5575438,53.69743,2.714931,52.836494,3.4371905,51.506348,hiphop
6,0.4382112,0.09007589,0.21313505,0.019753288,2896.55989248797,2281404.8879306875,2889.821322621994,494531.13029511546,6236.070624667424,7345198.5991177,0.1104596495259288,0.010456804278908587,-0.00027220813,0.030324416,0.0002066323,0.021848813,[123.046875],-115.83172,8589.771,75.9022,2202.0369,38.385246,1526.2166,13.582007,525.4038,19.426346,506.0901,-3.0513818,394.90976,-5.7614865,163.0886,19.60854,250.898,-11.796615,174.47275,2.0322835,167.40283,-4.7594285,102.76704,1.5360476,105.17463,3.9770813,114.33869,6.5424156,80.70894,-2.2132618,87.103096,3.032298,88.46451,-1.0702217,84.57265,-1.2053055,53.229446,2.4511373,74.27905,5.2009807,55.335915,hiphop
7,0.4256513,0.10196074,0.22446676,0.029335601,3495.6923702996796,2492287.522700948,3045.9826489847424,347885.1800280488,7152.065085774236,5566159.014956254,0.16920797153154024,0.018109145389924638,8.776085e-05,0.01818974,-0.0001643623,0.049032874,[92.28515625],-104.12413,7558.647,56.784855,2485.7551,33.599377,1601.1345,4.1543717,646.1445,14.277729,610.22797,-5.6328607,374.6889,-8.113469,254.42056,12.109877,247.29329,-16.726974,213.2118,-2.8902645,135.57697,-3.1222434,164.74011,-2.5731542,161.38441,-1.8988007,132.97269,3.202224,102.414665,-3.6011858,87.38638,2.475408,124.38355,-1.8782297,91.47914,-4.6421857,78.76157,2.1461809,92.00843,4.9999456,58.768433,hiphop
8,0.44758293,0.0983973,0.21812959,0.033301044,3916.1358797374405,2368532.3576661544,3154.9280992962867,217427.89219316075,7704.853409805534,3290350.1433964744,0.20327352517898606,0.02112746191789313,0.00023023649,0.012661491,-0.00020605155,0.054853495,[184.5703125],-98.80025,6097.348,44.771683,1952.6388,38.45976,2141.7043,0.860074,563.9041,7.679611,533.4937,-5.929714,501.11963,-8.501135,220.19534,12.578498,242.02907,-16.064287,215.82652,-1.558873,179.05289,-4.8822618,150.33461,-1.4084612,150.69138,-1.9257631,152.22923,2.518505,110.308716,-3.653742,97.165855,3.809775,98.367836,-3.0536184,77.796135,-3.552036,75.971375,2.2723458,75.993835,4.1650496,68.67228,hiphop
9,0.4716466,0.09531537,0.23970592,0.03651342,3298.717156230701,2301245.7778003574,2933.7771189618884,492666.4423116691,6708.7677663324785,5899938.308864154,0.1386832127999226,0.012054035778644575,0.00013206045,0.02700536,-6.915076e-05,0.048681594,[92.28515625],-106.54852,5363.993,60.383865,1830.0259,29.228582,3046.786,6.443353,667.1543,13.229051,607.45325,-5.295741,703.66315,-7.6100426,200.95366,21.629328,251.10211,-11.5138035,224.78001,2.371259,138.52754,-4.451713,112.329796,0.71141016,128.84877,0.13755795,136.66397,5.697952,80.0157,-1.4191,82.97224,4.171529,79.303566,-0.31963047,68.47247,-0.54064685,59.18373,2.1264093,67.32406,4.238701,57.058224,hiphop
10,0.29681435,0.09185169,0.1000276,0.0043727076,1284.2010416016549,612430.2923385747,1793.0830084604227,262943.32484126545,2517.876441412297,3465340.720088034,0.04515694538506192,0.0013327629119950486,-4.428386e-06,0.010560087,-3.392091e-05,0.001542387,[184.5703125],-230.55869,5554.356,126.61597,1049.3645,24.2365,660.15985,34.66074,355.74002,4.699965,173.27644,3.2168388,171.55287,-3.9827971,106.21067,0.678768,141.4614,-3.0513754,77.05502,-4.7666454,110.98392,-8.00228,65.85692,-2.2171307,51.88725,-4.7669516,47.735912,-6.1459885,47.47898,-5.8938704,39.373276,-5.583854,50.737427,-6.9271636,41.513725,-6.880059,47.688972,-11.470732,58.278988,-7.6136627,50.285442,hiphop
11,0.36750245,0.09217743,0.21717605,0.013880071,2405.9625754287727,1554598.648107924,2672.477304125428,428632.26535067294,5285.668038288506,6383691.208818479,0.09072696461397059,0.005725283331068635,-6.7410615e-06,0.021716863,-4.4112596e-05,0.026472261,[69.83741554],-86.03051,3972.699,93.66081,1570.8657,23.426405,786.2189,23.491278,266.4985,14.741557,200.42859,8.906374,145.87517,-2.9069386,163.33159,2.5789394,115.684166,-1.2896632,75.130745,2.1103055,137.99072,2.6237597,154.33098,4.2645025,68.5086,-7.062169,62.928326,-3.4711113,45.99567,-2.3583615,59.734974,0.23731709,55.27073,-8.8745985,62.924606,-1.4353269,53.938324,-4.270879,57.561424,-0.8242847,54.700974,hiphop
12,0.38876435,0.09234299,0.25452474,0.013533602,2608.145938550399,1589917.9222540667,2851.34204754334,311674.65185549814,5830.73140903154,5719586.544787301,0.09116309198432662,0.006174860774689747,4.516025e-06,0.038519025,-0.00010196338,0.025473366,[69.83741554],-77.01145,3282.3584,85.68449,1429.3184,34.208218,726.61255,18.68131,524.84973,15.742121,234.66129,10.885686,146.635,-5.3985014,240.55974,7.8151703,187.72942,1.2218288,117.855675,-3.2525442,155.20644,-1.2077862,94.30003,3.5932996,78.84727,-1.7963761,79.62149,0.8823386,73.14163,-1.619139,77.70874,2.3394494,71.77312,-4.324755,62.828392,3.092649,69.055,-5.532488,53.045013,0.8376134,53.11785,hiphop
13,0.4042669,0.09298114,0.25424728,0.013728384,2492.9694588698226,1490923.24332617,2800.541704657393,330404.5503062365,5597.841150620405,5934303.155486066,0.08676100220104489,0.006355541048711601,5.956386e-06,0.037851233,-0.00010283493,0.026188903,[69.83741554],-79.4834,3828.5603,88.98273,1311.0961,30.378561,781.5188,19.14653,485.2615,16.028717,332.93375,9.285688,155.94536,-1.6563414,248.12735,8.1844,195.05939,-0.37317267,111.698944,-1.589266,149.32394,-0.0094684325,120.75959,5.616579,82.91622,-3.5041318,86.354416,1.5420032,76.562256,-1.9020123,80.46891,3.1506572,67.34056,-4.270911,57.24099,1.924533,56.716476,-4.3334613,62.737846,0.9390511,51.165447,hiphop
14,0.4133264,0.08966142,0.26435313,0.015684139,2166.725791726499,1405287.2338736763,2555.248735762948,443542.685563181,4773.654467697852,6448674.898754472,0.07363560915731424,0.006258461172295816,-2.8738672e-05,0.04619626,-0.00013526688,0.025170505,[69.83741554],-91.55201,4707.3975,98.03769,1629.2477,21.573553,832.8785,22.17844,284.71884,14.496553,246.98889,9.888861,196.02373,0.72111696,180.75757,4.7537155,188.96056,-0.5153887,97.88898,4.7807207,133.11281,1.7115782,208.75348,6.5082245,91.30685,-2.7711806,109.879036,-0.019973423,62.627213,-0.2313506,81.88229,4.0632625,86.92403,-8.78154,67.57506,1.2484543,66.62667,-1.5721798,68.881805,-1.584151,62.694286,hiphop
15,0.43188778,0.08633316,0.27531648,0.013274283,2453.7235860771184,1267421.2588857494,2679.6209906224276,317170.2229174662,5394.125715793101,5014943.488448384,0.08651610572271672,0.004528708278708356,5.5895263e-05,0.043918673,5.8329926e-05,0.029931031,[143.5546875],-62.33172,3161.9907,88.45027,1275.9979,23.060251,763.49835,24.362396,439.16824,8.739941,320.53735,10.288136,175.14598,1.284863,202.13345,9.505435,194.9651,-1.3199279,121.43323,1.009088,115.93868,-6.855252,101.55141,6.919281,97.305984,1.8835669,95.0995,0.28913122,64.59547,-2.3628204,92.115105,6.200677,94.48377,-8.719242,91.082054,3.8070338,65.12443,-1.3576745,61.82244,-3.2922003,51.930046,hiphop
16,0.42406386,0.08744724,0.27306572,0.013478309,2262.2389772269908,1320899.3450353995,2617.6428184791826,386437.9942047419,5048.202807541602,5696502.500626925,0.07278905342976007,0.004610008925056966,5.0447943e-06,0.04917239,1.5104647e-05,0.024253493,[143.5546875],-78.93082,3468.9612,93.594925,1433.5364,23.470306,940.72766,24.946941,412.9695,11.186635,379.96573,10.822431,183.39409,0.5266718,182.42178,7.413495,197.03423,-0.21600054,119.22342,2.2530963,137.95708,-0.67001635,170.85725,6.72332,109.48456,-1.4281733,90.586624,-1.132921,84.82438,-1.4138879,90.452156,5.1293473,80.13697,-7.810506,77.06767,1.286553,58.339996,-1.6749394,65.90112,-0.99481624,61.668858,hiphop
17,0.42094535,0.09243605,0.054479133,0.002147884,2608.827027324195,1763263.5000506192,2295.1724080254203,463292.94169149635,4828.129138296972,6494879.533230464,0.14644620440692724,0.011574955382304509,-3.1530657e-05,0.0022352843,1.4145065e-05,0.0021948756,[95.703125],-226.26157,11033.043,81.24107,2561.5676,-22.310946,1131.1676,0.607852,806.8462,-2.4931958,565.10394,-13.791578,371.8134,-5.1689897,239.86441,-6.5899715,309.36853,-13.89371,210.9971,-9.361397,253.22572,-11.198766,174.83276,-6.9023113,145.22385,-8.907004,107.80736,-4.8964233,108.31077,-6.489769,79.09567,-4.2024245,87.200806,-5.1193185,70.07945,-1.7597717,62.919518,-3.7272303,59.259632,-0.72937435,75.0665,hiphop
18,0.51716876,0.081458054,0.09457398,0.0024848217,2842.419624018445,1403985.2777037304,2664.047788929153,275414.86934310367,5723.982054530283,4919245.114204615,0.12448979900348298,0.01027332285909919,-1.8285137e-06,0.0069165137,4.0422434e-05,0.0031461106,[143.5546875],-156.54356,3996.4697,70.37233,1936.374,-5.570473,917.4899,21.49409,608.1895,15.029906,472.3091,-7.840479,425.40945,3.0165672,260.86948,7.4866977,303.41187,-9.4591,193.0056,2.8008971,185.57812,-4.634588,143.23546,0.29912665,114.24862,-2.5794823,112.12309,-0.9058723,73.307526,-3.6493945,81.56571,3.2188141,69.56524,-2.7532196,72.31121,-1.4571792,73.19542,-3.6215148,62.17092,1.573479,72.76472,hiphop
19,0.40806517,0.09054249,0.09423704,0.0025660596,2927.6148352868827,1089783.8015195124,2881.9336749638355,166558.2568133854,6444.869362090025,3394772.0735285156,0.12399471507352941,0.008659196994144438,2.5250638e-05,0.0072115124,-1.2822948e-05,0.0024646798,[143.5546875],-144.45398,2538.2307,70.71396,1302.3019,0.8483318,528.83746,4.9071035,369.9553,6.1462994,292.84045,-0.18254387,277.62262,-2.6653302,235.2891,-0.45590767,200.10822,-10.639509,198.67636,-3.6040976,134.57184,-6.696726,243.29956,3.1956737,136.07317,-5.3966436,103.880005,-3.7991803,90.670685,-1.6867231,117.699524,-0.11501482,82.096535,-7.594361,82.58784,1.0296793,69.58769,-5.287079,60.59561,-3.7553658,58.714893,hiphop
