,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.48852766,0.08322002,0.2159695,0.015094235,2530.639895154943,1405859.068121116,2488.607534431478,251551.70200276707,5131.568970104489,3762072.2968339077,0.11230128616002322,0.008041179759086562,-8.384859e-06,0.030868936,4.307e-05,0.014748527,[135.99917763],-84.231514,11410.64,78.36386,1787.1439,3.1166353,721.62024,31.114206,325.5013,11.667581,198.6691,17.08575,161.85995,3.198045,105.723274,14.285684,109.56306,-2.268257,56.876984,8.57382,72.56551,4.0910206,62.224422,4.439295,52.52068,3.7309866,45.75333,7.7869234,52.704945,0.9502389,49.28596,6.839793,38.94744,-2.4594886,35.490124,3.431791,33.857407,-1.7741715,31.39465,-0.7640612,47.941395,hiphop
1,0.5185839,0.076733775,0.32994047,0.012908032,2646.309721622384,1029529.2414702845,2661.1862033839543,199532.10603770765,5617.341032707285,2969455.082211385,0.0978266949255031,0.004423687991137373,5.1456607e-07,0.06547812,2.836284e-05,0.027877962,[135.99917763],-24.289234,2805.3577,69.575516,910.7072,7.322397,874.80255,37.425022,254.05853,15.070734,181.31015,16.221807,116.05804,2.6901715,100.876465,17.181946,87.032616,-3.0496109,83.6098,11.526931,81.10604,6.570412,82.30117,5.6481376,49.396877,5.346152,54.631012,8.60757,64.54969,1.3256186,50.550625,6.104402,41.635574,-2.5898755,55.030476,2.001175,39.605843,-1.0860318,40.149815,-2.0568988,54.410072,hiphop
2,0.47995082,0.08247861,0.33652607,0.013412771,2497.597113329746,849399.8924282339,2544.387798789854,196502.88461321636,5240.426645190354,2910405.3557892228,0.09869857173955109,0.003273175701372296,-4.9480866e-05,0.06478967,-0.0001300009,0.029433828,[135.99917763],-7.910869,2996.94,80.37695,935.15094,-1.901172,756.5068,32.597843,191.65662,13.259672,154.35838,12.278449,152.05338,-0.95836675,111.64846,16.215008,108.46859,-3.9062893,81.89201,9.489099,90.69372,2.9024155,95.55434,4.1270876,61.51757,3.475586,70.85901,7.107201,55.768707,0.027968084,48.330086,4.300008,34.09363,-1.7128494,47.700523,3.8700688,38.324535,-0.54355645,40.04831,0.38707843,55.95636,hiphop
3,0.48808104,0.081719585,0.34826967,0.011940999,2413.7618085971417,667566.449078456,2532.557484070217,181592.6626448188,5169.160409460865,2587655.317385011,0.08975078004063468,0.0023869909297184883,1.1215545e-05,0.06913366,6.239971e-05,0.030398384,[135.99917763],-6.2389092,2848.9993,81.776405,843.3186,-0.8338016,687.30023,34.34306,218.32787,12.513462,137.75443,15.12555,104.64995,0.025341116,107.13319,16.95314,90.0273,-2.40133,61.655174,9.497484,80.280876,3.9805424,95.3031,5.1487026,44.697594,3.3425088,47.64502,7.16816,46.28529,1.2729998,44.005695,5.7779655,34.910114,-1.1054598,41.71233,3.8937628,37.3252,-0.41279984,36.732647,0.68004954,53.057346,hiphop
4,0.50719005,0.07866602,0.34535748,0.009413366,2569.742042677109,937431.3548241787,2592.0745097196104,205820.00520359213,5419.017231944175,2987944.6203394053,0.1010942488631966,0.0034144952248957488,-1.4783618e-05,0.06185256,-9.1796064e-05,0.03107068,[135.99917763],-2.9101977,2759.7686,78.03865,1017.338,4.885748,812.1349,37.314766,238.22871,14.155406,140.6076,14.404545,154.23146,0.74216914,112.70034,14.7181015,105.73646,-3.956763,68.92013,8.294034,89.50168,3.8084831,82.87424,3.5748634,54.185307,2.5990226,50.735184,4.4855103,48.712612,-0.43546826,42.83364,6.3135414,39.287018,-2.4406152,46.394314,4.2354946,39.16522,-0.07793913,29.030827,-0.077777155,32.904003,hiphop
5,0.44263098,0.08263206,0.3622715,0.010105262,2312.162485819785,538504.2789187965,2455.2850107160657,167068.05111892984,4919.936916481231,2367159.794908368,0.09156482802825078,0.002046975596296223,6.682231e-06,0.07329574,1.7011456e-05,0.030651769,[135.99917763],7.7371054,2147.2476,89.39096,714.4544,-5.132733,538.0544,32.118374,180.45746,10.386028,126.23193,11.977355,97.34691,-2.053431,88.74774,18.316387,88.77581,-3.143454,58.99823,7.1189575,71.29808,2.0191526,93.88225,4.5499377,43.65708,2.6281507,38.798145,6.273655,44.668743,0.31576198,39.945213,5.293195,27.919794,0.35156912,36.404907,5.1828365,30.794111,0.9929665,35.50619,2.8811727,46.16681,hiphop
6,0.5306123,0.075403765,0.3489412,0.010896635,2479.448555649367,1079149.5637404274,2546.3473072978964,238083.8727879383,5269.451469681211,3355964.214042125,0.09293027706559598,0.004008390161444234,-5.6851688e-05,0.06695317,-0.0001555753,0.031369917,[135.99917763],-13.077828,3277.3452,81.61637,1211.1617,5.229935,787.64594,36.128845,295.1001,9.998043,225.96152,16.42125,131.36723,5.003982,127.17982,16.817797,93.77293,-4.1161466,80.61645,9.313575,76.582504,5.515342,89.29128,4.425342,57.3208,3.5026202,59.725304,5.371818,53.068733,-0.10604093,49.088734,6.7769966,48.586086,-2.2297347,45.768402,3.3601754,39.333256,-1.1985587,32.633682,0.59562963,41.085648,hiphop
7,0.50377536,0.079570755,0.3669813,0.009034626,2494.665485826754,1182311.3609442906,2523.588700983189,214775.7271546715,5203.501868469427,3436384.643956509,0.1018319617114938,0.006193390115042182,1.7607743e-05,0.071640134,9.869607e-05,0.0333501,[135.99917763],4.9249406,2450.1758,84.01308,1275.817,1.2186083,638.2447,33.833454,218.05122,12.12047,152.75897,12.707228,132.01338,-0.31829324,114.83549,15.569788,90.24463,-3.050059,77.22642,7.7421317,84.950745,2.995861,101.45583,3.6734328,53.440086,2.5060625,54.632607,4.491171,47.124535,-1.1146858,41.049915,6.431982,38.484894,-0.4146505,44.121517,5.4477477,30.418465,-0.13462482,33.868893,2.1983583,30.975323,hiphop
8,0.4399307,0.08982928,0.2510593,0.019735215,2236.706420629803,1540303.8982868928,2382.523606586745,374485.5638859558,4587.447260334026,5747245.571049482,0.09454024465460527,0.007230524470853907,-6.8540656e-05,0.026542751,0.00010183387,0.036920916,[95.703125],-106.47357,10491.133,88.7675,2698.5618,29.143503,1118.5775,39.084606,637.50287,2.6626303,374.15515,7.8453364,271.18082,-5.839472,243.25847,3.9683003,156.47939,-9.431223,175.55466,0.52087474,107.94749,-1.2031848,134.13274,3.5222077,104.85505,-3.8647022,97.8556,-0.70429635,73.02311,-1.0979244,69.95156,1.2618756,70.234886,-4.963883,65.20804,1.5088786,64.04835,-3.156301,52.675182,0.82057726,49.75771,hiphop
9,0.4313013,0.0891535,0.27952084,0.014812343,2394.670215054004,1181988.6205604633,2487.894878303925,212894.11661502378,4961.911662665683,3950123.6333495122,0.10548915803986068,0.006554516798024216,-9.8760036e-05,0.031230776,9.206977e-05,0.038100313,[95.703125],-58.634434,5168.223,80.605316,1803.6826,14.012659,772.8372,34.58073,586.7114,5.1537237,595.76074,7.310569,311.7169,-6.123742,220.27777,6.1326003,180.18352,-10.216933,181.02818,0.6562457,148.93684,-1.170293,124.57445,2.5732622,110.850075,-1.9275042,88.06223,1.2672039,84.05507,-0.75452423,72.090614,3.5764127,52.81527,-5.1542087,61.590652,0.1425288,48.703964,-3.1666892,60.541695,-0.21453616,47.920074,hiphop
