,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.51370525,0.08508425,0.3564883,0.02330219,2761.8869617091573,1377348.792346513,2882.5566084422994,415377.4162643554,6060.913350486165,5695215.23647257,0.09136566067627709,0.008254899578597742,-9.046853e-05,0.11579985,5.1864236e-06,0.017201088,[117.45383523],-36.56805,3329.49,82.193016,1262.6852,7.4786434,1256.2828,1.3980474,336.81992,16.316442,388.73236,-3.0018492,298.67477,-2.9879003,187.00975,7.251324,245.75525,-6.7420263,170.62234,5.4569263,171.13272,-1.6403414,135.86636,7.2049904,132.54883,-0.77701175,80.68142,2.8342323,95.32292,-0.8633332,110.51536,2.7095761,67.15797,-0.789736,69.49277,4.6060205,52.487923,-0.2053628,68.14953,5.4876523,56.605087,hiphop
1,0.54268384,0.074256666,0.3916678,0.020366939,2586.7501806389882,1502675.1130260509,2857.1489385377217,361455.4530055375,5684.232294891641,6729946.684064621,0.067740331124226,0.006586878908779834,8.9040164e-05,0.13754816,-0.00035964188,0.01743232,[117.45383523],-46.44813,4631.624,84.711,1361.7169,13.880461,792.47565,5.0529776,447.89285,25.797432,432.70633,0.6697375,293.3081,0.50284636,201.56267,14.121828,184.91302,-5.0707903,174.05122,10.984137,145.26855,0.58040434,144.66228,8.1797695,145.02156,4.770556,74.38801,6.687621,65.72949,3.0194983,56.40908,6.8619137,75.60459,1.1950476,72.346245,7.8152633,55.59958,1.4777051,44.76357,4.7192655,46.942352,hiphop
2,0.51658773,0.078708336,0.38664126,0.01982109,2630.04119218788,1131395.1262569993,2830.6692994825125,381657.7976548583,5761.431828076626,5567999.848596425,0.07484006143575851,0.004816586037366975,-6.9981097e-06,0.13320619,8.498671e-05,0.017291037,[117.45383523],-27.528704,2597.5862,84.96823,1088.8533,3.740405,1092.8146,1.7330861,302.10278,16.228424,325.2309,-2.200114,229.3245,1.1076598,164.29253,7.62415,256.93533,-7.722358,121.87215,10.654553,168.43787,1.5088798,99.6105,8.339495,100.214966,2.9639,83.28743,4.3882885,71.82022,2.192469,80.74647,4.576104,79.90802,1.3283427,70.26486,6.3267813,60.928024,0.6019432,52.91831,5.439832,48.415436,hiphop
3,0.45354047,0.10610373,0.22916493,0.020418601,2378.0807072157336,2366740.2962506413,2359.2533610002283,565965.8061053577,4721.504783039861,8847188.124759654,0.08232452109133127,0.005417802370647278,-7.8011277e-07,0.017983207,-3.7537822e-05,0.04220056,[151.99908088],-159.40453,20217.236,68.74563,3088.804,30.929512,801.17914,34.580776,429.9442,-1.3505465,491.39407,9.964204,409.44537,-7.3317056,282.21713,8.904044,208.23814,-2.4747212,166.16327,7.7617946,125.129715,3.9614673,172.23152,6.577103,112.29414,-0.27928445,124.03917,3.0539746,84.184425,-2.2599413,81.76552,2.8772352,112.17915,-2.8701167,84.30385,2.5135777,63.79854,-1.8700144,65.247536,-1.9944515,64.97475,hiphop
4,0.46024948,0.091924615,0.31820193,0.013514826,2335.1644475567537,1367549.4275707065,2538.2054427222192,316471.22633059754,5034.094559518914,5502045.324220919,0.07917110100619196,0.004614340593878632,-3.56231e-05,0.048303325,-7.857485e-05,0.039276734,[151.99908088],-60.286377,5129.973,87.687996,1657.2589,24.436972,721.2142,35.04796,319.87973,7.9483013,378.3536,14.741093,185.84036,-7.0259743,157.68681,11.632825,159.88388,-5.1877017,108.516495,4.2442374,91.46316,0.89311033,130.13339,4.2417946,56.357628,-0.16565338,85.16573,2.982843,56.89939,-3.980607,59.13791,7.470575,99.671135,-6.308042,66.29829,3.2130094,54.60335,-1.7296469,46.59537,0.31456414,48.84563,hiphop
5,0.44819936,0.090425916,0.3098957,0.013409375,2420.21264343524,1172312.1972000336,2566.3925313307304,215894.0602837902,5210.2268278045185,4154530.052973395,0.08496811810661764,0.0052089360329736194,-1.9424176e-06,0.046002857,2.043002e-05,0.03754578,[151.99908088],-47.30854,3870.815,85.43382,1544.0675,15.154648,758.1243,25.609175,384.0506,3.4629223,433.24338,13.55979,195.70462,-9.591745,187.09552,3.7850082,227.51282,-7.797097,204.8836,3.2823017,155.7955,3.2934358,156.40936,4.577417,90.04817,-4.4984694,96.01906,7.562113,95.131256,0.112869024,88.99751,6.527291,77.38941,-6.676799,67.07661,1.00276,67.0701,-6.056323,63.49042,-1.3815572,60.636864,hiphop
6,0.38196322,0.08966832,0.2468677,0.011101801,2587.7023147737586,964058.1464778886,2595.717878790556,171269.03501555632,5478.075208162007,3339319.9385979343,0.10691167400348298,0.005209117370545833,2.171272e-06,0.03096386,2.837364e-05,0.023589041,[151.99908088],-42.740276,2988.2986,83.01555,1166.709,8.001075,667.61426,20.32794,319.29184,-5.45722,390.674,0.838397,239.34714,-17.106697,228.04678,-4.3141413,200.26741,-10.971729,190.94621,0.82878846,123.09811,-3.6946745,115.90065,-2.0484798,82.39991,-9.23876,76.30505,2.891911,102.930405,-1.7384304,74.15755,2.1926577,62.55967,-10.054057,65.81856,-0.12662037,62.2089,-9.295842,57.769554,-1.7767863,49.333645,hiphop
7,0.44706833,0.09096849,0.3181202,0.012946477,2230.3373310864313,1180853.8882086726,2466.5238730326696,298438.72406668356,4816.812540060227,4992664.191777807,0.0745509475377322,0.003285614141489728,1.5208171e-05,0.04888992,8.653789e-05,0.03767158,[151.99908088],-57.8516,4410.7466,92.45987,1669.4346,20.317043,653.0634,33.40894,352.67593,5.565518,377.15723,12.284651,205.0697,-5.531517,205.58025,12.821904,171.62053,-7.2253404,140.10762,2.355902,124.98252,0.8036171,139.80006,3.722172,60.748997,-0.8895104,81.35453,3.7760346,73.62634,-3.1598256,66.08208,6.221241,89.06307,-5.783016,67.884796,1.6056986,56.685516,-5.4416366,81.710365,-0.30496147,55.334915,hiphop
8,0.4224487,0.09652006,0.25784558,0.014839851,2562.423133798982,1268501.0021366759,2527.4513307285038,268821.6497809471,5300.16795060952,4642493.70755941,0.0982809627757353,0.005502068245808212,6.867882e-07,0.03436143,6.6258813e-06,0.028800268,[151.99908088],-66.71769,5522.4824,75.35566,1605.8981,11.065213,899.46326,38.450012,347.15103,5.188562,373.69794,2.7517729,303.12637,-14.079049,196.79417,0.12650868,269.45645,-14.221047,199.74992,6.343693,135.41074,-3.563308,129.2382,2.5269988,93.7305,-4.337781,95.758675,-4.4819665,115.16999,-5.2261577,76.50238,3.8797305,92.0304,-6.611633,68.11461,3.4942997,62.50534,-6.127733,55.99157,-0.87218386,48.54516,hiphop
9,0.3194052,0.095994174,0.13444363,0.012228233,2278.5924945250563,2312964.7847024244,2079.97165314489,1219781.9853238147,4592.863894247049,9171628.9234801,0.10983644845684984,0.008397304070309076,4.025869e-05,0.013767311,4.5254805e-05,0.008444065,[143.5546875],-154.89455,17354.938,84.80716,2294.404,11.683712,1007.77594,2.7167337,474.8526,-8.007449,351.9168,-4.6451197,211.2517,-7.8088613,149.13957,-5.5940123,167.79886,-10.182539,134.5152,-6.618123,102.65001,-4.0931363,100.55146,-0.6100126,99.26782,-0.865764,67.29963,-0.72359693,54.88794,0.7099457,65.57782,4.7453165,67.50013,-3.3557844,93.71724,3.964413,63.18722,0.096102685,55.31284,-1.7154441,60.9375,hiphop
