,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0.25873354,0.09215847,0.09976983,0.0020309757,1310.4035839037722,411192.9992682322,2027.467526501793,235206.3965427583,2513.0181374564627,3169436.334588303,0.04058516652960526,0.0011140253672250926,8.3676093e-07,0.010169336,1.4076373e-06,0.00045357185,[78.30255682],-239.32512,4107.8774,125.45726,966.3161,37.88043,692.4285,27.840158,180.58376,0.12807576,216.08388,2.5903487,98.52756,-4.5465918,109.770836,4.5614986,130.08485,-7.261468,124.72363,-0.8779059,99.51707,-7.281829,88.893684,-3.421204,70.135124,-8.579243,54.804108,-0.5793039,45.175087,-5.17173,48.800285,-5.0428734,49.982384,-5.8189716,57.25474,-2.4254117,41.705883,-5.4295416,55.465454,-4.356013,42.38397,jazz
1,0.26006714,0.09171333,0.0969626,0.0017226727,1380.0581836725355,194244.65091465318,2153.4463206688656,129004.59678455182,2814.7746461094716,2281623.202353752,0.03835728884481424,0.0004350716461736904,-9.1523e-07,0.009405354,-2.4476152e-05,0.00043638394,[78.30255682],-231.90103,3895.6143,122.982056,493.19843,38.63559,661.1249,26.919226,207.3459,-1.6568131,206.96033,3.1957645,103.764366,-2.579247,167.98346,7.306079,130.49837,-8.919548,159.05728,3.6914694,155.08809,-6.31417,110.66965,-0.025852758,59.601707,-8.114457,69.74682,-0.70796907,67.05036,-2.4885206,66.82382,-6.899382,61.02481,-7.165101,88.15435,-1.7708143,53.312084,-5.6649523,62.15991,-1.9042884,78.5227,jazz
2,0.29416224,0.09494202,0.11579213,0.0018673092,1322.378318481661,166304.54463705115,2023.466286173665,130789.01181751343,2590.2343372073337,1576097.3582188396,0.04119098297213622,0.00035245746322997627,-1.1019649e-06,0.012385525,3.5062407e-05,0.00066552695,[75.99954044],-197.0413,2790.589,128.90356,558.54767,26.558657,390.96487,29.92894,270.2391,1.8477558,199.99846,-3.3753417,104.24465,-2.762079,115.400276,5.3985467,81.66107,-14.55213,144.45438,-0.21714872,95.12849,-9.067742,69.117065,-3.9892056,53.794735,-6.9150662,49.069103,-4.0237455,50.82456,-6.5343604,52.508896,-5.7473736,53.995235,-8.881383,63.24625,-0.18522115,65.56337,-4.136214,46.085213,-3.983418,55.009354,jazz
3,0.29321647,0.09115433,0.10219177,0.0016604776,1364.743458820597,200058.22570512834,2097.980466582428,171578.86351221666,2762.8499600909445,2337314.263630925,0.042635040755611454,0.00048119614470148894,-7.3983624e-06,0.009539205,-3.404534e-05,0.00074774714,[75.99954044],-212.32106,3640.9734,127.59075,461.40808,31.680674,372.98407,30.786922,231.96416,5.0403905,159.74805,-2.764042,85.73865,-5.192678,150.19362,5.472121,89.26935,-11.742881,109.49564,-0.4925283,119.270935,-8.401163,72.123634,-3.3348875,69.9515,-8.552127,65.75328,-3.1031487,56.611687,-5.325017,65.67148,-4.8539886,47.740532,-5.4704204,79.66596,-1.3093587,46.694008,-5.0920887,43.451313,-1.582811,55.281334,jazz
4,0.2592551,0.092843845,0.123116165,0.0019050837,1338.3442503449212,196851.39503299553,1971.2858915315048,126380.32835034735,2581.8343880006773,1647088.297449027,0.04565089553502322,0.0005553301896300667,-5.8513165e-06,0.013690882,-3.9450995e-05,0.00089195615,[143.5546875],-193.93033,2386.0994,128.15973,562.73474,22.894718,360.104,31.113003,225.75604,-0.23113768,236.91223,-5.192444,97.99134,-5.334465,144.93588,6.032646,85.053185,-13.676107,140.32814,-0.1959871,106.31209,-9.957372,55.54653,-5.486655,58.743996,-8.019421,96.600006,-4.1644897,72.03148,-5.858791,62.109653,-6.176997,59.64663,-4.027284,91.07626,-0.04509102,67.48991,-5.1358075,54.435722,-2.7273564,67.82907,jazz
5,0.24563047,0.093660444,0.1060813,0.0032955804,1338.5995256917186,456036.91041767894,1650.065683190337,143600.0418406437,2344.2358247266834,1710971.9776327212,0.06561335985874613,0.002244061210531663,1.3093083e-06,0.010388134,1.9590232e-05,0.0016241113,[75.99954044],-235.0618,8484.953,128.80914,1171.4462,-3.8484964,1200.1952,32.59984,194.1186,7.201486,123.7172,6.4412785,252.69528,-3.8674362,180.41396,-2.7776737,87.059875,-5.596719,212.7059,2.2857835,85.47137,-7.5517645,60.69374,-4.744702,69.88721,-2.8040533,75.53607,-4.9860783,63.68785,-8.919129,48.013824,-3.2727025,67.72935,-1.917859,123.71863,-1.5800216,150.81433,0.66246796,130.21706,1.1778134,148.35303,jazz
6,0.2903703,0.09269979,0.10912113,0.0031428318,1547.1578532750145,830203.2743175634,1745.9216195776562,226690.48083052435,2669.6255238063563,2577627.4669927894,0.07734533729198917,0.0043595879635845445,-4.023162e-06,0.0088301925,-2.0626594e-05,0.0026290792,[73.828125],-208.11284,8400.281,128.61472,1647.7646,-3.130953,1177.6062,32.622124,348.0358,7.486892,190.16386,-0.8264885,431.52374,2.3766057,220.69766,2.8175461,103.44215,-8.546348,199.56526,-0.2420913,69.85053,-5.3096876,64.76114,-4.7395573,83.96217,-3.8578796,126.35732,-2.9986322,78.43359,-9.642022,72.157265,-4.7611337,69.48291,-2.0479205,75.85904,-4.068945,117.21454,0.5852408,93.90212,0.82802945,103.095276,jazz
7,0.27111918,0.09061008,0.11949368,0.0039741946,1605.286181430554,807690.0902899345,1761.5846981782295,205344.68941575204,2816.891299977022,2099287.6635876456,0.08041939277767028,0.004917569920463638,1.3337409e-06,0.011253263,-1.00995985e-05,0.0028438282,[73.828125],-190.07767,5343.79,128.76613,1713.8853,-8.144226,780.90356,35.161114,208.56999,3.925519,197.47417,-6.3949623,432.98795,-2.3667188,139.13,3.4452646,93.93836,-12.924164,172.82097,-2.7803419,128.3495,-5.459435,67.542274,-5.3905206,74.24092,-9.826376,120.07895,-0.5546056,149.48999,-10.307188,95.04946,-4.9406867,101.739784,-0.0073617045,84.96552,-0.7908187,78.8031,-1.835361,131.0916,-2.2165575,102.37541,jazz
8,0.26865476,0.091577046,0.09943051,0.0030197233,1367.3571328536032,639628.295654348,1708.8660954792051,194696.54730849087,2390.3855456656347,2313782.83654776,0.06308276291602168,0.0028027874813336333,1.7034589e-06,0.007999684,-5.694905e-06,0.0021147816,[73.828125],-231.56796,7604.0464,134.00426,1361.5254,2.8307545,1029.9254,31.629644,253.09558,6.6007175,130.50038,-0.18213372,334.56433,-1.3933271,156.29909,-2.2815576,113.828514,-6.4572935,126.97344,-1.1908334,97.71689,-7.03507,57.360416,-6.57045,64.45477,-7.4651513,100.35827,-4.2833753,65.61388,-8.588386,69.90906,-3.9960396,72.265755,-1.6579021,102.40846,-1.5328717,117.25121,0.5365499,103.39125,0.47114798,104.7722,jazz
9,0.21149422,0.0906753,0.11595377,0.004631498,1019.8592819117029,109202.76724902501,1536.541994300393,75131.31931932956,1645.3067177220394,722274.7274806654,0.0421482712122678,0.0005049437894633227,3.2327068e-06,0.015181445,-7.3509973e-06,0.0008750469,[75.99954044],-269.68033,4126.1353,136.61162,650.2375,14.13816,794.51953,35.3878,113.38968,9.39049,72.24589,7.9905095,119.2164,-4.303468,88.0513,-1.9948704,55.96877,-2.0032635,61.25646,-1.0984645,42.948246,-3.8218415,48.887978,-4.445577,79.99411,-3.6439526,81.31787,-0.83108747,108.05665,-7.2610598,101.54065,-5.11785,118.3105,-5.051971,178.97678,-1.010903,144.73521,1.5829992,98.69818,1.6627613,187.63289,jazz
